True_Intent,Predicted_Intent,Error_Count,Representative_Examples,Root_Cause_Category,Dataset_Recommendation
unable_to_verify_identity,verify_my_identity,27,Ennal enoda adaiyaalathai uruthipadutha mudiyala. || Enoda adaiyaalathai niroobipatharku thevaiaanavai ennidam illai. || Naan solvathu naanthaan entru intha app yen nambavillai? || Enoda adaiyaalathai uruthipaduthuvathil enakku pirachinai yerpadukirathu. || Enoda adaiyaala uruthipaduthal tholviyadainthaal naan enna seyya veendum?,Spelling variation & Romanization ambiguity in Tanglish loanwords,Add explicit Tanglish transliteration variants for unable_to_verify_identity and verify_my_identity
exchange_rate,card_payment_wrong_exchange_rate,27,Unga maatru rates-ai naan therinthu kolla vendum. || Neenga vazhangum maatru rates enna? || Unga maatru rates-ai neenga eppadi theermanikkireergall? || Unga maatru rates-ai neenga engirunthu perugireergall? || Maatru rate-ai naan eppadi kandarivathu?,Spelling variation & Romanization ambiguity in Tanglish loanwords,Add explicit Tanglish transliteration variants for exchange_rate and card_payment_wrong_exchange_rate
top_up_reverted,top_up_failed,26,"Enoda top-up rathu seyyappattirukku; enakku cash thirumba kidaikkuma? || Thirumba perappatta top-up-ai naan eppadi sariseyvathu? || Enoda top-up thirumba perappattullatha enbathai arinthukolla mudiyuma? || Enoda top-up poorthiyadainthathaga kaattiyathu, aanal ippo athu angay illai! ingu enna nadakkuthu? || Vanakkam, enna nadakkuthu endru enakku theriyala, thavaruthalaga enoda top-up-irkku rendu murai cash seluthivitten, please panathai thirumba pera enakku uthava mudiyuma?",Spelling variation & Romanization ambiguity in Tanglish loanwords,Add explicit Tanglish transliteration variants for top_up_reverted and top_up_failed
why_verify_identity,verify_my_identity,26,Enoda identity-ai patri een ivvalavu details keetkireergal? || Enoda identity-ai verify seyya enakku viruppam illai. || Enoda account-il log in seiyum ovvoru muraiyum identity-ai verify seyya veenduma? || Naan een enoda identity-ai verify seyya veendum? || Identity-ai verify seiyum munbu ennaal transfers seyya mudiyuma?,Spelling variation & Romanization ambiguity in Tanglish loanwords,Add explicit Tanglish transliteration variants for why_verify_identity and verify_my_identity
pin_blocked,get_physical_card,19,Enoda PIN ilakkathin mudakkathai naan eppadi neekkuvathu? || Enoda PIN ilakkathai naan engay paarka mudiyum? || Enoda PIN ilakkathai meendum iyangas seyveergala? || Naan thavaruthalaaga enoda PIN ilakkathai mudakkivitten. athai eppadi meelamaipathu? || Pala murai pizhaiyaaga ullittathaal mudakkappatta enoda PIN ilakkathai eppadi viduvippathu?,Spelling variation & Romanization ambiguity in Tanglish loanwords,Add explicit Tanglish transliteration variants for pin_blocked and get_physical_card
disposable_card_limits,get_disposable_virtual_card,19,"Naan eppadi pala disposable card-galai petrukkolvathu? || Oru naalaikku ennal pala disposable card-galai uruvakka mudiyuma? || Oru naalaikku pala murai enoda disposable card-ai naan payanpadutha vendum, atharku aethenum limit ullatha? || Oru naalil ondrukku merpatta disposable card-galai naan eppadi uruvakkuvathu? || Ennidam ondrukku merpatta disposable card-gal irukka mudiyuma?",Spelling variation & Romanization ambiguity in Tanglish loanwords,Add explicit Tanglish transliteration variants for disposable_card_limits and get_disposable_virtual_card
pending_top_up,top_up_failed,15,"Naan oru puthiya vaadikkaiyaalar, indru gas nirappukiren, athu velai seiyala, arai mani neramaaga pending endru kaattuthu! || Indru kaalai enoda card top-up seiyappattathu, aanal ennal panathai kaana mudiyala. Athu yaen poorthiyaagavillai? || Enoda top-up innum pending-il iruppatharku enna kaaranam irukkakkoodum? || Enoda top-up-il thaamatham eerpattullathu. || Enoda top-up innum niraivearaamal iruppatharku eathenum kaaranam undaa?",Spelling variation & Romanization ambiguity in Tanglish loanwords,Add explicit Tanglish transliteration variants for pending_top_up and top_up_failed
request_refund,cancel_transfer,14,"Vanakkam- intha thayaarippukku naan avasaramaaga panathai thirumba pera vendum. Viyabaari entha uthaviyum seiyala, ithai evvalavu seekiram theerka naan ippo enna seiya vendum? || Enoda porulukku naan panathai thirumba pera mudiyuma? || Oru porukaana panathai thirumba perungal || Naan vaangiya oru porulukku panathai thirumba pera mudiyuma? || Naan panathai thirumba pera vendum",Spelling variation & Romanization ambiguity in Tanglish loanwords,Add explicit Tanglish transliteration variants for request_refund and cancel_transfer
wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,14,"Naan veru naattin naanayathai payanpaduthiyapothu enakku sariyana alavu cash kidaikkala. || Naan ATM iyandhirathilirundhu cash eduthen, athu matroru naanayathilirundhu thavarana dollar mathippai maatru seythullathu! || Kadandha vidumurai naalil naan ATM-il irundhu cash eduthen, atharkku ennidam adhiga fee vasoolikkappattadhaga theriyuthu. Ikkattanangal patri enakku therindhirundhal naan cash eduthirukka maatten. || Currency maatru rate sariyaga ullatha enbadhai urudhipadutha paarka mudiyuma? || Enoda pana perugaikkaana currency maatru rate thavaranathu.",Spelling variation & Romanization ambiguity in Tanglish loanwords,Add explicit Tanglish transliteration variants for wrong_exchange_rate_for_cash_withdrawal and card_payment_wrong_exchange_rate
virtual_card_not_working,getting_virtual_card,13,Enoda disposable virtual card yaen niraagarikkappaduguthu? || Enoda disposable virtual card velai seiyala pol theriyuthu. || Enoda disposable virtual card paluthadainthullathu. || Enoda non-physical card velai seiyaathu. || Gym subscription selutha naan payanpaduthiya disposable virtual card yaen niraagarikkappattathu?,Spelling variation & Romanization ambiguity in Tanglish loanwords,Add explicit Tanglish transliteration variants for virtual_card_not_working and getting_virtual_card
