model,checkpoint,language,fertility,mean_tokens,p99_tokens,unk_pct,char_kept,mark_kept,zwj_ok,vocab_size
labse,sentence-transformers/LaBSE,english,1.184,14.3,50,0.0,1.0,,False,501153
labse,sentence-transformers/LaBSE,sinhala,1.374,13.7,46,0.0,0.9983,1.0,False,501153
labse,sentence-transformers/LaBSE,singlish,1.617,16.2,53,0.0,1.0,,False,501153
labse,sentence-transformers/LaBSE,tamil,1.858,16.9,56,0.0,1.0,1.0,False,501153
labse,sentence-transformers/LaBSE,tamilish,1.999,19.5,69,0.0,1.0,,False,501153
qwen3-emb-0.6b,Qwen/Qwen3-Embedding-0.6B,english,1.158,14.0,49,0.0,1.0,,True,151669
qwen3-emb-0.6b,Qwen/Qwen3-Embedding-0.6B,sinhala,5.969,61.0,213,0.0,1.0,1.0,True,151669
qwen3-emb-0.6b,Qwen/Qwen3-Embedding-0.6B,singlish,2.022,20.4,67,0.0,1.0,,True,151669
qwen3-emb-0.6b,Qwen/Qwen3-Embedding-0.6B,tamil,9.225,86.0,307,0.0,1.0,1.0,True,151669
qwen3-emb-0.6b,Qwen/Qwen3-Embedding-0.6B,tamilish,2.345,23.1,81,0.0,1.0,,True,151669
qwen3-0.6b,Qwen/Qwen3-0.6B,english,1.158,14.0,49,0.0,1.0,,True,151669
qwen3-0.6b,Qwen/Qwen3-0.6B,sinhala,5.969,61.0,213,0.0,1.0,1.0,True,151669
qwen3-0.6b,Qwen/Qwen3-0.6B,singlish,2.022,20.4,67,0.0,1.0,,True,151669
qwen3-0.6b,Qwen/Qwen3-0.6B,tamil,9.225,86.0,307,0.0,1.0,1.0,True,151669
qwen3-0.6b,Qwen/Qwen3-0.6B,tamilish,2.345,23.1,81,0.0,1.0,,True,151669
qwen3-1.7b,Qwen/Qwen3-1.7B,english,1.158,14.0,49,0.0,1.0,,True,151669
qwen3-1.7b,Qwen/Qwen3-1.7B,sinhala,5.969,61.0,213,0.0,1.0,1.0,True,151669
qwen3-1.7b,Qwen/Qwen3-1.7B,singlish,2.022,20.4,67,0.0,1.0,,True,151669
qwen3-1.7b,Qwen/Qwen3-1.7B,tamil,9.225,86.0,307,0.0,1.0,1.0,True,151669
qwen3-1.7b,Qwen/Qwen3-1.7B,tamilish,2.345,23.1,81,0.0,1.0,,True,151669
gemma-3-1b,unsloth/gemma-3-1b-pt,english,1.181,14.3,50,0.0,1.0,,True,262145
gemma-3-1b,unsloth/gemma-3-1b-pt,sinhala,2.239,22.6,75,0.0,1.0,1.0,True,262145
gemma-3-1b,unsloth/gemma-3-1b-pt,singlish,1.862,18.7,61,0.0,1.0,,True,262145
gemma-3-1b,unsloth/gemma-3-1b-pt,tamil,2.195,20.0,67,0.0,1.0,1.0,True,262145
gemma-3-1b,unsloth/gemma-3-1b-pt,tamilish,2.205,21.6,75,0.0,1.0,,True,262145
gemma-3-270m,unsloth/gemma-3-270m,english,1.181,14.3,50,0.0,1.0,,True,262145
gemma-3-270m,unsloth/gemma-3-270m,sinhala,2.239,22.6,75,0.0,1.0,1.0,True,262145
gemma-3-270m,unsloth/gemma-3-270m,singlish,1.862,18.7,61,0.0,1.0,,True,262145
gemma-3-270m,unsloth/gemma-3-270m,tamil,2.195,20.0,67,0.0,1.0,1.0,True,262145
gemma-3-270m,unsloth/gemma-3-270m,tamilish,2.205,21.6,75,0.0,1.0,,True,262145
llama-3.2-1b,unsloth/Llama-3.2-1B,english,1.155,14.0,49,0.0,1.0,,True,128256
llama-3.2-1b,unsloth/Llama-3.2-1B,sinhala,7.394,75.3,257,0.0,1.0,1.0,True,128256
llama-3.2-1b,unsloth/Llama-3.2-1B,singlish,2.005,20.2,67,0.0,1.0,,True,128256
llama-3.2-1b,unsloth/Llama-3.2-1B,tamil,11.46,106.4,379,0.0,1.0,1.0,True,128256
llama-3.2-1b,unsloth/Llama-3.2-1B,tamilish,2.335,23.0,81,0.0,1.0,,True,128256
sinllama,polyglots/SinLlama_v01,english,1.155,14.0,49,0.0,1.0,,True,139336
sinllama,polyglots/SinLlama_v01,sinhala,1.279,12.8,41,0.0,1.0,1.0,True,139336
sinllama,polyglots/SinLlama_v01,singlish,2.005,20.2,67,0.0,1.0,,True,139336
sinllama,polyglots/SinLlama_v01,tamil,11.46,106.4,379,0.0,1.0,1.0,True,139336
sinllama,polyglots/SinLlama_v01,tamilish,2.335,23.0,81,0.0,1.0,,True,139336
