row_id,text,category,gold_sentiment,pred_sentiment,gold_priority,pred_priority
596,There is a €1 extra fee in my statement,extra_charge_on_statement,Neutral,Neutral,Low,Medium
1802,How do I troubleshoot my contactless?,contactless_not_working,Neutral,Neutral,Low,Medium
4523,What do I do if I think someone has used my card without permission? I can see a few transactions I don't recognize.,compromised_card,Neutral,Negative,High,High
4970,"This morning I wanted to make a withdrawal before work, but my card was declined! Please double check it for me as this is the first time it was declined.",declined_cash_withdrawal,Negative,Neutral,Medium,Medium
5345,My phone was left at a hotel and I can't access the app.,lost_or_stolen_phone,Neutral,Neutral,Low,High
2008,Why is the top-up I made still pending.,pending_top_up,Negative,Neutral,Medium,Low
5878,"I was just shopping and my payment was declined in a store!  It was very embarrassing, what is going on and when will it be fixed?",declined_card_payment,Negative,Negative,High,Medium
1502,Are you able to guide me to my card's location?,lost_or_stolen_card,Neutral,Neutral,Low,High
8318,The applied exchange rate is wrong for the cash I got abroad.,wrong_exchange_rate_for_cash_withdrawal,Negative,Neutral,Medium,Medium
7803,why do i need to verify the top up?,verify_top_up,Negative,Neutral,Medium,Low
8851,I hope you can help me. Someone has stolen my wallet and now I have noticed that they have been taking money from my account.,cash_withdrawal_not_recognised,Neutral,Negative,High,High
1735,What should I do if I exceed my PIN tries?,pin_blocked,Neutral,Neutral,Low,High
8225,Foreign currency rates were put in wrong at an ATM i used.,wrong_exchange_rate_for_cash_withdrawal,Negative,Neutral,Medium,Medium
9425,"I received a fee for obtaining cash, is this correct?",cash_withdrawal_charge,Neutral,Neutral,Low,Medium
8367,I withdrew cash abroad and the exchange rate applied is wrong.,wrong_exchange_rate_for_cash_withdrawal,Negative,Neutral,Medium,Medium
1499,I think my card is stolen!,lost_or_stolen_card,Neutral,Negative,High,High
6369,I was charged several times for something,transaction_charged_twice,Negative,Neutral,High,High
1340,I am having problems with my physical card.,card_not_working,Negative,Neutral,Medium,Medium
9127,Is it free for top ups?,top_up_by_card_charge,Neutral,Neutral,Low,Medium
2442,The ATM shows a withdraw of the amount of money I requested but I didn't revieve that amount in cash.,wrong_amount_of_cash_received,Negative,Neutral,High,Medium
3332,What happens if I deposit a cheque accidentally?,balance_not_updated_after_cheque_or_cash_deposit,Neutral,Neutral,Low,Medium
523,"I have been charged to much for the object I bought when abroad, the exchange rate seems to be wrong.",card_payment_wrong_exchange_rate,Negative,Neutral,High,Medium
844,Is there any reason my cash withdrawal still shows as pending?,pending_cash_withdrawal,Negative,Neutral,Medium,Low
8701,"How long do transfers from a local bank account usually take for you? I just made a transfer and I'm not seeing anything, wondering if it worked",balance_not_updated_after_bank_transfer,Neutral,Neutral,Low,Medium
5598,"Hello. My credit keeps being declined, last night and again today, as I try to buy something. What is the status of my card?",declined_transfer,Negative,Negative,High,Medium
736,An extra fee of €1 was in my statement,extra_charge_on_statement,Neutral,Neutral,Low,Medium
5021,"Hi, I am unable to use my card in ATM. I had tried my card in two ATMs but both ATMs declined it. Could you please check my account?",declined_cash_withdrawal,Neutral,Negative,Medium,Medium
5122,How is my card payment still pending?,pending_card_payment,Neutral,Negative,Low,Low
7491,Why do my transfers keep failing?,failed_transfer,Neutral,Negative,High,Medium
8971,Is there a pay structure for currency exchanges?,exchange_charge,Neutral,Neutral,Low,Medium
4005,My pin isn't here yet,get_physical_card,Neutral,Neutral,Medium,Low
6106,"How long does EU transfer take? I bought something online a couple days ago , sent the money immediately online but the seller says it is still not there yet",pending_transfer,Neutral,Negative,Medium,Low
5074,I think I am having an issue with withdraws on my card. It was declined on the way to work this morning. This hasn't happened in the past.,declined_cash_withdrawal,Neutral,Neutral,High,Medium
1926,Do you process SWIFT transfers?,top_up_by_bank_transfer_charge,Neutral,Neutral,Low,Medium
3993,What do I need to bring for identification?,unable_to_verify_identity,Neutral,Neutral,Low,High
657,I am being charged Rs 10 out of nowhere. What is this?,extra_charge_on_statement,Negative,Neutral,High,Medium
2468,"I wanted to take out Rs 100,000 but I only got Rs 20,000.",wrong_amount_of_cash_received,Neutral,Neutral,Low,Medium
6332,I have a duplicate charge,transaction_charged_twice,Neutral,Neutral,Medium,High
7200,Why are you charging me a transfer fee?,transfer_fee_charged,Negative,Neutral,Low,Medium
2613,I was charged a hidden fee when I paid with card.,card_payment_fee_charged,Neutral,Neutral,Low,Medium
4637,There is a strange charge on my debit statement,direct_debit_payment_not_recognised,Neutral,Neutral,Medium,High
3397,"After I deposited my cash, I still don't see it in my account.",balance_not_updated_after_cheque_or_cash_deposit,Neutral,Negative,Medium,Medium
747,My account shows up as pending after I received cash from the ATM earlier.  How can this be still pending? I've got the cash already.,pending_cash_withdrawal,Negative,Negative,Medium,Low
8581,I don't know why my credit card was declined while I was trying to top-up. Was it something on my end or was there something wrong with the top-up function?,top_up_failed,Negative,Neutral,Medium,Medium
1815,"I am having issues using contactless payments, could my card be damaged?",contactless_not_working,Neutral,Neutral,Low,Medium
3950,What should I do if I can't prove my identity.,unable_to_verify_identity,Neutral,Neutral,Low,High
1793,Can I make a contactless payments?,contactless_not_working,Neutral,Neutral,Low,Medium
7016,My transfer to an account failed.,beneficiary_not_allowed,Neutral,Neutral,Medium,Low
8960,How much will I be charged for a cross-currency exchange?,exchange_charge,Neutral,Neutral,Low,Medium
2029,"How long is a top up supposed to be pending, because an hour is too long! Can you fix this to go through?",pending_top_up,Negative,Negative,Medium,Low
1850,Is there a fee to make a transfer?,top_up_by_bank_transfer_charge,Neutral,Neutral,Low,Medium
8204,What do I do if my disposable virtual card doesn't work?,virtual_card_not_working,Neutral,Neutral,Low,Medium
7265,"I made a transfer and according to the receiver ""they haven't received the right amount"" Its lesser than it should be.Now I have to transfer more money to make up for the missing amount . Can you please help me about this,what should be done",transfer_fee_charged,Neutral,Neutral,Low,Medium
5700,When will my returned transaction show up on my account?,Refund_not_showing_up,Neutral,Neutral,Low,Medium
7319,Why did I get charged a fee for my transfer?,transfer_fee_charged,Neutral,Neutral,Low,Medium
5325,What should I do if my phone is lost or stolen?,lost_or_stolen_phone,Neutral,Neutral,Low,High
4879,Help! I've forgot my app passcode!,passcode_forgotten,Neutral,Negative,Medium,High
9605,"I have a card that expires in the coming month, do I have to specifically ask for the updated card?",card_about_to_expire,Neutral,Neutral,Medium,Low
6300,How do I get my card back after the ATM swallowed it.,card_swallowed,Neutral,Neutral,Medium,High
5957,"I keep trying to make a payment, but it doesn't work.",declined_card_payment,Neutral,Negative,Low,Medium
2738,How long do transfers typically take? Is there a way of speeding the process up? My friend needs the money I sent her desperately.,transfer_not_received_by_recipient,Neutral,Negative,High,Medium
9097,Will I see fees from adding money with an international card?,top_up_by_card_charge,Neutral,Neutral,Low,Medium
8824,The app says I made a cash withdrawal even though I didn't.,cash_withdrawal_not_recognised,Negative,Neutral,High,High
6863,"Around one or two weeks ago I purchased something but there's seems to be an issue. I have already received one of the items, but today the money was placed back into my account. What is happening?",reverted_card_payment?,Neutral,Neutral,Medium,Low
2546,Is there a fee for paying by card?,card_payment_fee_charged,Neutral,Neutral,Low,Medium
5027,Why can I not get cash from the ATM?,declined_cash_withdrawal,Neutral,Neutral,Low,Medium
6245,What do I do if the ATM took my card?,card_swallowed,Neutral,Neutral,Medium,High
584,I have been charged Rs 10 for something that appears on my statement,extra_charge_on_statement,Neutral,Neutral,Low,Medium
7097,Why is this beneficiary being rejected?,beneficiary_not_allowed,Neutral,Neutral,Medium,Low
5731,I was supposed to get a refund but I do not see it on my statement. When is it going to be updated?,Refund_not_showing_up,Neutral,Neutral,Low,Medium
8609,Was there a problem with topping up?,top_up_failed,Negative,Neutral,Medium,Medium
1995,Why hasn't my top up gone through?,pending_top_up,Negative,Neutral,Medium,Low
188,"I want to reactivate my card, I thought I had lost it but found it again this morning.",card_linking,Neutral,Neutral,Medium,Low
7542,"Hi, can you tell me why my transfer keeps being rejected? I've been trying to send money to my friends this morning but failed every time and I have no idea why?",failed_transfer,Neutral,Negative,Medium,Medium
1904,Does it cost me to add cash?,top_up_by_bank_transfer_charge,Neutral,Neutral,Low,Medium
3192,"Did you lose my money? I had added funds through top-up not long ago and I know they were in my account, but they seem to have disappeared. What happened?",top_up_reverted,Negative,Negative,Medium,Low
1725,I managed to drunken block my card :(( Help!,pin_blocked,Neutral,Negative,Medium,High
6878,My payment was stopped,reverted_card_payment?,Neutral,Neutral,Medium,Low
6065,I am still waiting for a transfer to show,pending_transfer,Negative,Negative,Medium,Low
2174,"I made a mistake when making my last transfer, please cancel before it goes thru.",cancel_transfer,Neutral,Neutral,High,Medium
9173,Is there a fee for adding funds with a credit card?,top_up_by_card_charge,Neutral,Neutral,Low,Medium
3931,The app does not recognize who I am.,unable_to_verify_identity,Neutral,Neutral,Low,High
6798,Card payment has be declined.,reverted_card_payment?,Neutral,Neutral,Medium,Low
5511,Are purchases returnable for full refund?,request_refund,Neutral,Neutral,Low,Medium
3920,I'm not able to verify my identity.,unable_to_verify_identity,Neutral,Neutral,Low,High
8501,What reasons would a topup fail?,top_up_failed,Neutral,Neutral,Low,Medium
8979,How much do I have to pay to accept an international transfer?,exchange_charge,Neutral,Neutral,Low,Medium
9146,What are the top-up fees for my card?,top_up_by_card_charge,Neutral,Neutral,Low,Medium
6291,how can the money machine keep my card what do i need to do?,card_swallowed,Neutral,Neutral,Medium,High
3803,Why do you guys need to verify my identity?,why_verify_identity,Negative,Neutral,Low,Low
4479,I want to cancel my card. I think someone else is using it.,compromised_card,Neutral,Negative,High,High
5109,"My card payment is just showing up as pending since forever, what's going on with that, it should be going through at some point?",pending_card_payment,Negative,Negative,High,Low
1881,Will I be charged for adding money by transfer?,top_up_by_bank_transfer_charge,Neutral,Neutral,Low,Medium
14,It's been a week since I ordered my card and it's not here. Please help?,card_arrival,Negative,Negative,High,Low
4506,I see some transactions that I don't recognize.  I think someone stole my details.,compromised_card,Neutral,Negative,High,High
1494,I believe that my card has been stolen!,lost_or_stolen_card,Neutral,Negative,High,High
3265,"Hello. I tried doing a topup and I thought it worked, but now the money is no longer in my account. Can you explain?",top_up_reverted,Negative,Neutral,Medium,Low
6288,What do I do if the ATM swallowed my card?,card_swallowed,Neutral,Neutral,Medium,High
5571,Why would I get a decline message in a transfer?,declined_transfer,Neutral,Neutral,Low,Medium
9366,Why have I been charged for pulling cash out of my own account?,cash_withdrawal_charge,Neutral,Neutral,Low,Medium
598,I checked my account today and saw that I was charged an extra Rs 10 that I did not spend.,extra_charge_on_statement,Neutral,Neutral,Low,Medium
4648,I do not understand what this particular direct debit is ?,direct_debit_payment_not_recognised,Neutral,Neutral,Low,High
6163,if im not using my account should i close it or just let it sit,terminate_account,Neutral,Neutral,Low,High
4834,I happened to forget my password,passcode_forgotten,Neutral,Neutral,Medium,High
3461,where is my money from this morning,balance_not_updated_after_cheque_or_cash_deposit,Negative,Neutral,Medium,Medium
5971,Why would my card payment not work?,declined_card_payment,Negative,Neutral,Medium,Medium
539,I don't think the charges made when I had currency exchanged are right.,card_payment_wrong_exchange_rate,Negative,Neutral,Medium,Medium
7054,Why did my transfer to a beneficiary fail?,beneficiary_not_allowed,Neutral,Neutral,Medium,Low
2136,Who do I call to cancel a transfer?,cancel_transfer,Neutral,Neutral,Low,Medium
1843,To receive money are there charges?,top_up_by_bank_transfer_charge,Neutral,Neutral,Low,Medium
2603,I was spending cash with my card and got a fee.,card_payment_fee_charged,Neutral,Neutral,Low,Medium
6724,"Hi, I had an issue with my card payment and It shows on my account that my payment went through. Then I got contacted from the seller saying ""they did not receive my payment"" then the payment was returned to my account. so I would like to see why it did that please.",reverted_card_payment?,Neutral,Neutral,Medium,Low
1676,Can someone help me unblock my pin?,pin_blocked,Neutral,Neutral,Medium,High
9502,Why did you charge a fee when I withdrew from an ATM?,cash_withdrawal_charge,Neutral,Neutral,Low,Medium
5237,Why is the payment from my card still pending?,pending_card_payment,Neutral,Neutral,Medium,Low
1313,What can I do to make my physical card work?,card_not_working,Neutral,Neutral,Low,Medium
2342,I didn't get the correct amount of money from the ATM machine,wrong_amount_of_cash_received,Neutral,Neutral,High,Medium
3936,I'm having problems with ID verification,unable_to_verify_identity,Neutral,Neutral,Low,High
6280,An ATM machine didn't return my card.,card_swallowed,Neutral,Neutral,Medium,High
8577,I need information explaining why my top-up failed to go through,top_up_failed,Neutral,Neutral,Low,Medium
2170,I inadvertently completed a transaction on a wrong account.,cancel_transfer,Neutral,Neutral,High,Medium
8637,My transfer into my account isn't showing up.,balance_not_updated_after_bank_transfer,Neutral,Neutral,Low,Medium
3921,The app is not able to realize that it is me.,unable_to_verify_identity,Neutral,Neutral,Low,High
5604,I am unable to transfer money. I believe it is not working because it states it was declined.,declined_transfer,Neutral,Neutral,Low,Medium
4090,I've been waiting ages and my PIN hasn't gotten here.,get_physical_card,Negative,Negative,Medium,Low
3820,Do you think you're asking for too much information about me?,why_verify_identity,Negative,Neutral,Low,Low
142,My new card isn't here and it was issued a week ago.,card_arrival,Negative,Neutral,Medium,Low
8168,Can I use my virtual card to complete transactions for memberships?,virtual_card_not_working,Neutral,Neutral,Low,Medium
1816,"What is the reason when I tried to pay contactless at the bus, it didnt work?",contactless_not_working,Neutral,Neutral,Low,Medium
6022,What is going on? I have checked over and over and the details of my account are right. Why is my transfer still pending? It's 2018 not 1818. Transfering money to another country can't be that hard.,pending_transfer,Negative,Negative,High,Low
1980,"I already paid to top-up but the funds aren't available yet, where are they?",pending_top_up,Negative,Neutral,Medium,Low
674,Can you tell me about why the account I have was charged an extra Rs 10,extra_charge_on_statement,Neutral,Neutral,Low,Medium
4881,I don't remember my passcode?,passcode_forgotten,Neutral,Neutral,Medium,High
7933,"Help me please, I need to top up cash.",top_up_by_cash_or_cheque,Neutral,Neutral,Medium,Low
8829,I see cash in my app but I did not get it.,cash_withdrawal_not_recognised,Neutral,Neutral,Medium,High
9287,My card activation attempt failed.,activate_my_card,Neutral,Neutral,Medium,Low
5656,I have been trying to make a transfer and it won't go through. I have checked all the receipts and its all correct but still won't let me do it.,declined_transfer,Neutral,Negative,Medium,Medium
1782,Should i uninstall the app before i try it again?,contactless_not_working,Neutral,Neutral,Low,Medium
4690,How can I dispute a debit transaction?,direct_debit_payment_not_recognised,Neutral,Neutral,Low,High
2637,When do i get charged a fee for using the card?,card_payment_fee_charged,Neutral,Neutral,Low,Medium
4046,wheres my pin,get_physical_card,Negative,Neutral,Medium,Low
6302,atm ate my card,card_swallowed,Neutral,Neutral,Medium,High
2803,Why is my transaction taking so long to complete?,transfer_not_received_by_recipient,Negative,Neutral,Medium,Medium
9029,How much is the charge for a foreign currency exchange?,exchange_charge,Neutral,Neutral,Low,Medium
800,"Hello. I have a transaction in my account listed as pending. I tried to use an ATM at the city centre, but the machine declined my card, and I did not receive the money. Why is the transaction still pending if I did not receive the money.",pending_cash_withdrawal,Neutral,Neutral,Medium,Low
586,Where did this extra €1 fee on my statement come from?,extra_charge_on_statement,Neutral,Neutral,Low,Medium
9406,I was charged a fee for withdrawing cash.,cash_withdrawal_charge,Neutral,Neutral,Low,Medium
9036,Do I get any sort of discount on volume for a lot fo currency exchanges?,exchange_charge,Neutral,Neutral,Low,Medium
9013,Do you offer a discount for those who perform frequent currency exchanges?,exchange_charge,Neutral,Neutral,Low,Medium
8301,I had the wrong exchange rate applied to some cash I got abroad.,wrong_exchange_rate_for_cash_withdrawal,Neutral,Neutral,High,Medium
4837,I do not understand why my pass-code is not working.,passcode_forgotten,Negative,Neutral,Medium,High
7304,"After a transfer, I see an extra fee.  Why?",transfer_fee_charged,Neutral,Neutral,Low,Medium
7079,My funds are not transferring to my bank. Why is this not working?,beneficiary_not_allowed,Negative,Neutral,Medium,Low
420,This exchange rate you use is awful! Please tell me this is a mistake and not the official interbank exchange rate!,card_payment_wrong_exchange_rate,Negative,Negative,High,Medium
9697,My Google pay top up isn't working.,apple_pay_or_google_pay,Neutral,Neutral,Medium,Low
