lang,split,group,id,text,category,sentiment,priority
tamil,train,8,1208,தானியங்கி மீள்நிரப்புத் தெரிவை நான் எங்கே காணலாம்?,automatic_top_up,Neutral,Low
tamil,train,8,1230,தானியங்கி மீள்நிரப்புத் தெரிவை நான் எங்கே காணலாம்?,automatic_top_up,Neutral,Low
tamil,train,3,3167,எனது டொப்-அப் ஏன் திரும்பப் பெறப்பட்டது?,top_up_reverted,Neutral,Medium
tamil,train,3,3170,எனது டொப்-அப் ஏன் திரும்பப் பெறப்பட்டது?,top_up_reverted,Neutral,Medium
tamil,train,2,3178,எனது டாப்-அப் ஏன் திரும்பப் பெறப்பட்டது?,top_up_reverted,Neutral,Low
tamil,train,2,3194,எனது டாப்-அப் ஏன் திரும்பப் பெறப்பட்டது?,top_up_reverted,Neutral,Low
tamil,train,4,4013,எனது பின் இலக்கத்தை நான் எவ்வாறு கண்டறிவது?,get_physical_card,Neutral,Low
tamil,train,4,4033,எனது பின் இலக்கத்தை நான் எவ்வாறு கண்டறிவது?,get_physical_card,Neutral,Low
tamil,train,6,5022,ஏடிஎம் என்னை பணம் எடுக்க அனுமதிக்கவில்லை.,declined_cash_withdrawal,Neutral,Medium
tamil,train,6,5046,ஏடிஎம் என்னை பணம் எடுக்க அனுமதிக்கவில்லை.,declined_cash_withdrawal,Neutral,Medium
tamil,train,9,5551,பணப் பரிமாற்றம் நிராகரிக்கப்பட்டது.,declined_transfer,Neutral,Medium
tamil,train,9,5561,பணப் பரிமாற்றம் நிராகரிக்கப்பட்டது.,declined_transfer,Neutral,Medium
tamil,train,1,6098,எனக்கு ஒரு பணப்பரிமாற்றம் நிலுவையில் உள்ளது.,pending_transfer,Neutral,Low
tamil,train,1,6122,எனக்கு ஒரு பணப்பரிமாற்றம் நிலுவையில் உள்ளது.,pending_transfer,Neutral,Low
tamil,train,7,6146,கணக்கை நீக்க முடியுமா?,terminate_account,Neutral,High
tamil,train,7,6230,கணக்கை நீக்க முடியுமா?,terminate_account,Neutral,High
tamil,train,0,6911,எந்த ஏடிஎம் இயந்திரங்கள் எனது பின் இலக்கத்தை மாற்ற அனுமதிக்கும்?,change_pin,Neutral,Low
tamil,train,0,6990,எந்த ஏடிஎம் இயந்திரங்கள் எனது பின் இலக்கத்தை மாற்ற அனுமதிக்கும்?,change_pin,Neutral,Low
tamil,train,5,9212,என் அட்டையைச் செயல்படுத்துவது எப்படி?,activate_my_card,Neutral,Low
tamil,train,5,9284,என் அட்டையைச் செயல்படுத்துவது எப்படி?,activate_my_card,Neutral,Low
tamil,test,8,4,எனது அட்டை இன்னும் வந்து சேரவில்லை.,card_arrival,Neutral,Low
tamil,test,8,30,எனது அட்டை இன்னும் வந்து சேரவில்லை.,card_arrival,Neutral,Low
tamil,test,26,44,என்னிடம் ஏற்கனவே உள்ள அட்டையை நான் எவ்வாறு இணைப்பது?,card_linking,Neutral,Low
tamil,test,26,67,என்னிடம் ஏற்கனவே உள்ள அட்டையை நான் எவ்வாறு இணைப்பது?,card_linking,Neutral,Low
tamil,test,2,99,உங்கள் நாணய மாற்று விகிதங்களை எங்கிருந்து பெறுகிறீர்கள்?,exchange_rate,Neutral,Low
tamil,test,2,113,உங்கள் நாணய மாற்று விகிதங்களை எங்கிருந்து பெறுகிறீர்கள்?,exchange_rate,Neutral,Low
tamil,test,36,333,தானியங்கி மீள்நிரப்புத் தெரிவு எங்கே இருக்கிறது?,automatic_top_up,Neutral,Low
tamil,test,36,342,தானியங்கி மீள்நிரப்புத் தெரிவு எங்கே இருக்கிறது?,automatic_top_up,Neutral,Low
tamil,test,21,366,என் கார்டு ஏன் வேலை செய்யவில்லை?,card_not_working,Neutral,Medium
tamil,test,21,375,என் கார்டு ஏன் வேலை செய்யவில்லை?,card_not_working,Neutral,Medium
tamil,test,23,387,என்னால் என் கார்டைப் பயன்படுத்த முடியாது.,card_not_working,Neutral,Medium
tamil,test,23,389,என்னால் என் கார்டைப் பயன்படுத்த முடியாது.,card_not_working,Neutral,Medium
tamil,test,30,490,கணக்கொன்றைத் திறப்பதற்கான குறைந்தபட்ச வயது என்ன?,age_limit,Neutral,Low
tamil,test,30,502,கணக்கொன்றைத் திறப்பதற்கான குறைந்தபட்ச வயது என்ன?,age_limit,Neutral,Low
tamil,test,31,515,கணக்கொன்றைத் திறப்பதற்கு எனது பிள்ளைகளுக்கு எத்தனை வயது இருக்க வேண்டும்?,age_limit,Neutral,Low
tamil,test,31,516,கணக்கொன்றைத் திறப்பதற்கு எனது பிள்ளைகளுக்கு எத்தனை வயது இருக்க வேண்டும்?,age_limit,Neutral,Low
tamil,test,11,663,எனது டொப்-அப் ஏன் இன்னும் நிலுவையில் உள்ளது?,pending_top_up,Neutral,Low
