id,text_en,text,category,sentiment,priority
0,I am still waiting on my card?,I am still waiting on my card?,card_arrival,Neutral,Low
1,What can I do if my card still hasn't arrived after 2 weeks?,What can I do if my card still hasn't arrived after 2 weeks?,card_arrival,Neutral,Low
2,I have been waiting over a week. Is the card still coming?,I have been waiting over a week. Is the card still coming?,card_arrival,Neutral,Low
3,Can I track my card while it is in the process of delivery?,Can I track my card while it is in the process of delivery?,card_arrival,Neutral,Low
4,"How do I know if I will get my card, or if it is lost?","How do I know if I will get my card, or if it is lost?",card_arrival,Neutral,Low
5,When did you send me my new card?,When did you send me my new card?,card_arrival,Neutral,Low
6,Do you have info about the card on delivery?,Do you have info about the card on delivery?,card_arrival,Neutral,Low
7,What do I do if I still have not received my new card?,What do I do if I still have not received my new card?,card_arrival,Neutral,Low
8,Does the package with my card have tracking?,Does the package with my card have tracking?,card_arrival,Neutral,Low
9,I ordered my card but it still isn't here,I ordered my card but it still isn't here,card_arrival,Neutral,Low
10,Why has my new card still not come?,Why has my new card still not come?,card_arrival,Neutral,Low
11,"I still haven't received my card after two weeks, is it lost?","I still haven't received my card after two weeks, is it lost?",card_arrival,Neutral,Low
12,Can you track my card for me?,Can you track my card for me?,card_arrival,Neutral,Low
13,Is there a way to track the delivery of my card?,Is there a way to track the delivery of my card?,card_arrival,Neutral,Low
14,It's been a week since I ordered my card and it's not here. Please help?,It's been a week since I ordered my card and it's not here. Please help?,card_arrival,Neutral,Low
15,Will I be able to track the card that was sent to me?,Will I be able to track the card that was sent to me?,card_arrival,Neutral,Low
16,I don't have my card in 1 week.  Should I be worried?,I don't have my card in 1 week.  Should I be worried?,card_arrival,Neutral,Low
17,How do I know when my new card is going to arrive?,How do I know when my new card is going to arrive?,card_arrival,Neutral,Low
18,My new card has not been delivered to my home yet. What is going on?,My new card has not been delivered to my home yet. What is going on?,card_arrival,Neutral,Low
19,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,Neutral,Low
20,"On the card that is coming, what's the tracking info?","On the card that is coming, what's the tracking info?",card_arrival,Neutral,Low
21,What is the status of my card's delivery?,What is the status of my card's delivery?,card_arrival,Neutral,Low
22,Have you sent out my card yet?,Have you sent out my card yet?,card_arrival,Neutral,Low
23,My card isn't here yet.,My card isn't here yet.,card_arrival,Neutral,Low
24,where is my new card?,where is my new card?,card_arrival,Neutral,Low
25,It's been a week since you sent my card and I still don't have it.,It's been a week since you sent my card and I still don't have it.,card_arrival,Neutral,Low
26,How do I track the card you sent me?,How do I track the card you sent me?,card_arrival,Neutral,Low
27,When will I recieve my new card?,When will I recieve my new card?,card_arrival,Neutral,Low
28,When will I get my new card?,When will I get my new card?,card_arrival,Neutral,Low
29,What is the expected delivery date for my card?,What is the expected delivery date for my card?,card_arrival,Neutral,Low
30,Is there a tracking number for the card you sent me?,Is there a tracking number for the card you sent me?,card_arrival,Neutral,Low
31,I would like to track the card you sent to me.,I would like to track the card you sent to me.,card_arrival,Neutral,Low
32,Has my card been lost in delivery?,Has my card been lost in delivery?,card_arrival,Neutral,Low
33,My new card hasn't came in.,My new card hasn't came in.,card_arrival,Neutral,Low
34,Where is the card I ordered 2 weeks ago?,Where is the card I ordered 2 weeks ago?,card_arrival,Neutral,Low
35,Can I get an update on my replacement card?,Can I get an update on my replacement card?,card_arrival,Neutral,Low
36,How long does it take for a new card to ship?,How long does it take for a new card to ship?,card_arrival,Neutral,Low
37,What's the tracking on the card you sent?,What's the tracking on the card you sent?,card_arrival,Neutral,Low
38,I haven't received my card and am worried it is lost.,I haven't received my card and am worried it is lost.,card_arrival,Negative,Low
39,My card still hasn't been delivered,My card still hasn't been delivered,card_arrival,Neutral,Low
40,I need to find out where the card is that I ordered.,I need to find out where the card is that I ordered.,card_arrival,Neutral,Low
41,Where is my credit card that was to be mailed?,Where is my credit card that was to be mailed?,card_arrival,Neutral,Low
42,I ordered my card but it hasn't been delivered yet,I ordered my card but it hasn't been delivered yet,card_arrival,Neutral,Low
43,Am I able to track the card that was just sent to me?,Am I able to track the card that was just sent to me?,card_arrival,Neutral,Low
44,Can you tell me why I haven't received my new card?,Can you tell me why I haven't received my new card?,card_arrival,Neutral,Low
