error,id,language,y_true,y_pred,text_en,text
false_negative,23,english,Negative,Neutral,I ordered my card 2 weeks ago and it still isn't here? What do I do?,I ordered my card 2 weeks ago and it still isn't here? What do I do?
false_negative,162,english,Negative,Neutral,I'm not okay with this fee on my statement.,I'm not okay with this fee on my statement.
false_negative,183,english,Negative,Neutral,Why was I overcharged Rs 10!?,Why was I overcharged Rs 10!?
false_negative,200,english,Negative,Neutral,My withdrawl is still pending.  Why?,My withdrawl is still pending.  Why?
false_negative,469,english,Negative,Neutral,Some idiot stole my card.,Some idiot stole my card.
false_negative,546,english,Negative,Neutral,I entered the wrong pin too many times and now I am blocked.  Help me unblock!,I entered the wrong pin too many times and now I am blocked.  Help me unblock!
false_negative,640,english,Negative,Neutral,"new customer and filling gas today, it's not working, the thing shows pending half an hour!","new customer and filling gas today, it's not working, the thing shows pending half an hour!"
false_negative,653,english,Negative,Neutral,Can you look into my top up please.  I made it over three hours ago and yet it's still pending.,Can you look into my top up please.  I made it over three hours ago and yet it's still pending.
false_negative,659,english,Negative,Neutral,"I topped up by card a while ago and it's still pending, surely it should be done by now?","I topped up by card a while ago and it's still pending, surely it should be done by now?"
false_negative,665,english,Negative,Neutral,"Hi I'm a new customer and tried topping up for the first time today, seems it's not working, the thing shows up as pending since half an hour already! Please fix it!","Hi I'm a new customer and tried topping up for the first time today, seems it's not working, the thing shows up as pending since half an hour already! Please fix it!"
false_negative,714,english,Negative,Neutral,Cancel my last transfer,Cancel my last transfer
false_negative,782,english,Negative,Neutral,Where is the money that I asked for? I asked for more than I got!,Where is the money that I asked for? I asked for more than I got!
false_negative,829,english,Negative,Neutral,Someone needs to make me aware when there are extra charges for payments. I happened to be looking at the app earlier and noticed a charge associated to a payment that was extra that no one made me aware of before at all.,Someone needs to make me aware when there are extra charges for payments. I happened to be looking at the app earlier and noticed a charge associated to a payment that was extra that no one made me aware of before at all.
false_negative,833,english,Negative,Neutral,Why do you charge for payments? Why aren't your charges clearly laid out in the agreement?,Why do you charge for payments? Why aren't your charges clearly laid out in the agreement?
false_negative,875,english,Negative,Neutral,"How long do transfers need to come through? I sent some money to a friend, she needs it urgently, but seems it's still not there yet after a couple hours.","How long do transfers need to come through? I sent some money to a friend, she needs it urgently, but seems it's still not there yet after a couple hours."
false_negative,904,english,Negative,Neutral,why wouldn't you support american express? its a card i like and use often and i don't want to get a different one,why wouldn't you support american express? its a card i like and use often and i don't want to get a different one
