row_id,text,category,gold_sentiment,pred_sentiment,gold_priority,pred_priority
596,There is a €1 extra fee in my statement,extra_charge_on_statement,Neutral,Neutral,Low,Medium
1802,How do I troubleshoot my contactless?,contactless_not_working,Neutral,Neutral,Low,Medium
5345,My phone was left at a hotel and I can't access the app.,lost_or_stolen_phone,Neutral,Neutral,Low,High
2008,Why is the top-up I made still pending.,pending_top_up,Neutral,Neutral,Medium,Low
5878,"I was just shopping and my payment was declined in a store!  It was very embarrassing, what is going on and when will it be fixed?",declined_card_payment,Negative,Negative,High,Medium
1502,Are you able to guide me to my card's location?,lost_or_stolen_card,Neutral,Neutral,Low,High
8318,The applied exchange rate is wrong for the cash I got abroad.,wrong_exchange_rate_for_cash_withdrawal,Neutral,Neutral,Medium,Low
7803,why do i need to verify the top up?,verify_top_up,Neutral,Neutral,Medium,Low
8851,I hope you can help me. Someone has stolen my wallet and now I have noticed that they have been taking money from my account.,cash_withdrawal_not_recognised,Neutral,Negative,High,High
8225,Foreign currency rates were put in wrong at an ATM i used.,wrong_exchange_rate_for_cash_withdrawal,Neutral,Neutral,Medium,Low
9425,"I received a fee for obtaining cash, is this correct?",cash_withdrawal_charge,Neutral,Neutral,Low,Medium
6369,I was charged several times for something,transaction_charged_twice,Neutral,Neutral,High,Medium
2442,The ATM shows a withdraw of the amount of money I requested but I didn't revieve that amount in cash.,wrong_amount_of_cash_received,Neutral,Neutral,High,Medium
523,"I have been charged to much for the object I bought when abroad, the exchange rate seems to be wrong.",card_payment_wrong_exchange_rate,Neutral,Neutral,High,Medium
844,Is there any reason my cash withdrawal still shows as pending?,pending_cash_withdrawal,Neutral,Neutral,Medium,Low
8701,"How long do transfers from a local bank account usually take for you? I just made a transfer and I'm not seeing anything, wondering if it worked",balance_not_updated_after_bank_transfer,Neutral,Neutral,Low,Medium
5598,"Hello. My credit keeps being declined, last night and again today, as I try to buy something. What is the status of my card?",declined_transfer,Negative,Neutral,High,Medium
736,An extra fee of €1 was in my statement,extra_charge_on_statement,Neutral,Neutral,Low,Medium
7491,Why do my transfers keep failing?,failed_transfer,Neutral,Neutral,High,Medium
8971,Is there a pay structure for currency exchanges?,exchange_charge,Neutral,Neutral,Low,Medium
4005,My pin isn't here yet,get_physical_card,Neutral,Neutral,Medium,Low
5074,I think I am having an issue with withdraws on my card. It was declined on the way to work this morning. This hasn't happened in the past.,declined_cash_withdrawal,Neutral,Neutral,High,Medium
657,I am being charged Rs 10 out of nowhere. What is this?,extra_charge_on_statement,Negative,Neutral,High,Medium
2468,"I wanted to take out Rs 100,000 but I only got Rs 20,000.",wrong_amount_of_cash_received,Neutral,Neutral,Low,Medium
7200,Why are you charging me a transfer fee?,transfer_fee_charged,Neutral,Neutral,Low,Medium
2613,I was charged a hidden fee when I paid with card.,card_payment_fee_charged,Neutral,Neutral,Low,Medium
4637,There is a strange charge on my debit statement,direct_debit_payment_not_recognised,Neutral,Neutral,Medium,High
747,My account shows up as pending after I received cash from the ATM earlier.  How can this be still pending? I've got the cash already.,pending_cash_withdrawal,Neutral,Neutral,Medium,Low
4336,Why is my 'top up' not showing up in my wallet?,topping_up_by_card,Neutral,Neutral,Low,Medium
1815,"I am having issues using contactless payments, could my card be damaged?",contactless_not_working,Neutral,Neutral,Low,Medium
8204,What do I do if my disposable virtual card doesn't work?,virtual_card_not_working,Neutral,Neutral,Low,Medium
7265,"I made a transfer and according to the receiver ""they haven't received the right amount"" Its lesser than it should be.Now I have to transfer more money to make up for the missing amount . Can you please help me about this,what should be done",transfer_fee_charged,Neutral,Neutral,Low,Medium
6252,"I can't get my card out of the ATM, what should I do now?",card_swallowed,Neutral,Neutral,High,Medium
5700,When will my returned transaction show up on my account?,Refund_not_showing_up,Neutral,Neutral,Low,Medium
7319,Why did I get charged a fee for my transfer?,transfer_fee_charged,Neutral,Neutral,Low,Medium
9605,"I have a card that expires in the coming month, do I have to specifically ask for the updated card?",card_about_to_expire,Neutral,Neutral,Medium,Low
5957,"I keep trying to make a payment, but it doesn't work.",declined_card_payment,Negative,Negative,Low,Medium
2738,How long do transfers typically take? Is there a way of speeding the process up? My friend needs the money I sent her desperately.,transfer_not_received_by_recipient,Neutral,Neutral,High,Medium
9097,Will I see fees from adding money with an international card?,top_up_by_card_charge,Neutral,Neutral,Low,Medium
6863,"Around one or two weeks ago I purchased something but there's seems to be an issue. I have already received one of the items, but today the money was placed back into my account. What is happening?",reverted_card_payment?,Neutral,Neutral,Medium,Low
2546,Is there a fee for paying by card?,card_payment_fee_charged,Neutral,Neutral,Low,Medium
5027,Why can I not get cash from the ATM?,declined_cash_withdrawal,Neutral,Neutral,Low,Medium
6480,Hello. I just noticed I was charged two times for a restaurant I visited this week. Can you reverse the additional charge?,transaction_charged_twice,Neutral,Neutral,High,Medium
584,I have been charged Rs 10 for something that appears on my statement,extra_charge_on_statement,Neutral,Neutral,Low,Medium
7097,Why is this beneficiary being rejected?,beneficiary_not_allowed,Neutral,Neutral,Medium,Low
5731,I was supposed to get a refund but I do not see it on my statement. When is it going to be updated?,Refund_not_showing_up,Neutral,Neutral,Low,Medium
1995,Why hasn't my top up gone through?,pending_top_up,Neutral,Neutral,Medium,Low
188,"I want to reactivate my card, I thought I had lost it but found it again this morning.",card_linking,Neutral,Neutral,Medium,Low
1725,I managed to drunken block my card :(( Help!,pin_blocked,Neutral,Negative,Medium,Medium
6878,My payment was stopped,reverted_card_payment?,Neutral,Neutral,Medium,Low
6065,I am still waiting for a transfer to show,pending_transfer,Negative,Neutral,Medium,Low
2174,"I made a mistake when making my last transfer, please cancel before it goes thru.",cancel_transfer,Neutral,Neutral,High,Medium
3164,I believe my top up was reverted.,top_up_reverted,Neutral,Neutral,Low,Medium
5511,Are purchases returnable for full refund?,request_refund,Neutral,Neutral,Low,Medium
8501,What reasons would a topup fail?,top_up_failed,Neutral,Neutral,Low,Medium
8979,How much do I have to pay to accept an international transfer?,exchange_charge,Neutral,Neutral,Low,Medium
9146,What are the top-up fees for my card?,top_up_by_card_charge,Neutral,Neutral,Low,Medium
3642,I have a charge I did not make.,card_payment_not_recognised,Neutral,Negative,High,High
3803,Why do you guys need to verify my identity?,why_verify_identity,Negative,Neutral,Low,Low
5109,"My card payment is just showing up as pending since forever, what's going on with that, it should be going through at some point?",pending_card_payment,Negative,Neutral,High,Low
9701,what can I do if I got my American Express in Apple Bay but top up is not working?,apple_pay_or_google_pay,Neutral,Neutral,Low,Medium
4251,Could you tell me why my top up isn't showing in my wallet?,topping_up_by_card,Neutral,Neutral,Low,Medium
14,It's been a week since I ordered my card and it's not here. Please help?,card_arrival,Neutral,Neutral,High,Low
5571,Why would I get a decline message in a transfer?,declined_transfer,Neutral,Neutral,Low,Medium
9366,Why have I been charged for pulling cash out of my own account?,cash_withdrawal_charge,Neutral,Neutral,Low,Medium
598,I checked my account today and saw that I was charged an extra Rs 10 that I did not spend.,extra_charge_on_statement,Neutral,Neutral,Low,Medium
4648,I do not understand what this particular direct debit is ?,direct_debit_payment_not_recognised,Neutral,Neutral,Low,High
7054,Why did my transfer to a beneficiary fail?,beneficiary_not_allowed,Neutral,Neutral,Medium,Low
2136,Who do I call to cancel a transfer?,cancel_transfer,Neutral,Neutral,Low,Medium
2603,I was spending cash with my card and got a fee.,card_payment_fee_charged,Neutral,Neutral,Low,Medium
6724,"Hi, I had an issue with my card payment and It shows on my account that my payment went through. Then I got contacted from the seller saying ""they did not receive my payment"" then the payment was returned to my account. so I would like to see why it did that please.",reverted_card_payment?,Neutral,Neutral,Medium,Low
501,The exchange rate you are using is really bad.This can't be the official interbank exchange rate.,card_payment_wrong_exchange_rate,Negative,Neutral,Medium,Medium
9502,Why did you charge a fee when I withdrew from an ATM?,cash_withdrawal_charge,Neutral,Neutral,Low,Medium
5237,Why is the payment from my card still pending?,pending_card_payment,Neutral,Neutral,Medium,Low
1313,What can I do to make my physical card work?,card_not_working,Neutral,Neutral,Low,Medium
2342,I didn't get the correct amount of money from the ATM machine,wrong_amount_of_cash_received,Neutral,Neutral,High,Medium
8577,I need information explaining why my top-up failed to go through,top_up_failed,Neutral,Neutral,Low,Medium
2170,I inadvertently completed a transaction on a wrong account.,cancel_transfer,Neutral,Neutral,High,Medium
8637,My transfer into my account isn't showing up.,balance_not_updated_after_bank_transfer,Neutral,Neutral,Low,Medium
5604,I am unable to transfer money. I believe it is not working because it states it was declined.,declined_transfer,Neutral,Neutral,Low,Medium
4090,I've been waiting ages and my PIN hasn't gotten here.,get_physical_card,Negative,Negative,Medium,Low
3820,Do you think you're asking for too much information about me?,why_verify_identity,Negative,Neutral,Low,Low
142,My new card isn't here and it was issued a week ago.,card_arrival,Neutral,Neutral,Medium,Low
1816,"What is the reason when I tried to pay contactless at the bus, it didnt work?",contactless_not_working,Neutral,Neutral,Low,Medium
6022,What is going on? I have checked over and over and the details of my account are right. Why is my transfer still pending? It's 2018 not 1818. Transfering money to another country can't be that hard.,pending_transfer,Negative,Negative,High,Low
1980,"I already paid to top-up but the funds aren't available yet, where are they?",pending_top_up,Negative,Neutral,Medium,Low
674,Can you tell me about why the account I have was charged an extra Rs 10,extra_charge_on_statement,Neutral,Neutral,Low,Medium
7933,"Help me please, I need to top up cash.",top_up_by_cash_or_cheque,Neutral,Neutral,Medium,Low
8829,I see cash in my app but I did not get it.,cash_withdrawal_not_recognised,Neutral,Neutral,Medium,High
9287,My card activation attempt failed.,activate_my_card,Neutral,Neutral,Medium,Low
1782,Should i uninstall the app before i try it again?,contactless_not_working,Neutral,Neutral,Low,Medium
4690,How can I dispute a debit transaction?,direct_debit_payment_not_recognised,Neutral,Neutral,Low,High
6396,Can you help me? I have a duplicate transaction on my account and I don't understand why.,transaction_charged_twice,Neutral,Neutral,High,Medium
2637,When do i get charged a fee for using the card?,card_payment_fee_charged,Neutral,Neutral,Low,Medium
4046,wheres my pin,get_physical_card,Neutral,Neutral,Medium,Low
9475,Why is there a fee for cash withdrawal?,cash_withdrawal_charge,Neutral,Neutral,Medium,Low
586,Where did this extra €1 fee on my statement come from?,extra_charge_on_statement,Neutral,Neutral,Low,Medium
9406,I was charged a fee for withdrawing cash.,cash_withdrawal_charge,Neutral,Neutral,Low,Medium
8301,I had the wrong exchange rate applied to some cash I got abroad.,wrong_exchange_rate_for_cash_withdrawal,Neutral,Neutral,High,Medium
7304,"After a transfer, I see an extra fee.  Why?",transfer_fee_charged,Neutral,Neutral,Low,Medium
7079,My funds are not transferring to my bank. Why is this not working?,beneficiary_not_allowed,Neutral,Neutral,Medium,Low
420,This exchange rate you use is awful! Please tell me this is a mistake and not the official interbank exchange rate!,card_payment_wrong_exchange_rate,Negative,Negative,High,Medium
9697,My Google pay top up isn't working.,apple_pay_or_google_pay,Neutral,Neutral,Medium,Low
2660,Is it normal to get charged extra when i use my card?,card_payment_fee_charged,Neutral,Neutral,Low,Medium
8509,How can correct Top up with the app to work correctly?,top_up_failed,Neutral,Neutral,Low,Medium
2761,Still waiting for transfer to be completed.,transfer_not_received_by_recipient,Negative,Neutral,Medium,Medium
5444,Give me a refund,request_refund,Negative,Neutral,Medium,Medium
8258,Is there a fee associated with using foreign exchange ATMs?,wrong_exchange_rate_for_cash_withdrawal,Neutral,Neutral,Low,Medium
4718,"Hi, i was checking my old statements and found a discrepancy with a large amount transaction. I am sure it was not done by me. Please let me know if i could raise a dispute as its very late.",direct_debit_payment_not_recognised,Neutral,Negative,High,High
5636,Is there a reason my transfer would have been declined?,declined_transfer,Neutral,Neutral,Low,Medium
757,Why is the app showing a still pending message on a withdraw that has already been done?,pending_cash_withdrawal,Neutral,Neutral,Medium,Low
4824,I am unaware of what my password is.,passcode_forgotten,Neutral,Neutral,Low,Medium
2464,"Hey I am standing in front of an ATM here, it only gave me Rs 10,000 even though I wanted to withdraw Rs 30,000! Seems like the app has Rs 30,000, what do I do??",wrong_amount_of_cash_received,Negative,Negative,High,Medium
9413,Can you tell me why I was charged to withdraw cash?,cash_withdrawal_charge,Neutral,Neutral,Low,Medium
1898,Is there a fee for topping off by transfer?,top_up_by_bank_transfer_charge,Neutral,Neutral,Low,Medium
9006,"If I exchange foreign currency, are there any other charges?",exchange_charge,Neutral,Neutral,Low,Medium
7221,"I thought transfers were free, why was I charged?",transfer_fee_charged,Neutral,Neutral,Low,Medium
4773,A debit came through that I need to dispute.,direct_debit_payment_not_recognised,Neutral,Neutral,Low,High
9071,how much does it cost to add money to my card,top_up_by_card_charge,Neutral,Neutral,Low,Medium
4367,I need to make several disposable cards per day.,disposable_card_limits,Neutral,Neutral,Medium,Low
8912,Help! I think someone has made a cash withdrawal with my card!,cash_withdrawal_not_recognised,Neutral,Negative,High,High
6799,Why is a payment I made reverted back to my account?,reverted_card_payment?,Neutral,Neutral,Medium,Low
6171,"I don't like the services, please close my account",terminate_account,Negative,Neutral,High,High
2097,How do I cancel a transaction?,cancel_transfer,Neutral,Neutral,Low,Medium
2743,"How much time do transfers take? I sent money to a friend who needs it fast. It's been hours, and the money has not gone through.",transfer_not_received_by_recipient,Negative,Neutral,High,Medium
