id,row_id,text,sentiment_a1,priority_a1
345,4565,Do I have to use bank approved ATM's,Neutral,Low
323,6214,"how to delete account, not happy",Negative,High
139,5957,"I keep trying to make a payment, but it doesn't work.",Negative,Low
88,2783,Why hasn't my friend received the transaction?,Neutral,Medium
291,1412,How do I exchange USD for LKR?,Neutral,Low
150,6516,where can I see who sent me funds,Neutral,Low
243,4506,I see some transactions that I don't recognize.  I think someone stole my details.,Neutral,High
364,2803,Why is my transaction taking so long to complete?,Neutral,Medium
22,502,Please check the exchange rate for my payment last Saturday. I believe I have been overcharged.,Neutral,Medium
387,4536,What should I do if I think that someone might be using me card?,Neutral,High
244,1494,I believe that my card has been stolen!,Neutral,High
274,1299,"Out of the blue, my card stopped working.",Neutral,Medium
53,5972,My card payment wasn't declined,Neutral,Medium
328,6563,How do I see my source of funds?,Neutral,Low
137,9605,"I have a card that expires in the coming month, do I have to specifically ask for the updated card?",Neutral,Medium
303,6280,An ATM machine didn't return my card.,Neutral,Medium
369,3521,There is  a charge I don't recognize.,Neutral,High
480,4998,Why can't I withdraw funds from my account?,Neutral,Medium
378,7746,Do I have to verify the top-up?,Neutral,Low
129,1546,I think my wallet fell out on the Tube today! I realized as soon as I got to my desk. How do I cut off the card?,Neutral,High
379,3125,Is there a list of where I can use my card?,Neutral,Low
55,8784,I looked on the app and it says I withdrew cash.  I didn't!,Negative,High
452,3249,I topped up but the app declined it,Neutral,Medium
357,3130,Can I use my card while on vacation overseas?,Neutral,Low
414,4718,"Hi, i was checking my old statements and found a discrepancy with a large amount transaction. I am sure it was not done by me. Please let me know if i could raise a dispute as its very late.",Neutral,High
413,3522,I'm noticing a payment/purchase at a company that I don't recognise.,Neutral,High
317,1441,Will it be possible to change from USD to LKR with this App?,Neutral,Low
428,3590,"One of my card payments, I don't recognise the name of the merchant.",Neutral,High
372,8441,Is there a way to use this app with a disposable virtual card?,Neutral,Low
495,6579,Where did my deposit for my source of funds come from?,Neutral,Low
19,5878,"I was just shopping and my payment was declined in a store!  It was very embarrassing, what is going on and when will it be fixed?",Negative,High
408,2761,Still waiting for transfer to be completed.,Negative,Medium
9,4523,What do I do if I think someone has used my card without permission? I can see a few transactions I don't recognize.,Neutral,High
163,8900,There's a cash withdrawal I am certain I did not make,Neutral,High
339,2766,Why hasn't a transaction I did to my friend arrived yet?,Neutral,Medium
464,2322,What is the top-up limit on my cards?,Neutral,Low
181,8730,Why hasn't the money I transferred into my account shown up yet?,Neutral,Medium
383,7474,Why didn't my transfer work?,Neutral,Medium
41,8367,I withdrew cash abroad and the exchange rate applied is wrong.,Neutral,Medium
341,5320,I lost my phone and need help so someone doesn't access my account.,Neutral,High
436,7360,Can I transfer my payroll to the bank?,Neutral,Low
300,1313,What can I do to make my physical card work?,Neutral,Low
217,3642,I have a charge I did not make.,Neutral,High
316,3820,Do you think you're asking for too much information about me?,Negative,Low
127,2998,"I would like to order a virtual card, where can I get one?",Neutral,Low
101,9201,Can I call to get my card activated?,Neutral,Low
315,4090,I've been waiting ages and my PIN hasn't gotten here.,Negative,Medium
89,657,I am being charged Rs 10 out of nowhere. What is this?,Negative,High
237,7202,"I made a transfer and the receiver did not get the right amount its lesser than what it should be,Now I have to transfer more money to make up for the missing amount . Can you please help me about this, what should be done",Neutral,Medium
12,5345,My phone was left at a hotel and I can't access the app.,Neutral,Low
14,9583,want a new card what are the fees,Neutral,Low
275,7054,Why did my transfer to a beneficiary fail?,Neutral,Medium
160,6228,"This is terrible, i want to delete my account",Negative,High
191,2243,How much is ok for me to top up with?,Neutral,Low
120,1621,Is there a limit for age?,Neutral,Low
65,7491,Why do my transfers keep failing?,Neutral,High
271,5971,Why would my card payment not work?,Neutral,Medium
130,2248,What is the greatest number of times that I can top-up?,Neutral,Low
340,9287,My card activation attempt failed.,Neutral,Medium
246,1033,When shipped to the US how long is delivery time?,Neutral,Low
391,2331,Why did I only receive a partial amount of what I tried to withdraw?,Neutral,Medium
270,56,How long does it take for me to get my new card?,Neutral,Low
307,2170,I inadvertently completed a transaction on a wrong account.,Neutral,High
128,5466,It has been forever ago that I made an order online. The product simply is not coming. Just give me back my money because I'm not paying these people.,Negative,Medium
296,5291,"phone is gone, dont want others to access account information",Neutral,High
124,5700,When will my returned transaction show up on my account?,Neutral,Low
43,1499,I think my card is stolen!,Neutral,High
136,4879,Help! I've forgot my app passcode!,Neutral,Medium
354,3142,What places accept my card?,Neutral,Low
185,6878,My payment was stopped,Neutral,Medium
190,2174,"I made a mistake when making my last transfer, please cancel before it goes thru.",Neutral,High
374,1994,I believe my top up is still pending,Neutral,Low
138,6300,How do I get my card back after the ATM swallowed it.,Neutral,Medium
80,5074,I think I am having an issue with withdraws on my card. It was declined on the way to work this morning. This hasn't happened in the past.,Neutral,High
154,5027,Why can I not get cash from the ATM?,Neutral,Low
202,6645,How long does it take overseas to do a transfer?,Neutral,Low
176,5868,"My payment has been declined!! What's going on, I thought everything was alright and working well?",Negative,Medium
161,1785,My contactless payments don't work.,Neutral,Medium
405,2305,Can someone please tell me how much I can top-up?,Neutral,Low
42,1129,How do I access the option to top up?,Neutral,Low
326,1980,"I already paid to top-up but the funds aren't available yet, where are they?",Negative,Medium
437,3494,I have an unusual payment in my statement,Neutral,High
156,6480,Hello. I just noticed I was charged two times for a restaurant I visited this week. Can you reverse the additional charge?,Neutral,High
56,844,Is there any reason my cash withdrawal still shows as pending?,Neutral,Medium
16,5653,"please help me with this transfer, for some reason i can't transfer to a cryptocurency account",Neutral,Medium
188,8164,What fees are charged for a physical card?,Neutral,Low
395,7079,My funds are not transferring to my bank. Why is this not working?,Neutral,Medium
420,1512,I lost track of my card,Neutral,High
461,6069,I have a transfer that is pending.,Neutral,Low
25,8851,I hope you can help me. Someone has stolen my wallet and now I have noticed that they have been taking money from my account.,Neutral,High
293,501,The exchange rate you are using is really bad.This can't be the official interbank exchange rate.,Negative,Medium
447,8704,"Although I transferred some money, it has not as of yet, arrived.",Neutral,Medium
407,8509,How can correct Top up with the app to work correctly?,Neutral,Low
301,2342,I didn't get the correct amount of money from the ATM machine,Neutral,High
227,5109,"My card payment is just showing up as pending since forever, what's going on with that, it should be going through at some point?",Negative,High
40,7349,How can I receive my salary with a different currency?,Neutral,Low
171,8609,Was there a problem with topping up?,Neutral,Medium
496,6171,"I don't like the services, please close my account",Negative,High
220,3803,Why do you guys need to verify my identity?,Negative,Low
472,4773,A debit came through that I need to dispute.,Neutral,Low
158,6180,I hate this company! Can you delete my account?,Negative,High
460,4478,What can I do if my card details where stolen from my car? I think they used my card to buy gas.,Neutral,High
113,5680,I need my refund,Neutral,Medium
487,6799,Why is a payment I made reverted back to my account?,Neutral,Medium
269,4024,Where should I look for my PIN number at?,Neutral,Low
230,2641,Let me know when you charge for payments. I just checked the app and saw a fee that I wasn't warned about.,Neutral,Medium
118,2029,"How long is a top up supposed to be pending, because an hour is too long! Can you fix this to go through?",Negative,Medium
474,1537,I cant find my card.,Neutral,High
350,4690,How can I dispute a debit transaction?,Neutral,Low
24,7803,why do i need to verify the top up?,Neutral,Medium
329,4881,I don't remember my passcode?,Neutral,Medium
434,2567,Why was I charged for payments? You didn't warn me about additional fees.,Negative,Medium
397,3047,Do I get to have one of those virtual cards I've heard about?,Neutral,Low
1,5976,I had a card payment that was declined.  Why?,Neutral,Medium
216,3505,I don't recognize a purchase that was made with my card.,Neutral,High
107,3950,What should I do if I can't prove my identity.,Neutral,Low
30,6173,I want to stop my account,Neutral,High
463,5258,"My bag was stolen from me yesterday, so I can't use any apps or anything. I need some help.",Neutral,High
425,8535,My credit card got declined for top up! What's going on? Can you check on why it didn't go through?,Neutral,Medium
435,2464,"Hey I am standing in front of an ATM here, it only gave me Rs 10,000 even though I wanted to withdraw Rs 30,000! Seems like the app has Rs 30,000, what do I do??",Negative,High
298,5346,"Hi, I lost my phone yesterday, what can I do to stop someone using my account on it?",Neutral,High
34,6007,How long do I have to wait for the transfer to be finalized?,Neutral,Low
178,188,"I want to reactivate my card, I thought I had lost it but found it again this morning.",Neutral,Medium
279,5412,I would like to cancel my order.,Neutral,Medium
145,8824,The app says I made a cash withdrawal even though I didn't.,Negative,High
498,2743,"How much time do transfers take? I sent money to a friend who needs it fast. It's been hours, and the money has not gone through.",Negative,High
159,6245,What do I do if the ATM took my card?,Neutral,Medium
385,4837,I do not understand why my pass-code is not working.,Neutral,Medium
20,1502,Are you able to guide me to my card's location?,Neutral,Low
44,6369,I was charged several times for something,Neutral,High
481,1739,I forgot what my pin number is and now am blocked can you help me get in?,Neutral,Medium
199,1046,When will my card come? I need it as soon as possible!,Neutral,High
476,8,Does the package with my card have tracking?,Neutral,Low
99,4637,There is a strange charge on my debit statement,Neutral,Medium
50,523,"I have been charged to much for the object I bought when abroad, the exchange rate seems to be wrong.",Neutral,High
10,4970,"This morning I wanted to make a withdrawal before work, but my card was declined! Please double check it for me as this is the first time it was declined.",Neutral,Medium
248,3265,"Hello. I tried doing a topup and I thought it worked, but now the money is no longer in my account. Can you explain?",Negative,Medium
492,6921,I have been travelling overseas and I need to change my PIN. Can you tell me how this is done?,Neutral,Low
384,8301,I had the wrong exchange rate applied to some cash I got abroad.,Neutral,High
458,9006,"If I exchange foreign currency, are there any other charges?",Neutral,Low
462,4821,I forgot my passcode. Now what?,Neutral,Medium
102,747,My account shows up as pending after I received cash from the ATM earlier.  How can this be still pending? I've got the cash already.,Neutral,Medium
200,6798,Card payment has be declined.,Neutral,Medium
174,3510,What is this strange payment in my account?,Neutral,High
252,5571,Why would I get a decline message in a transfer?,Neutral,Low
488,4782,Can I dispute a debit payment that I am seeing that I didn't make from a couple of months ago?,Neutral,High
396,420,This exchange rate you use is awful! Please tell me this is a mistake and not the official interbank exchange rate!,Negative,High
60,7785,Where is the top-up verification code sent?,Neutral,Low
81,4620,How far is the closest ATM from me?,Neutral,Low
366,1131,How low does the balance have to be before the system updates?,Neutral,Low
91,6332,I have a duplicate charge,Neutral,Medium
15,8183,I can't use my virtual disposable card,Neutral,Medium
97,2613,I was charged a hidden fee when I paid with card.,Neutral,Low
183,3192,"Did you lose my money? I had added funds through top-up not long ago and I know they were in my account, but they seem to have disappeared. What happened?",Negative,Medium
187,6065,I am still waiting for a transfer to show,Negative,Medium
135,6650,I need to transfer something to China. It is urgent. How many days will it take to get there?,Neutral,High
110,7016,My transfer to an account failed.,Neutral,Medium
122,7265,"I made a transfer and according to the receiver ""they haven't received the right amount"" Its lesser than it should be.Now I have to transfer more money to make up for the missing amount . Can you please help me about this,what should be done",Neutral,Low
61,5598,"Hello. My credit keeps being declined, last night and again today, as I try to buy something. What is the status of my card?",Negative,High
223,4479,I want to cancel my card. I think someone else is using it.,Neutral,High
126,5709,"I requested a refund from a merchant several days ago, but don't see anything showing up in my account yet.  Can you check on your end to see if the money has reached you guys?",Neutral,Medium
72,5484,"I need to refund my item, can you please help?",Neutral,Medium
79,6106,"How long does EU transfer take? I bought something online a couple days ago , sent the money immediately online but the seller says it is still not there yet",Neutral,Medium
297,5237,Why is the payment from my card still pending?,Neutral,Medium
242,14,It's been a week since I ordered my card and it's not here. Please help?,Neutral,High
490,4688,I found a charge on my debit that I did not make.,Neutral,High
388,8121,How do I order a card?,Neutral,Low
123,6252,"I can't get my card out of the ATM, what should I do now?",Neutral,High
153,2546,Is there a fee for paying by card?,Neutral,Low
48,2442,The ATM shows a withdraw of the amount of money I requested but I didn't revieve that amount in cash.,Neutral,High
489,4528,How do I report fraud on my card?,Neutral,High
386,9812,What do you require to verify someone's identity?,Neutral,Low
410,5444,Give me a refund,Negative,Medium
361,4484,Someone must have found my card details as I don't recognize these transactions.,Neutral,High
443,870,"I tempted to get some money out of the machine earlier and it did not work.Looking now, the transaction actually shows to still be in progress. I would certainly appreciate someone look into this and let me know what's going on. I definitely do not want to be charged for money I never received.",Neutral,Medium
93,1628,What is your age limit?,Neutral,Low
239,7729,Why are top-ups being verified?,Neutral,Low
143,2738,How long do transfers typically take? Is there a way of speeding the process up? My friend needs the money I sent her desperately.,Neutral,High
415,7477,"My transfer failed, why did that happen?",Neutral,Medium
96,7200,Why are you charging me a transfer fee?,Neutral,Low
225,5903,Why won't you accept my payment? I keep trying with this card and it's not working.,Negative,Medium
