id,image_path,primary_language,scripts,condition,ground_truth
0001,screenshots/synthetic_bank_0001.png,Sinhala,Sinhala,clean,"22:05
4G
Nova Mobile Banking
Secure transaction centre
FAILED
SGD 1,776.43
ගිණුමෙන් අඩු වූ නමුත් මුදල් ලැබුණේ නැත.
Date & time
06 Feb 2026 • 05:46
Reference
NMB-2602-798047
Error code
QQE-494
Issue
Cash not received
Get help
Back to activity"
0001,screenshots/augmented/synthetic_bank_0001_blur.png,Sinhala,Sinhala,blur,"22:05
4G
Nova Mobile Banking
Secure transaction centre
FAILED
SGD 1,776.43
ගිණුමෙන් අඩු වූ නමුත් මුදල් ලැබුණේ නැත.
Date & time
06 Feb 2026 • 05:46
Reference
NMB-2602-798047
Error code
QQE-494
Issue
Cash not received
Get help
Back to activity"
0001,screenshots/augmented/synthetic_bank_0001_rot.png,Sinhala,Sinhala,rotation,"22:05
4G
Nova Mobile Banking
Secure transaction centre
FAILED
SGD 1,776.43
ගිණුමෙන් අඩු වූ නමුත් මුදල් ලැබුණේ නැත.
Date & time
06 Feb 2026 • 05:46
Reference
NMB-2602-798047
Error code
QQE-494
Issue
Cash not received
Get help
Back to activity"
0001,screenshots/augmented/synthetic_bank_0001_lowres.png,Sinhala,Sinhala,low-resolution,"22:05
4G
Nova Mobile Banking
Secure transaction centre
FAILED
SGD 1,776.43
ගිණුමෙන් අඩු වූ නමුත් මුදල් ලැබුණේ නැත.
Date & time
06 Feb 2026 • 05:46
Reference
NMB-2602-798047
Error code
QQE-494
Issue
Cash not received
Get help
Back to activity"
0002,screenshots/synthetic_bank_0002.png,Sinhala,Sinhala,clean,"09:45
4G
Nova Mobile Banking
Secure transaction centre
DECLINED
USD 1,290.57
ඔබගේ කාඩ් ගෙවීම ප්‍රතික්ෂේප විය.
Date & time
20 Mar 2024 • 19:13
Reference
NMB-2403-345414
Error code
UGR-780
Issue
Card payment declined
Get help
Back to activity"
0002,screenshots/augmented/synthetic_bank_0002_blur.png,Sinhala,Sinhala,blur,"09:45
4G
Nova Mobile Banking
Secure transaction centre
DECLINED
USD 1,290.57
ඔබගේ කාඩ් ගෙවීම ප්‍රතික්ෂේප විය.
Date & time
20 Mar 2024 • 19:13
Reference
NMB-2403-345414
Error code
UGR-780
Issue
Card payment declined
Get help
Back to activity"
0002,screenshots/augmented/synthetic_bank_0002_rot.png,Sinhala,Sinhala,rotation,"09:45
4G
Nova Mobile Banking
Secure transaction centre
DECLINED
USD 1,290.57
ඔබගේ කාඩ් ගෙවීම ප්‍රතික්ෂේප විය.
Date & time
20 Mar 2024 • 19:13
Reference
NMB-2403-345414
Error code
UGR-780
Issue
Card payment declined
Get help
Back to activity"
0002,screenshots/augmented/synthetic_bank_0002_lowres.png,Sinhala,Sinhala,low-resolution,"09:45
4G
Nova Mobile Banking
Secure transaction centre
DECLINED
USD 1,290.57
ඔබගේ කාඩ් ගෙවීම ප්‍රතික්ෂේප විය.
Date & time
20 Mar 2024 • 19:13
Reference
NMB-2403-345414
Error code
UGR-780
Issue
Card payment declined
Get help
Back to activity"
0003,screenshots/synthetic_bank_0003.png,Tanglish,Latin,clean,"11:10
4G
Nova Mobile Banking
Secure transaction centre
PENDING
SGD 2,177.48
Refund innum pending-la irukku.
Date & time
30 May 2026 • 15:56
Reference
NMB-2605-586501
Error code
SRD-394
Issue
Refund pending
Get help
Back to activity"
0003,screenshots/augmented/synthetic_bank_0003_blur.png,Tanglish,Latin,blur,"11:10
4G
Nova Mobile Banking
Secure transaction centre
PENDING
SGD 2,177.48
Refund innum pending-la irukku.
Date & time
30 May 2026 • 15:56
Reference
NMB-2605-586501
Error code
SRD-394
Issue
Refund pending
Get help
Back to activity"
0003,screenshots/augmented/synthetic_bank_0003_rot.png,Tanglish,Latin,rotation,"11:10
4G
Nova Mobile Banking
Secure transaction centre
PENDING
SGD 2,177.48
Refund innum pending-la irukku.
Date & time
30 May 2026 • 15:56
Reference
NMB-2605-586501
Error code
SRD-394
Issue
Refund pending
Get help
Back to activity"
0003,screenshots/augmented/synthetic_bank_0003_lowres.png,Tanglish,Latin,low-resolution,"11:10
4G
Nova Mobile Banking
Secure transaction centre
PENDING
SGD 2,177.48
Refund innum pending-la irukku.
Date & time
30 May 2026 • 15:56
Reference
NMB-2605-586501
Error code
SRD-394
Issue
Refund pending
Get help
Back to activity"
0004,screenshots/synthetic_bank_0004.png,Tamil,Tamil,clean,"13:30
4G
Nova Mobile Banking
Secure transaction centre
URGENT
USD 530.48
நீங்கள் அறியாத பரிவர்த்தனை பதிவாகியுள்ளது.
Date & time
12 Mar 2024 • 08:04
Reference
NMB-2403-863422
Error code
AAG-693
Issue
Unauthorized transaction
Secure account
Back to activity"
0004,screenshots/augmented/synthetic_bank_0004_blur.png,Tamil,Tamil,blur,"13:30
4G
Nova Mobile Banking
Secure transaction centre
URGENT
USD 530.48
நீங்கள் அறியாத பரிவர்த்தனை பதிவாகியுள்ளது.
Date & time
12 Mar 2024 • 08:04
Reference
NMB-2403-863422
Error code
AAG-693
Issue
Unauthorized transaction
Secure account
Back to activity"
0004,screenshots/augmented/synthetic_bank_0004_rot.png,Tamil,Tamil,rotation,"13:30
4G
Nova Mobile Banking
Secure transaction centre
URGENT
USD 530.48
நீங்கள் அறியாத பரிவர்த்தனை பதிவாகியுள்ளது.
Date & time
12 Mar 2024 • 08:04
Reference
NMB-2403-863422
Error code
AAG-693
Issue
Unauthorized transaction
Secure account
Back to activity"
