row_index,text_en,text_singlish,category,sentiment,priority
0,I am still waiting on my card?,mage card eka thama hambunnaa?,card_arrival,Neutral,Low
1,What can I do if my card still hasn't arrived after 2 weeks?,"sati 2k giyat mage card eka thama ave naa, mama mokada karanna one?",card_arrival,Neutral,Low
2,I have been waiting over a week. Is the card still coming?,"satiyakatat vada innava balagena, card eka thama enavada?",card_arrival,Neutral,Low
3,Can I track my card while it is in the process of delivery?,card eka evala inna velavedi mata eka track karanna puluvanda?,card_arrival,Neutral,Low
4,"How do I know if I will get my card, or if it is lost?",mage card eka labeyida nattam eka nati velada kiyala danaganne kohomada?,card_arrival,Neutral,Low
5,When did you send me my new card?,mage alut card eka evuve kavadada?,card_arrival,Neutral,Low
6,Do you have info about the card on delivery?,card eke delivery eka gana yam vistarayak tiyenavada?,card_arrival,Neutral,Low
7,What do I do if I still have not received my new card?,mage alut card eka thama hambunne nattam mama mokada karanne?,card_arrival,Neutral,Low
8,Does the package with my card have tracking?,mage card eka evapu parsal ekata tracking tiyenavada?,card_arrival,Neutral,Low
9,I ordered my card but it still isn't here,"mama card ekak order kara, et thama eka hambunnaa",card_arrival,Neutral,Low
10,Why has my new card still not come?,mage alut card eka thama avit natte ayi?,card_arrival,Neutral,Low
11,"I still haven't received my card after two weeks, is it lost?","sati dekak giyat mata card eka hambunnaa, eka nati velada?",card_arrival,Neutral,Low
12,Can you track my card for me?,mage card eka track karala denna puluvanda?,card_arrival,Neutral,Low
13,Is there a way to track the delivery of my card?,mage card eke delivery eka track karanna vidiyak tiyenavada?,card_arrival,Neutral,Low
14,It's been a week since I ordered my card and it's not here. Please help?,"card eka order karala satiyak giya, thama hambunnaa. udav karannako?",card_arrival,Neutral,Low
15,Will I be able to track the card that was sent to me?,mata evapu card eka track karaganna puluvan veyida?,card_arrival,Neutral,Low
16,I don't have my card in 1 week.  Should I be worried?,satiyak giyat mata card eka naa. mama kalabala venna oneda?,card_arrival,Neutral,Low
17,How do I know when my new card is going to arrive?,mage alut card eka enne kavadada kiyala danaganne kohomada?,card_arrival,Neutral,Low
18,My new card has not been delivered to my home yet. What is going on?,mage alut card eka thama gedarata avit naa. mokada vela tiyenne?,card_arrival,Neutral,Low
19,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,"oyala mata card ekak issue karala satiyak giya, thama labune naa. mama itin balagena innada one?",card_arrival,Neutral,Low
20,"On the card that is coming, what's the tracking info?",ena card eke tracking vistara monavada?,card_arrival,Neutral,Low
21,What is the status of my card's delivery?,mage card eke delivery eke stetas eka mokakda?,card_arrival,Neutral,Low
22,Have you sent out my card yet?,oyala mage card eka evalada?,card_arrival,Neutral,Low
23,My card isn't here yet.,mage card eka thama hambunnaa.,card_arrival,Neutral,Low
24,where is my new card?,mage alut card eka koheda tiyenne?,card_arrival,Neutral,Low
25,It's been a week since you sent my card and I still don't have it.,"oyala mage card eka evala satiyak giya, thama mata eka naa.",card_arrival,Neutral,Low
26,How do I track the card you sent me?,oyala evapu card eka track karanne kohomada?,card_arrival,Neutral,Low
27,When will I recieve my new card?,mage alut card eka labenne kavadada?,card_arrival,Neutral,Low
28,When will I get my new card?,mage alut card eka labenne kavadada?,card_arrival,Neutral,Low
29,What is the expected delivery date for my card?,mage card eke delivery ekata balaporottu vena dinaya mokakda?,card_arrival,Neutral,Low
30,Is there a tracking number for the card you sent me?,oyala evapu card ekata tracking nambarayak tiyenavada?,card_arrival,Neutral,Low
31,I would like to track the card you sent to me.,oyala evapu card eka track karanna mata one.,card_arrival,Neutral,Low
32,Has my card been lost in delivery?,mage card eka delivery karaddi nati velada?,card_arrival,Neutral,Low
33,My new card hasn't came in.,mage alut card eka thama ave naa.,card_arrival,Neutral,Low
34,Where is the card I ordered 2 weeks ago?,sathi dekakata kalin mama order karapu card eka koheda?,card_arrival,Neutral,Low
35,Can I get an update on my replacement card?,mage venas karapu card eka gana alut vistarayak denna puluvanda?,card_arrival,Neutral,Low
36,How long does it take for a new card to ship?,alut card ekak evanna kochchara vela yanavada?,card_arrival,Neutral,Low
37,What's the tracking on the card you sent?,oyala evapu card eke tracking eka mokakda?,card_arrival,Neutral,Low
38,I haven't received my card and am worried it is lost.,"mata card eka hambunnaa, eka nati vela ati kiyala mama kalabala venava.",card_arrival,Negative,Low
