id,source_en,system,translation,language,script_fidelity,empty,labse_cosine
14,I am still waiting for my card after 1 week.  Is this ok?,swift,සතියක් ගියත් තාම මම කාඩ් එක බලාගෙන ඉන්නවා. මේක හරිද?,sinhala,1.0,False,0.8356229
19,My card still hasn't arrived after 2 weeks. Is it lost?,swift,සති 2ක් ගියත් මගේ කාඩ් එක තාම ආවේ නෑ. ඒක නැති වෙලාද?,sinhala,1.0,False,0.89904225
45,"I received my new card, but I don't see it in the app anywhere.  What do I do?",swift,"මට අලුත් කාඩ් එක ලැබුනා, ඒත් ඇප් එකේ කොහෙවත් පේන්නේ නෑ. මම මොකද කරන්න ඕනේ?",sinhala,1.0,False,0.87760454
52,How do I link one your card if I have one already?,swift,මට දැනටමත් ඔයාලගේ කාඩ් එකක් තියෙනවා නම් ඒක ලින්ක් කරන්නේ කොහොමද?,sinhala,1.0,False,0.89794976
53,How do I add a card to the app?,swift,කාඩ් එකක් ඇප් එකට දාන්නේ කොහොමද?,sinhala,1.0,False,0.9081616
59,"I found my card, can I add it to the app?",swift,"මගේ කාඩ් එක හම්බුනා, ඒක ඇප් එකට දාන්න පුළුවන්ද?",sinhala,1.0,False,0.8920469
65,how do I link an already existing card?,swift,දැනටමත් තියෙන කාඩ් එකක් ලින්ක් කරන්නේ කොහොමද?,sinhala,1.0,False,0.9301435
99,Where do you get your exchange rates from?,swift,ඔයාලගේ එක්ස්චේන්ජ් රේට් ගන්නේ කොහෙන්ද?,sinhala,1.0,False,0.804044
139,I purchased an item and the exchange rate I was given was incorrect.,swift,"මම බඩුවක් ගත්තා, මට දුන්න එක්ස්චේන්ජ් රේට් එක වැරදියි.",sinhala,1.0,False,0.80958086
156,How can I check the exchange rate applied to my transaction?,swift,මගේ ට්‍රැන්සැක්ෂන් එකට apply කරපු එක්ස්චේන්ජ් රේට් එක check කරන්නේ කොහොමද?,sinhala,0.8387096774193549,False,0.78447163
179,What would be the reason there's an extra fee on my statement?,swift,මගේ statement එකේ අමතර ෆී එකක් තියෙන්න හේතුව මොකක්ද?,sinhala,0.7906976744186046,False,0.8149826
199,Can you please check why I am having this extra fee on my statement.,swift,මට මගේ statement එකේ මේ අමතර ෆී එක තියෙන්නේ ඇයි කියලා check කරන්නකෝ.,sinhala,0.7454545454545455,False,0.8180859
208,Why is my withdrawal still pending?,swift,මගේ withdrawal එක තාම pending ඇයි?,sinhala,0.39285714285714285,False,0.93524176
