id,text_en,text,category,sentiment,priority
0,I am still waiting on my card?,Naan enoda card wait pannitu irukuren.,card_arrival,Neutral,Low
1,What can I do if my card still hasn't arrived after 2 weeks?,2 weeks aagiyum enoda card innum varala endal naan enna seiya vendum?,card_arrival,Neutral,Low
2,I have been waiting over a week. Is the card still coming?,Naan oru vaarathuku mela kaathirukiren. Card innum varutha?,card_arrival,Neutral,Low
3,Can I track my card while it is in the process of delivery?,Enoda card delivery aagum pothu atha track panna mudiyuma?,card_arrival,Neutral,Low
4,"How do I know if I will get my card, or if it is lost?",Enoda card enaku kidaikuma illa athu tholanjitatha nu naan eppadi therinjikurathu?,card_arrival,Neutral,Low
5,When did you send me my new card?,Enoda puthiya card-ai eppo anupineenga?,card_arrival,Neutral,Low
6,Do you have info about the card on delivery?,Delivery aagura card pathina details ungalita iruka?,card_arrival,Neutral,Low
7,What do I do if I still have not received my new card?,Enoda puthiya card innum enaku kidaikala endal naan enna seiyurathu?,card_arrival,Neutral,Low
8,Does the package with my card have tracking?,Enoda card irukira package-ku tracking iruka?,card_arrival,Neutral,Low
9,I ordered my card but it still isn't here,"Naan enoda card order pannen, aana athu innum varala.",card_arrival,Neutral,Low
10,Why has my new card still not come?,Enoda puthiya card yen innum varala?,card_arrival,Neutral,Low
11,"I still haven't received my card after two weeks, is it lost?","Rendu vaaram aagiyum enoda card innum kidaikala, athu tholanjitatha?",card_arrival,Neutral,Low
12,Can you track my card for me?,Enoda card-ai enakaaga track panni thara mudiyuma?,card_arrival,Neutral,Low
13,Is there a way to track the delivery of my card?,Enoda card delivery-ai track panna ethavathu vazhi iruka?,card_arrival,Neutral,Low
14,It's been a week since I ordered my card and it's not here. Please help?,"Naan card order panni oru vaaram aachu, aana innum varala. Dayavu seithu help pannunga?",card_arrival,Neutral,Low
15,Will I be able to track the card that was sent to me?,Enaku anupapatta card-ai ennala track panna mudiyuma?,card_arrival,Neutral,Low
16,I don't have my card in 1 week.  Should I be worried?,Oru vaaramaagiyum enoda card kidaikala. Naan kavalai pada venduma?,card_arrival,Neutral,Low
17,How do I know when my new card is going to arrive?,Enoda puthiya card eppo varum nu naan eppadi therinjikurathu?,card_arrival,Neutral,Low
18,My new card has not been delivered to my home yet. What is going on?,Enoda puthiya card innum enoda veetuku delivery aagala. Enna nadakuthu?,card_arrival,Neutral,Low
19,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,"Neenga enaku card issue panni oru vaaram aachu, aana innum kidaikala. Naan thodarnthu wait panna venduma?",card_arrival,Neutral,Low
20,"On the card that is coming, what's the tracking info?",Vanthutu irukira card-oda tracking details enna?,card_arrival,Neutral,Low
21,What is the status of my card's delivery?,Enoda card delivery status enna?,card_arrival,Neutral,Low
22,Have you sent out my card yet?,Enoda card-ai anupitingala?,card_arrival,Neutral,Low
23,My card isn't here yet.,Enoda card innum varala.,card_arrival,Neutral,Low
24,where is my new card?,Enoda puthiya card enga?,card_arrival,Neutral,Low
25,It's been a week since you sent my card and I still don't have it.,"Neenga enoda card-ai anuppi oru vaaram aachu, aana innum enaku kidaikala.",card_arrival,Neutral,Low
26,How do I track the card you sent me?,Neenga enaku anupina card-ai naan eppadi track pannurathu?,card_arrival,Neutral,Low
27,When will I recieve my new card?,Enoda puthiya card-ai naan eppo peruvain?,card_arrival,Neutral,Low
28,When will I get my new card?,Enoda puthiya card enaku eppo kidaikum?,card_arrival,Neutral,Low
29,What is the expected delivery date for my card?,Enoda card delivery aagura expected date enna?,card_arrival,Neutral,Low
30,Is there a tracking number for the card you sent me?,Neenga enaku anupina card-ku tracking number ethavathu iruka?,card_arrival,Neutral,Low
31,I would like to track the card you sent to me.,Neenga enaku anupina card-ai track panna virumburen.,card_arrival,Neutral,Low
32,Has my card been lost in delivery?,Enoda card delivery-in pothu tholanjitatha?,card_arrival,Neutral,Low
33,My new card hasn't came in.,Enoda puthiya card innum varala.,card_arrival,Neutral,Low
34,Where is the card I ordered 2 weeks ago?,Rendu vaarathuku munnadi naan order panna card enga?,card_arrival,Neutral,Low
35,Can I get an update on my replacement card?,Enoda replacement card pathina update ethavathu kidaikuma?,card_arrival,Neutral,Low
36,How long does it take for a new card to ship?,Oru puthiya card ship panna evvalavu kaalam edukum?,card_arrival,Neutral,Low
37,What's the tracking on the card you sent?,Neenga anupina card-oda tracking details enna?,card_arrival,Neutral,Low
38,I haven't received my card and am worried it is lost.,"Enoda card enaku kidaikala, athu tholanjitatho nu kavalaiya iruku.",card_arrival,Negative,Low
39,My card still hasn't been delivered,Enoda card innum delivery aagala.,card_arrival,Neutral,Low
40,I need to find out where the card is that I ordered.,Naan order panna card enga iruku nu naan kandupidika vendum.,card_arrival,Neutral,Low
41,Where is my credit card that was to be mailed?,Enaku postla vara vendiya credit card enga?,card_arrival,Neutral,Low
42,I ordered my card but it hasn't been delivered yet,"Naan enoda card order pannen, aana innum deliver aagala.",card_arrival,Neutral,Low
43,Am I able to track the card that was just sent to me?,Enaku ipo anupuna card-a track panna mudiyuma?,card_arrival,Neutral,Low
44,Can you tell me why I haven't received my new card?,Enoda puthu card yen innum varala nu solla mudiyuma?,card_arrival,Neutral,Low
45,I'm still waiting for my new card.,Naan innum enoda puthu card-kaga wait panren.,card_arrival,Neutral,Low
46,Is my card lost? I am still waiting for it to be delivered.,Enoda card tholanjiducha? Naan innum athu deliver aagurathuku wait panren.,card_arrival,Neutral,Low
47,Should I keep waiting for my card to be delivered?,Enoda card varathuku naan innum wait pannanuma?,card_arrival,Neutral,Low
48,Can I track when my card will be delivered?,Enoda card epo deliver aagum nu track panna mudiyuma?,card_arrival,Neutral,Low
49,How can I check on the status of my new card?,Enoda puthu card status-a eppadi check panrathu?,card_arrival,Neutral,Low
50,"A card has been sent to me, how do I track it?","Enaku oru card anupirukanga, atha eppadi track panrathu?",card_arrival,Neutral,Low
51,Is there a way I can get my card expedited?,Enoda card-a seekiram vanga ethachum vazhi iruka?,card_arrival,Neutral,Low
52,What can I do to track the card you sent me?,Neenga anupuna card-a track panna naan enna pannanum?,card_arrival,Neutral,Low
53,why hasnt my card come in yet?,Yen enoda card innum varala?,card_arrival,Neutral,Low
54,How can I periodically check the delivery of the card you sent?,Neenga anupuna card delivery-a naan eppadi adikkadi check panrathu?,card_arrival,Neutral,Low
55,What's the reason my new card hasn't come?,Enoda puthu card varathathuku enna kaaranam?,card_arrival,Neutral,Low
56,How long does it take for me to get my new card?,Enoda puthu card kedaika enaku evlo naal aagum?,card_arrival,Neutral,Low
57,I don't have my card after 1 week. What are my next steps?,Oru vaaram aayum enoda card kedaikala. Naan aduthu enna pannanum?,card_arrival,Neutral,Low
58,I know I'm getting a new card but would like know when I can expect to receive it.,"Enaku puthu card varuthu nu theriyum, aana epo kedaikum nu therinjika aasai paduren.",card_arrival,Neutral,Low
59,I want to find out what happened to my new card?,Enoda puthu card-ku enna aachu nu naan therinjikanum?,card_arrival,Neutral,Low
60,Was there a way for me to get tracking for that?,Atha track panrathuku ethachum vazhi irunthatha?,card_arrival,Neutral,Low
61,I am still waiting for my card.,Naan innum enoda card-kaga wait panren.,card_arrival,Neutral,Low
62,My card hasn't arrived.,Enoda card innum vandhu serala.,card_arrival,Neutral,Low
63,Can I track the card you sent to me?,Neenga enaku anupuna card-a track panna mudiyuma?,card_arrival,Neutral,Low
64,I haven't gotten my new card.,Enaku enoda puthu card kedaikala.,card_arrival,Neutral,Low
65,How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,Enoda puthu card postla varathuku evlo naal aagum? Oruvelai kedaikalana naan enna pannanum?,card_arrival,Neutral,Low
66,Will I have to wait much longer for my new card to arrive?,Enoda puthu card varathuku naan innum romba neram wait pannanuma?,card_arrival,Neutral,Low
67,how to track the card you sent,Neenga anupuna card-a eppadi track panrathu?,card_arrival,Neutral,Low
68,2 weeks ago I ordered my new card.  It isn't here.  What should I do?,Rendu vaarathuku munnadi naan puthu card order pannen. Athu innum varala. Naan enna pannanum?,card_arrival,Neutral,Low
69,How can I check on the delivery status of my card?,Enoda card delivery status-a eppadi check panrathu?,card_arrival,Neutral,Low
70,"My card has not been delivered yet and its been a week since I ordered it, please help","Naan order panni oru vaaram aayum enoda card innum deliver aagala, konjam help pannunga.",card_arrival,Neutral,Low
71,What's the expected wait time to recieve my new card?,Enoda puthu card kedaika evlo naal wait pannanum?,card_arrival,Neutral,Low
72,How can I see the progress of delivery of the card that was sent?,Anupuna card delivery progress-a eppadi pakrathu?,card_arrival,Neutral,Low
73,"My card was supposed to arrive, but hasn't?","Enoda card vanthirukanum, aana innum varalaiya?",card_arrival,Neutral,Low
74,I ordered a card and would like to know how to track the delivery progress of it.,"Naan oru card order panni iruken, athoda delivery progress-a eppadi track panrathu nu therinjika aasai paduren.",card_arrival,Neutral,Low
75,How long will it take for me to get my card?,Enoda card kedaika enaku evlo naal aagum?,card_arrival,Neutral,Low
76,My card hasn't shown up yet.,Enakku innum card show aagala.,card_arrival,Neutral,Low
77,Does the card you sent have a tracking number?,Neenga anupuna card-ku tracking number iruka?,card_arrival,Neutral,Low
78,My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,Enoda card innum postla varala. Naan rendu vaarathuku munnadi order pannen. Naan enna panna mudiyum?,card_arrival,Neutral,Low
79,maximum how many days get the courier?,Courier kedaika maximum evlo naal aagum?,card_arrival,Neutral,Low
80,Is there a reason my new card hasn't arrived yet?,Enoda puthu card innum varathathuku ethachum kaaranam iruka?,card_arrival,Neutral,Low
81,"I've been waiting a while for my card, is there a way to know when it will arrive?","Enoda card-kaga naan konja kalama wait pannitiruken, adhu epo vandhu serum nu therinjuka edhavadhu vazhi iruka?",card_arrival,Neutral,Low
82,How can I track my card's delivery?,Enoda card delivery-a naan epadi track panradhu?,card_arrival,Neutral,Low
83,Can I track the card that was just sent to me?,Enaku ipodhan anupapatta card-a track panna mudiyuma?,card_arrival,Neutral,Low
84,"If I ordered my new card last week, how much longer should I wait to receive it?","Kadantha vaaram enoda pudhiya card-a naan order seidhirundha, adha vanga inum evlo kaalam wait pannanum?",card_arrival,Neutral,Low
85,"What's go on, where is my new card?","Enna nadakudhu, enoda pudhu card enga?",card_arrival,Neutral,Low
86,Where is my new card if I haven't received it yet?,"Enaku inum kidaikala na, enoda pudhu card enga iruku?",card_arrival,Neutral,Low
87,Where is my card?,Enoda card enga?,card_arrival,Neutral,Low
88,Can you tell me why I haven't received my new card yet?,Enoda pudhu card enaku inum yen kidaikala nu solla mudiyuma?,card_arrival,Neutral,Low
89,Is there a way to track my card?,Enoda card-a track panna edhavadhu vazhi iruka?,card_arrival,Neutral,Low
90,Is there a way to track the new card you sent me?,Neenga enaku anupina pudhu card-a track panna edhavadhu vazhi iruka?,card_arrival,Neutral,Low
91,I'm still waiting for my card.,Naan inum enoda card-kaga wait pannitiruken.,card_arrival,Neutral,Low
92,What do I need to do to get my new card which I have requested 2 weeks ago?,2 vaarathuku munnadi naan ketta enoda pudhu card-a vanga naan enna pannanum?,card_arrival,Neutral,Low
93,WHAT IS THE SOLUTION OF THIS PROBLEM,Indha prachanaikana theervu enna?,card_arrival,Negative,Low
94,Could I get tracking on the card?,Card-a track panra details-a naan vanga mudiyuma?,card_arrival,Neutral,Low
