task,system_a,system_b,delta,delta_ci_lower,delta_ci_upper,p_bootstrap,a_only_correct,b_only_correct,p_mcnemar,significant_05
intent,labse,mmbert,0.015463,0.011149,0.019706,0.0,655,420,0.0,True
intent,labse,tfidf-cnb,0.204216,0.197009,0.211914,0.0,3445,395,0.0,True
intent,labse,tfidf-logreg,0.06448,0.059037,0.070147,0.0,1427,434,0.0,True
intent,labse,tfidf-sgd,0.071915,0.066649,0.077414,0.0,1516,381,0.0,True
intent,labse,tfidf-svm,0.052603,0.047525,0.057883,0.0,1268,460,0.0,True
intent,mmbert,tfidf-cnb,0.188753,0.182111,0.195961,0.0,3219,404,0.0,True
intent,mmbert,tfidf-logreg,0.049017,0.044326,0.054171,0.0,1183,425,0.0,True
intent,mmbert,tfidf-sgd,0.056452,0.051211,0.061781,0.0,1291,391,0.0,True
intent,mmbert,tfidf-svm,0.03714,0.032171,0.042184,0.0,1065,492,0.0,True
intent,tfidf-cnb,tfidf-logreg,-0.139736,-0.146652,-0.132981,0.0,419,2476,0.0,True
intent,tfidf-cnb,tfidf-sgd,-0.132301,-0.139551,-0.125797,0.0,518,2433,0.0,True
intent,tfidf-cnb,tfidf-svm,-0.151613,-0.158686,-0.145318,0.0,327,2569,0.0,True
intent,tfidf-logreg,tfidf-sgd,0.007435,0.003411,0.011525,0.0,552,410,5e-06,True
intent,tfidf-logreg,tfidf-svm,-0.011877,-0.01572,-0.008058,0.0,373,558,0.0,True
intent,tfidf-sgd,tfidf-svm,-0.019312,-0.023058,-0.015463,0.0,295,622,0.0,True
