id,split,text_en,category,sentiment_v5,priority,sentiment_v6
0,train,I am still waiting on my card?,card_arrival,Neutral,Low,Neutral
1,train,What can I do if my card still hasn't arrived after 2 weeks?,card_arrival,Neutral,Low,Neutral
2,train,I have been waiting over a week. Is the card still coming?,card_arrival,Neutral,Low,Neutral
3,train,Can I track my card while it is in the process of delivery?,card_arrival,Neutral,Low,Neutral
4,train,"How do I know if I will get my card, or if it is lost?",card_arrival,Neutral,Low,Neutral
5,train,When did you send me my new card?,card_arrival,Neutral,Low,Neutral
6,train,Do you have info about the card on delivery?,card_arrival,Neutral,Low,Neutral
7,train,What do I do if I still have not received my new card?,card_arrival,Neutral,Low,Neutral
8,train,Does the package with my card have tracking?,card_arrival,Neutral,Low,Neutral
9,train,I ordered my card but it still isn't here,card_arrival,Neutral,Low,Neutral
10,train,Why has my new card still not come?,card_arrival,Neutral,Low,Neutral
11,train,"I still haven't received my card after two weeks, is it lost?",card_arrival,Neutral,Low,Neutral
12,train,Can you track my card for me?,card_arrival,Neutral,Low,Neutral
13,train,Is there a way to track the delivery of my card?,card_arrival,Neutral,Low,Neutral
14,train,It's been a week since I ordered my card and it's not here. Please help?,card_arrival,Neutral,Low,Neutral
15,train,Will I be able to track the card that was sent to me?,card_arrival,Neutral,Low,Neutral
16,train,I don't have my card in 1 week.  Should I be worried?,card_arrival,Neutral,Low,Neutral
17,train,How do I know when my new card is going to arrive?,card_arrival,Neutral,Low,Neutral
18,train,My new card has not been delivered to my home yet. What is going on?,card_arrival,Neutral,Low,Neutral
19,train,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,Neutral,Low,Neutral
20,train,"On the card that is coming, what's the tracking info?",card_arrival,Neutral,Low,Neutral
21,train,What is the status of my card's delivery?,card_arrival,Neutral,Low,Neutral
22,train,Have you sent out my card yet?,card_arrival,Neutral,Low,Neutral
23,train,My card isn't here yet.,card_arrival,Neutral,Low,Neutral
24,train,where is my new card?,card_arrival,Neutral,Low,Neutral
25,train,It's been a week since you sent my card and I still don't have it.,card_arrival,Neutral,Low,Negative
26,train,How do I track the card you sent me?,card_arrival,Neutral,Low,Neutral
27,train,When will I recieve my new card?,card_arrival,Neutral,Low,Neutral
28,train,When will I get my new card?,card_arrival,Neutral,Low,Neutral
29,train,What is the expected delivery date for my card?,card_arrival,Neutral,Low,Neutral
30,train,Is there a tracking number for the card you sent me?,card_arrival,Neutral,Low,Neutral
31,train,I would like to track the card you sent to me.,card_arrival,Neutral,Low,Neutral
32,train,Has my card been lost in delivery?,card_arrival,Neutral,Low,Neutral
33,train,My new card hasn't came in.,card_arrival,Neutral,Low,Neutral
34,train,Where is the card I ordered 2 weeks ago?,card_arrival,Neutral,Low,Neutral
35,train,Can I get an update on my replacement card?,card_arrival,Neutral,Low,Neutral
36,train,How long does it take for a new card to ship?,card_arrival,Neutral,Low,Neutral
37,train,What's the tracking on the card you sent?,card_arrival,Neutral,Low,Neutral
38,train,I haven't received my card and am worried it is lost.,card_arrival,Negative,Low,Neutral
39,train,My card still hasn't been delivered,card_arrival,Neutral,Low,Negative
40,train,I need to find out where the card is that I ordered.,card_arrival,Neutral,Low,Neutral
41,train,Where is my credit card that was to be mailed?,card_arrival,Neutral,Low,Neutral
42,train,I ordered my card but it hasn't been delivered yet,card_arrival,Neutral,Low,Neutral
43,train,Am I able to track the card that was just sent to me?,card_arrival,Neutral,Low,Neutral
44,train,Can you tell me why I haven't received my new card?,card_arrival,Neutral,Low,Neutral
45,train,I'm still waiting for my new card.,card_arrival,Neutral,Low,Negative
46,train,Is my card lost? I am still waiting for it to be delivered.,card_arrival,Neutral,Low,Negative
47,train,Should I keep waiting for my card to be delivered?,card_arrival,Neutral,Low,Neutral
48,train,Can I track when my card will be delivered?,card_arrival,Neutral,Low,Neutral
49,train,How can I check on the status of my new card?,card_arrival,Neutral,Low,Neutral
50,train,"A card has been sent to me, how do I track it?",card_arrival,Neutral,Low,Neutral
51,train,Is there a way I can get my card expedited?,card_arrival,Neutral,Low,Neutral
52,train,What can I do to track the card you sent me?,card_arrival,Neutral,Low,Neutral
53,train,why hasnt my card come in yet?,card_arrival,Neutral,Low,Neutral
54,train,How can I periodically check the delivery of the card you sent?,card_arrival,Neutral,Low,Neutral
55,train,What's the reason my new card hasn't come?,card_arrival,Neutral,Low,Neutral
56,train,How long does it take for me to get my new card?,card_arrival,Neutral,Low,Neutral
57,train,I don't have my card after 1 week. What are my next steps?,card_arrival,Neutral,Low,Neutral
58,train,I know I'm getting a new card but would like know when I can expect to receive it.,card_arrival,Neutral,Low,Neutral
59,train,I want to find out what happened to my new card?,card_arrival,Neutral,Low,Neutral
60,train,Was there a way for me to get tracking for that?,card_arrival,Neutral,Low,Neutral
61,train,I am still waiting for my card.,card_arrival,Neutral,Low,Neutral
62,train,My card hasn't arrived.,card_arrival,Neutral,Low,Neutral
63,train,Can I track the card you sent to me?,card_arrival,Neutral,Low,Neutral
64,train,I haven't gotten my new card.,card_arrival,Neutral,Low,Neutral
65,train,How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival,Neutral,Low,Neutral
66,train,Will I have to wait much longer for my new card to arrive?,card_arrival,Neutral,Low,Neutral
67,train,how to track the card you sent,card_arrival,Neutral,Low,Neutral
68,train,2 weeks ago I ordered my new card.  It isn't here.  What should I do?,card_arrival,Neutral,Low,Neutral
69,train,How can I check on the delivery status of my card?,card_arrival,Neutral,Low,Neutral
70,train,"My card has not been delivered yet and its been a week since I ordered it, please help",card_arrival,Neutral,Low,Negative
71,train,What's the expected wait time to recieve my new card?,card_arrival,Neutral,Low,Neutral
72,train,How can I see the progress of delivery of the card that was sent?,card_arrival,Neutral,Low,Neutral
73,train,"My card was supposed to arrive, but hasn't?",card_arrival,Neutral,Low,Neutral
74,train,I ordered a card and would like to know how to track the delivery progress of it.,card_arrival,Neutral,Low,Neutral
75,train,How long will it take for me to get my card?,card_arrival,Neutral,Low,Neutral
76,train,My card hasn't shown up yet.,card_arrival,Neutral,Low,Neutral
77,train,Does the card you sent have a tracking number?,card_arrival,Neutral,Low,Neutral
78,train,My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,card_arrival,Neutral,Low,Negative
79,train,maximum how many days get the courier?,card_arrival,Neutral,Low,Neutral
80,train,Is there a reason my new card hasn't arrived yet?,card_arrival,Neutral,Low,Neutral
81,train,"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival,Neutral,Low,Neutral
82,train,How can I track my card's delivery?,card_arrival,Neutral,Low,Neutral
83,train,Can I track the card that was just sent to me?,card_arrival,Neutral,Low,Neutral
84,train,"If I ordered my new card last week, how much longer should I wait to receive it?",card_arrival,Neutral,Low,Neutral
85,train,"What's go on, where is my new card?",card_arrival,Neutral,Low,Negative
86,train,Where is my new card if I haven't received it yet?,card_arrival,Neutral,Low,Neutral
87,train,Where is my card?,card_arrival,Neutral,Low,Neutral
88,train,Can you tell me why I haven't received my new card yet?,card_arrival,Neutral,Low,Neutral
89,train,Is there a way to track my card?,card_arrival,Neutral,Low,Neutral
90,train,Is there a way to track the new card you sent me?,card_arrival,Neutral,Low,Neutral
91,train,I'm still waiting for my card.,card_arrival,Neutral,Low,Negative
92,train,What do I need to do to get my new card which I have requested 2 weeks ago?,card_arrival,Neutral,Low,Neutral
93,train,WHAT IS THE SOLUTION OF THIS PROBLEM,card_arrival,Negative,Low,Negative
94,train,Could I get tracking on the card?,card_arrival,Neutral,Low,Neutral
95,train,Can you help me track my card?,card_arrival,Neutral,Low,Neutral
96,train,Shouldn't my new card be here by now?,card_arrival,Neutral,Low,Negative
97,train,Is there a reason my new card hasn't arrived?,card_arrival,Neutral,Low,Neutral
98,train,"I would like to track a card sent to me, how do I do that?",card_arrival,Neutral,Low,Neutral
99,train,Is there a tracking number for the card?,card_arrival,Neutral,Low,Neutral
100,train,can you share card tracking number?,card_arrival,Neutral,Low,Neutral
101,train,"I have not received my card and it's been a week, what do I do?",card_arrival,Neutral,Low,Negative
102,train,Is there a way I can check on the card on route to me?,card_arrival,Neutral,Low,Neutral
103,train,When will my new card arrive?,card_arrival,Neutral,Low,Neutral
104,train,Why haven't I received my new card yet?,card_arrival,Neutral,Low,Neutral
105,train,What is the expected delivery date of my card?,card_arrival,Neutral,Low,Neutral
106,train,My card hasn't came in the mail yet?,card_arrival,Neutral,Low,Neutral
107,train,I haven't received my card.,card_arrival,Neutral,Low,Neutral
108,train,Is it possible for me to track the card is was mailed to me?,card_arrival,Neutral,Low,Neutral
109,train,When will my new card be delivered?,card_arrival,Neutral,Low,Neutral
110,train,I was issued a card about a week ago. why hasn't it come in yet?,card_arrival,Neutral,Low,Neutral
111,train,Can you please tell me where my card is? I ordered it 2 weeks ago!,card_arrival,Neutral,Low,Neutral
112,train,I still haven't received my card in the mail,card_arrival,Neutral,Low,Neutral
113,train,I'm still waiting for my card that was issued a week ago. What should I do?,card_arrival,Neutral,Low,Neutral
114,train,I still haven't gotten my new card.  When will it get here?,card_arrival,Neutral,Low,Neutral
115,train,Do you have a tracking number for the card I was sent?,card_arrival,Neutral,Low,Neutral
116,train,How do I track the card you sent to me?,card_arrival,Neutral,Low,Neutral
117,train,Is my new bank card on the way and is there a way to track it?,card_arrival,Neutral,Low,Neutral
118,train,Could you send me and up date on the arrival of my card?,card_arrival,Neutral,Low,Neutral
119,train,How long does it take to recieve my new card?,card_arrival,Neutral,Low,Neutral
120,train,My card has not come in the mail yet.,card_arrival,Neutral,Low,Neutral
121,train,What's the card you sent me's tracking number?,card_arrival,Neutral,Low,Neutral
122,train,i havent got my card,card_arrival,Neutral,Low,Neutral
123,train,Why hasn't my card arrived yet?,card_arrival,Neutral,Low,Neutral
124,train,I thought I would have received my new card at this point.,card_arrival,Neutral,Low,Neutral
125,train,How long until my new card gets here?,card_arrival,Neutral,Low,Neutral
126,train,How much longer until I get my new card?,card_arrival,Neutral,Low,Neutral
127,train,Am I able to track a card that has already been sent?,card_arrival,Neutral,Low,Neutral
128,train,Is it possible to track the card you sent me?,card_arrival,Neutral,Low,Neutral
129,train,How long will it be to get this new card?,card_arrival,Neutral,Low,Neutral
130,train,how can i track card you sent,card_arrival,Neutral,Low,Neutral
131,train,Can the card was sen to me be tracked?,card_arrival,Neutral,Low,Neutral
132,train,why have i not got my new card?,card_arrival,Neutral,Low,Neutral
133,train,I need to track the card sent to me.,card_arrival,Neutral,Low,Neutral
134,train,"It's been two weeks and I haven't gotten my card, what do I do?",card_arrival,Neutral,Low,Negative
135,train,I was expecting my new card by now.,card_arrival,Neutral,Low,Neutral
136,train,Where is the tracking number for the card?,card_arrival,Neutral,Low,Neutral
137,train,I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,card_arrival,Neutral,Low,Negative
138,train,Can I track the card that you sent me in the mail?,card_arrival,Neutral,Low,Neutral
139,train,Can you tell me if I can track the card you sent me?,card_arrival,Neutral,Low,Neutral
140,train,Why have I not gotten my new card?,card_arrival,Neutral,Low,Neutral
141,train,I'm still waiting on my new card to be delivered!,card_arrival,Neutral,Low,Negative
142,train,My new card isn't here and it was issued a week ago.,card_arrival,Neutral,Low,Neutral
143,train,"I was supposed to receive my new card by now, but it hasn't came in.",card_arrival,Neutral,Low,Neutral
144,train,Is a tracking number available for the card that was just sent?,card_arrival,Neutral,Low,Neutral
145,train,Why haven't I gotten my new card?,card_arrival,Neutral,Low,Neutral
146,train,Was there a number to track that I could get?,card_arrival,Neutral,Low,Neutral
147,train,How much longer is it going to take to get my new card?,card_arrival,Neutral,Low,Neutral
148,train,I haven't gotten my credit card in the mail.,card_arrival,Neutral,Low,Neutral
149,train,My card hasn't arrived yet. What do I do?,card_arrival,Neutral,Low,Neutral
150,train,"My card still hasn't arrived after two weeks, now what?",card_arrival,Neutral,Low,Negative
151,train,My card appears to have never arrived?,card_arrival,Neutral,Low,Neutral
152,train,My card never arrived.,card_arrival,Neutral,Low,Neutral
153,train,My card has been found. Is there any way for me to put it back into the app?,card_linking,Neutral,Low,Neutral
154,train,I was able to find my card. How to I go about putting it into my app?,card_linking,Neutral,Low,Neutral
155,train,how do I get my card to show in the app?,card_linking,Neutral,Low,Neutral
156,train,I just got my card.  It's not linked yet--how do I do that?,card_linking,Neutral,Low,Neutral
157,train,"lost card found, want to put it back in app",card_linking,Neutral,Low,Neutral
158,train,"I just got a card, how can I add it to the app?",card_linking,Neutral,Low,Neutral
159,train,Is there any way to see my card in the app?,card_linking,Neutral,Low,Neutral
160,train,If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,card_linking,Neutral,Low,Neutral
161,train,I found my card. How can I put it into my app?,card_linking,Neutral,Low,Neutral
162,train,How do I make my card show up in the app?,card_linking,Neutral,Low,Neutral
163,train,Can you show me where to link the new card?,card_linking,Neutral,Low,Neutral
164,train,I found my old card. Can I link it back into the app?,card_linking,Neutral,Low,Neutral
165,train,"Show me how to link the new card,",card_linking,Neutral,Low,Neutral
166,train,How do I add an existing card to the app?,card_linking,Neutral,Low,Neutral
167,train,I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,card_linking,Neutral,Low,Neutral
168,train,How do I link one of your card that I already have?,card_linking,Neutral,Low,Neutral
169,train,If I have a physical card can I link it?,card_linking,Neutral,Low,Neutral
170,train,I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,card_linking,Neutral,Low,Neutral
171,train,Can I add a card that I just found (again) to the app?,card_linking,Neutral,Low,Neutral
172,train,How can I make my card show up in the app?,card_linking,Neutral,Low,Neutral
173,train,"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",card_linking,Neutral,Low,Neutral
174,train,"Okay, I found my card, can I put it back in the app?",card_linking,Neutral,Low,Neutral
175,train,Can I reactivate a card?,card_linking,Neutral,Low,Neutral
176,train,I would like to reactivate a card and wondered if that could be done?,card_linking,Neutral,Low,Neutral
177,train,"I got my card now, how do I make it show up in the app?",card_linking,Neutral,Low,Neutral
178,train,How do I link an existing card?,card_linking,Neutral,Low,Neutral
179,train,How do I link a new card in the app?,card_linking,Neutral,Low,Neutral
180,train,"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",card_linking,Neutral,Low,Neutral
181,train,I already have a card and want to link it,card_linking,Neutral,Low,Neutral
