id,text_en,text,category,sentiment,priority
0,I am still waiting on my card?,நான் எனது அட்டையை எதிர்நோக்கிக் கொண்டிருக்கிறேன்.,card_arrival,Neutral,Low
1,What can I do if my card still hasn't arrived after 2 weeks?,2 வாரங்கள் ஆகியும் எனது அட்டை இன்னும் வரவில்லை என்றால் நான் என்ன செய்ய வேண்டும்?,card_arrival,Neutral,Low
2,I have been waiting over a week. Is the card still coming?,நான் ஒரு வாரத்திற்கு மேலாகக் காத்திருக்கிறேன். அட்டை இன்னும் வந்து கொண்டிருக்கிறதா?,card_arrival,Neutral,Low
3,Can I track my card while it is in the process of delivery?,எனது அட்டை விநியோகிக்கப்படும் போது அதை நான் கண்காணிக்க முடியுமா?,card_arrival,Neutral,Low
4,"How do I know if I will get my card, or if it is lost?",எனது அட்டை எனக்குக் கிடைக்குமா அல்லது அது தொலைந்துவிட்டதா என்பதை நான் எவ்வாறு அறிவது?,card_arrival,Neutral,Low
5,When did you send me my new card?,எனது புதிய அட்டையை எனக்கு எப்போது அனுப்பினீர்கள்?,card_arrival,Neutral,Low
6,Do you have info about the card on delivery?,விநியோகிக்கப்படும் அட்டை பற்றிய விபரங்கள் உங்களிடம் உள்ளதா?,card_arrival,Neutral,Low
7,What do I do if I still have not received my new card?,எனது புதிய அட்டை இன்னும் எனக்குக் கிடைக்கவில்லை என்றால் நான் என்ன செய்ய வேண்டும்?,card_arrival,Neutral,Low
8,Does the package with my card have tracking?,எனது அட்டை உள்ள பார்சலுக்கு கண்காணிப்பு வசதி இருக்கிறதா?,card_arrival,Neutral,Low
9,I ordered my card but it still isn't here,"நான் எனது அட்டையை ஓடர் செய்தேன், ஆனால் அது இன்னும் வரவில்லை.",card_arrival,Neutral,Low
10,Why has my new card still not come?,எனது புதிய அட்டை ஏன் இன்னும் வரவில்லை?,card_arrival,Neutral,Low
11,"I still haven't received my card after two weeks, is it lost?","இரண்டு வாரங்கள் ஆகியும் எனது அட்டை இன்னும் எனக்குக் கிடைக்கவில்லை, அது தொலைந்துவிட்டதா?",card_arrival,Neutral,Low
12,Can you track my card for me?,எனது அட்டையை எனக்காகக் கண்காணித்துத் தர முடியுமா?,card_arrival,Neutral,Low
