# The 60 sample tickets the label models rank most differently -- the rows that actually discriminate between the models.
id,language,gold_priority,pred_intent,p_negative,spread,marginal__rank,chain-intent__rank,chain-full__rank,logpool__rank,stacked__rank
1322,english,Low,topping_up_by_card,9.796236554393543e-05,201,394,196,198,238,193
1669,sinhala,Low,lost_or_stolen_phone,0.0001494292082497,193,220,27,29,181,197
659,tamil,Medium,pending_top_up,0.9163955450057985,191,257,221,66,223,207
2117,english,Low,reverted_card_payment?,0.0004056861216668,186,36,208,222,168,185
2381,tamilish,Low,verify_top_up,0.0002348866401007,183,203,373,386,260,251
1134,singlish,Low,edit_personal_details,0.0003350082261022,178,205,383,375,261,292
1931,tamilish,Medium,card_swallowed,0.0007676752866245,168,202,34,38,158,180
112,english,Low,exchange_rate,0.0010798055445775,167,204,371,338,264,252
655,singlish,Medium,pending_top_up,0.9993597865104676,167,171,222,55,184,186
1355,tamil,Low,automatic_top_up,0.0036612970288842,165,370,215,213,240,205
27,tamil,Low,card_arrival,0.9971396923065186,163,280,378,259,342,215
289,tamil,Low,card_delivery_estimate,0.0029896504711359,159,31,187,190,32,33
2477,english,Low,topping_up_by_card,0.0001242481084773,156,350,194,196,232,196
1322,singlish,Low,topping_up_by_card,0.0001297898998018,152,346,195,197,233,194
2461,english,Low,top_up_by_cash_or_cheque,8.58475177665241e-05,150,395,265,284,318,245
1491,tamilish,High,lost_or_stolen_phone,0.0008525284356437,148,190,44,46,182,192
1638,english,Low,pending_card_payment,0.700939416885376,147,188,335,269,231,209
1322,tamilish,Low,topping_up_by_card,0.0001652588252909,141,334,193,195,234,195
866,tamilish,Medium,cancel_transfer,0.0343617834150791,139,186,49,47,169,176
1750,tamilish,Medium,cancel_transfer,0.9020533561706544,138,170,55,32,46,156
26,singlish,Low,card_arrival,0.0013843126362189,137,235,370,372,299,325
703,tamil,Medium,cancel_transfer,0.0001722846645861,137,184,47,51,176,174
4,singlish,Low,card_arrival,0.0629168376326561,136,201,337,322,241,250
79,english,Low,getting_spare_card,8.459457603748888e-05,135,384,249,249,276,327
1036,singlish,Low,top_up_reverted,0.9730827808380128,135,150,169,183,154,48
2518,tamilish,Low,order_physical_card,0.0001323437609244,134,182,314,316,222,223
1625,english,Low,pending_card_payment,0.9972015619277954,134,260,348,263,316,214
3030,tamil,Low,verify_my_identity,0.0002750109997577,133,376,243,244,271,313
2190,tamilish,Medium,cancel_transfer,0.0005724382936023,132,164,45,49,38,170
2403,tamil,Low,getting_spare_card,0.0001051749277394,131,383,252,252,278,350
2180,tamilish,Medium,beneficiary_not_allowed,0.9983293414115906,128,159,178,155,166,50
2292,english,Medium,beneficiary_not_allowed,0.0001643944560782,128,48,168,176,148,153
1156,sinhala,Low,edit_personal_details,0.0002359856880502,127,247,374,370,317,343
2301,tamilish,Medium,cancel_transfer,0.0037373835220932,127,181,54,58,174,175
682,singlish,Low,cancel_transfer,0.0001172856063931,126,172,46,52,164,162
1280,tamil,Low,visa_or_mastercard,0.0005274188006296,126,252,376,378,314,319
1449,english,Low,atm_support,0.0001854321599239,125,358,240,233,268,318
1445,tamil,Low,atm_support,0.0001650975609663,122,354,239,232,270,317
1208,tamilish,Low,unable_to_verify_identity,0.0014763816725462,119,191,305,310,224,231
1312,singlish,Low,card_payment_wrong_exchange_rate,0.0009059380390681,119,216,97,98,190,179
1864,singlish,Low,transfer_not_received_by_recipient,0.0001863248908193,118,161,43,45,147,150
2597,tamil,Medium,wrong_exchange_rate_for_cash_withdrawal,0.9996718168258668,117,56,158,88,104,41
563,english,Medium,contactless_not_working,0.788069486618042,117,75,166,64,120,49
923,sinhala,Low,getting_virtual_card,0.0001092342936317,117,373,271,268,300,256
2693,tamilish,Medium,balance_not_updated_after_bank_transfer,0.9972130656242372,117,157,156,109,156,40
1395,sinhala,Low,disposable_card_limits,8.672197873238474e-05,116,391,289,291,334,275
2676,tamilish,Medium,top_up_failed,0.0002414868649793,116,167,51,63,149,149
1374,english,Low,disposable_card_limits,8.020432869670913e-05,115,389,287,289,326,274
3074,singlish,Low,country_support,0.0003143540525343,113,287,400,389,356,376
2480,singlish,Low,order_physical_card,0.000735227658879,112,218,327,330,263,289
2860,tamilish,Low,activate_my_card,0.0003366543678566,112,344,232,237,255,238
503,tamil,Low,age_limit,0.0001367283111903,111,231,333,342,286,323
2226,singlish,Medium,transfer_fee_charged,0.0035490535665303,109,35,142,144,50,38
994,singlish,Low,card_acceptance,0.0001770366216078,109,209,315,318,252,295
1683,tamilish,Medium,request_refund,0.0003136194427497,108,206,98,141,189,183
866,singlish,Medium,transfer_not_received_by_recipient,0.996826708316803,107,144,41,37,44,37
1370,english,Low,disposable_card_limits,0.0001117121937568,106,386,296,297,329,280
72,singlish,Low,card_linking,0.0001512509188614,106,227,326,333,272,304
2411,sinhala,Low,getting_spare_card,9.510089148534462e-05,105,355,250,250,273,335
1313,tamilish,Low,visa_or_mastercard,0.0006749578169547,105,281,386,385,346,348
