row_index,text,category,sentiment_existing,priority_existing,vader_compound,negativity_score,positive_flag,suggested_sentiment,suggested_priority,priority_content_support,has_urgent_cue,strong_neg_hits,urgent_hits
0,I am still waiting on my card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
1,What can I do if my card still hasn't arrived after 2 weeks?,card_arrival,Neutral,Low,0.0,1.5,False,Neutral,Low,False,False,still hasn't,
2,I have been waiting over a week. Is the card still coming?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
3,Can I track my card while it is in the process of delivery?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
4,"How do I know if I will get my card, or if it is lost?",card_arrival,Neutral,Low,-0.318,1.6,False,Neutral,Low,False,False,,
5,When did you send me my new card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
6,Do you have info about the card on delivery?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
7,What do I do if I still have not received my new card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
8,Does the package with my card have tracking?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
9,I ordered my card but it still isn't here,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
10,Why has my new card still not come?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
11,"I still haven't received my card after two weeks, is it lost?",card_arrival,Neutral,Low,-0.318,3.1,False,Mildly Negative,Low,False,False,still haven't,
12,Can you track my card for me?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
13,Is there a way to track the delivery of my card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
14,It's been a week since I ordered my card and it's not here. Please help?,card_arrival,Neutral,Low,-0.497,2.5,False,Mildly Negative,Low,False,False,,
15,Will I be able to track the card that was sent to me?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
16,I don't have my card in 1 week.  Should I be worried?,card_arrival,Neutral,Low,-0.296,1.5,False,Neutral,Low,False,False,,
17,How do I know when my new card is going to arrive?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
18,My new card has not been delivered to my home yet. What is going on?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
19,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,Neutral,Low,0.0,3.0,False,Mildly Negative,Low,False,False,still didn't; keep waiting,
20,"On the card that is coming, what's the tracking info?",card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
21,What is the status of my card's delivery?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
22,Have you sent out my card yet?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
23,My card isn't here yet.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
24,where is my new card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
25,It's been a week since you sent my card and I still don't have it.,card_arrival,Neutral,Low,0.0,1.5,False,Neutral,Low,False,False,still don't have,
26,How do I track the card you sent me?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
27,When will I recieve my new card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
28,When will I get my new card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
29,What is the expected delivery date for my card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
30,Is there a tracking number for the card you sent me?,card_arrival,Neutral,Low,0.077,0.0,False,Neutral,Low,False,False,,
