id,text_en,text,category,sentiment,priority
0,I am still waiting on my card?,මගේ කාඩ් එක තාම හම්බුන්නෑ?,card_arrival,Neutral,Low
1,What can I do if my card still hasn't arrived after 2 weeks?,"සති 2ක් ගියත් මගේ කාඩ් එක තාම ආවේ නෑ, මම මොකද කරන්න ඕනේ?",card_arrival,Neutral,Low
2,I have been waiting over a week. Is the card still coming?,"සතියකටත් වඩා ඉන්නවා බලාගෙන, කාඩ් එක තාම එනවද?",card_arrival,Neutral,Low
3,Can I track my card while it is in the process of delivery?,කාඩ් එක එවලා ඉන්න වෙලාවෙදි මට ඒක ට්‍රැක් කරන්න පුළුවන්ද?,card_arrival,Neutral,Low
4,"How do I know if I will get my card, or if it is lost?",මගේ කාඩ් එක ලැබෙයිද නැත්තම් ඒක නැති වෙලාද කියලා දැනගන්නේ කොහොමද?,card_arrival,Neutral,Low
5,When did you send me my new card?,මගේ අලුත් කාඩ් එක එවුවේ කවදද?,card_arrival,Neutral,Low
6,Do you have info about the card on delivery?,කාඩ් එකේ ඩිලිවරි එක ගැන යම් විස්තරයක් තියෙනවද?,card_arrival,Neutral,Low
7,What do I do if I still have not received my new card?,මගේ අලුත් කාඩ් එක තාම හම්බුන්නේ නැත්තම් මම මොකද කරන්නේ?,card_arrival,Neutral,Low
8,Does the package with my card have tracking?,මගේ කාඩ් එක එවපු පාර්සල් එකට ට්‍රැකින් තියෙනවද?,card_arrival,Neutral,Low
9,I ordered my card but it still isn't here,"මම කාඩ් එකක් ඕඩර් කරා, ඒත් තාම ඒක හම්බුන්නෑ",card_arrival,Neutral,Low
10,Why has my new card still not come?,මගේ අලුත් කාඩ් එක තාම ඇවිත් නැත්තේ ඇයි?,card_arrival,Neutral,Low
11,"I still haven't received my card after two weeks, is it lost?","සති දෙකක් ගියත් මට කාඩ් එක හම්බුන්නෑ, ඒක නැති වෙලාද?",card_arrival,Neutral,Low
12,Can you track my card for me?,මගේ කාඩ් එක ට්‍රැක් කරලා දෙන්න පුළුවන්ද?,card_arrival,Neutral,Low
13,Is there a way to track the delivery of my card?,මගේ කාඩ් එකේ ඩිලිවරි එක ට්‍රැක් කරන්න විදියක් තියෙනවද?,card_arrival,Neutral,Low
14,It's been a week since I ordered my card and it's not here. Please help?,"කාඩ් එක ඕඩර් කරලා සතියක් ගියා, තාම හම්බුන්නෑ. උදව් කරන්නකෝ?",card_arrival,Neutral,Low
15,Will I be able to track the card that was sent to me?,මට එවපු කාඩ් එක ට්‍රැක් කරගන්න පුළුවන් වෙයිද?,card_arrival,Neutral,Low
16,I don't have my card in 1 week.  Should I be worried?,සතියක් ගියත් මට කාඩ් එක නෑ. මම කලබල වෙන්න ඕනේද?,card_arrival,Neutral,Low
17,How do I know when my new card is going to arrive?,මගේ අලුත් කාඩ් එක එන්නේ කවදද කියලා දැනගන්නේ කොහොමද?,card_arrival,Neutral,Low
18,My new card has not been delivered to my home yet. What is going on?,මගේ අලුත් කාඩ් එක තාම ගෙදරට ඇවිත් නෑ. මොකද වෙලා තියෙන්නේ?,card_arrival,Neutral,Low
19,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,"ඔයාලා මට කාඩ් එකක් නිකුත් කරලා සතියක් ගියා, තාම ලැබුනේ නෑ. මම ඉතින් බලාගෙන ඉන්නද ඕනේ?",card_arrival,Neutral,Low
20,"On the card that is coming, what's the tracking info?",එන කාඩ් එකේ ට්‍රැකින් විස්තර මොනවද?,card_arrival,Neutral,Low
21,What is the status of my card's delivery?,මගේ කාඩ් එකේ ඩිලිවරි එකේ ස්ටේටස් එක මොකක්ද?,card_arrival,Neutral,Low
22,Have you sent out my card yet?,ඔයාලා මගේ කාඩ් එක එවලාද?,card_arrival,Neutral,Low
23,My card isn't here yet.,මගේ කාඩ් එක තාම හම්බුන්නෑ.,card_arrival,Neutral,Low
24,where is my new card?,මගේ අලුත් කාඩ් එක කොහෙද තියෙන්නේ?,card_arrival,Neutral,Low
25,It's been a week since you sent my card and I still don't have it.,"ඔයාලා මගේ කාඩ් එක එවලා සතියක් ගියා, තාම මට ඒක නෑ.",card_arrival,Neutral,Low
26,How do I track the card you sent me?,ඔයාලා එවපු කාඩ් එක ට්‍රැක් කරන්නේ කොහොමද?,card_arrival,Neutral,Low
27,When will I recieve my new card?,මගේ අලුත් කාඩ් එක ලැබෙන්නේ කවදද?,card_arrival,Neutral,Low
28,When will I get my new card?,මගේ අලුත් කාඩ් එක ලැබෙන්නේ කවදද?,card_arrival,Neutral,Low
29,What is the expected delivery date for my card?,මගේ කාඩ් එකේ ඩිලිවරි එකට බලාපොරොත්තු වෙන දිනය මොකක්ද?,card_arrival,Neutral,Low
30,Is there a tracking number for the card you sent me?,ඔයාලා එවපු කාඩ් එකට ට්‍රැකින් නම්බරයක් තියෙනවද?,card_arrival,Neutral,Low
31,I would like to track the card you sent to me.,ඔයාලා එවපු කාඩ් එක ට්‍රැක් කරන්න මට ඕනේ.,card_arrival,Neutral,Low
32,Has my card been lost in delivery?,මගේ කාඩ් එක ඩිලිවරි කරද්දි නැති වෙලාද?,card_arrival,Neutral,Low
33,My new card hasn't came in.,මගේ අලුත් කාඩ් එක තාම ආවේ නෑ.,card_arrival,Neutral,Low
34,Where is the card I ordered 2 weeks ago?,සති 2කට කලින් මම ඕඩර් කරපු කාඩ් එක කොහෙද?,card_arrival,Neutral,Low
35,Can I get an update on my replacement card?,මගේ වෙනස් කරපු කාඩ් එක ගැන අලුත් විස්තරයක් දෙන්න පුළුවන්ද?,card_arrival,Neutral,Low
36,How long does it take for a new card to ship?,අලුත් කාඩ් එකක් එවන්න කොච්චර වෙලා යනවද?,card_arrival,Neutral,Low
37,What's the tracking on the card you sent?,ඔයාලා එවපු කාඩ් එකේ ට්‍රැකින් එක මොකක්ද?,card_arrival,Neutral,Low
38,I haven't received my card and am worried it is lost.,"මට කාඩ් එක හම්බුන්නෑ, ඒක නැති වෙලා ඇති කියලා මම කලබල වෙනවා.",card_arrival,Negative,Low
39,My card still hasn't been delivered,මගේ කාඩ් එක තාම ඩිලිවර් වෙලා නෑ,card_arrival,Neutral,Low
40,I need to find out where the card is that I ordered.,මම ඕඩර් කරපු කාඩ් එක කොහෙද කියලා දැනගන්න ඕනේ.,card_arrival,Neutral,Low
41,Where is my credit card that was to be mailed?,මට එවන්න ඕන කියපු ක්‍රෙඩිට් කාඩ් එක කොහෙද?,card_arrival,Neutral,Low
42,I ordered my card but it hasn't been delivered yet,"මම කාඩ් එකක් ඕඩර් කරා, ඒත් තාම ඩිලිවර් වෙලා නෑ",card_arrival,Neutral,Low
43,Am I able to track the card that was just sent to me?,මට දැන් එවපු කාඩ් එක ට්‍රැක් කරගන්න පුළුවන්ද?,card_arrival,Neutral,Low
44,Can you tell me why I haven't received my new card?,මම මගේ අලුත් කාඩ් එක ලැබුනේ නැත්තේ ඇයි කියලා කියන්න පුළුවන්ද?,card_arrival,Neutral,Low
45,I'm still waiting for my new card.,මම තාම මගේ අලුත් කාඩ් එක එනකම් බලාගෙන ඉන්නවා.,card_arrival,Neutral,Low
46,Is my card lost? I am still waiting for it to be delivered.,මගේ කාඩ් එක නැති වෙලාද? මම තාම ඒක එනකම් බලාගෙන ඉන්නවා.,card_arrival,Neutral,Low
47,Should I keep waiting for my card to be delivered?,මම මගේ කාඩ් එක එනකම් තව බලාගෙන ඉන්නද ඕනේ?,card_arrival,Neutral,Low
48,Can I track when my card will be delivered?,මගේ කාඩ් එක එන දවස ට්‍රැක් කරගන්න පුළුවන්ද?,card_arrival,Neutral,Low
49,How can I check on the status of my new card?,මගේ අලුත් කාඩ් එකේ ස්ටේටස් එක බලන්නේ කොහොමද?,card_arrival,Neutral,Low
50,"A card has been sent to me, how do I track it?","මට කාඩ් එකක් එවලා තියෙනවලු, ඒක ට්‍රැක් කරන්නේ කොහොමද?",card_arrival,Neutral,Low
51,Is there a way I can get my card expedited?,මගේ කාඩ් එක ඉක්මනට එවගන්න විදියක් තියෙනවද?,card_arrival,Neutral,Low
52,What can I do to track the card you sent me?,ඔයාලා එවපු කාඩ් එක ට්‍රැක් කරන්න මම මොකද කරන්නේ?,card_arrival,Neutral,Low
53,why hasnt my card come in yet?,මගේ කාඩ් එක තාම ආවේ නැත්තේ ඇයි?,card_arrival,Neutral,Low
54,How can I periodically check the delivery of the card you sent?,ඔයාලා එවපු කාඩ් එකේ ඩිලිවරි එක ටිකෙන් ටික චෙක් කරන්නේ කොහොමද?,card_arrival,Neutral,Low
55,What's the reason my new card hasn't come?,මගේ අලුත් කාඩ් එක ආවේ නැත්තේ ඇයි?,card_arrival,Neutral,Low
56,How long does it take for me to get my new card?,මගේ අලුත් කාඩ් එක ලැබෙන්න කොච්චර වෙලා යනවද?,card_arrival,Neutral,Low
57,I don't have my card after 1 week. What are my next steps?,සතියක් ගියත් මට කාඩ් එක නෑ. දැන් මම මොකද කරන්නේ?,card_arrival,Neutral,Low
58,I know I'm getting a new card but would like know when I can expect to receive it.,"මට අලුත් කාඩ් එකක් ලැබෙනවා කියලා දන්නවා, ඒත් ඒක කවදද ලැබෙන්නේ කියලා දැනගන්න ඕනේ.",card_arrival,Neutral,Low
59,I want to find out what happened to my new card?,මගේ අලුත් කාඩ් එකට මොකද වුනේ කියලා දැනගන්න ඕනේ.,card_arrival,Neutral,Low
60,Was there a way for me to get tracking for that?,ඒක ට්‍රැක් කරන්න මොකක්හරි විදියක් තියෙනවද?,card_arrival,Neutral,Low
61,I am still waiting for my card.,මම තාම මගේ කාඩ් එක එනකම් බලාගෙන ඉන්නවා.,card_arrival,Neutral,Low
62,My card hasn't arrived.,මගේ කාඩ් එක තාම ආවේ නෑ.,card_arrival,Neutral,Low
63,Can I track the card you sent to me?,ඔයාලා එවපු කාඩ් එක ට්‍රැක් කරන්න පුළුවන්ද?,card_arrival,Neutral,Low
64,I haven't gotten my new card.,මට තාම අලුත් කාඩ් එක හම්බුනේ නෑ.,card_arrival,Neutral,Low
65,How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,මගේ අලුත් කාඩ් එක ලැබෙන්න කොච්චර වෙලා යනවද? ඒක කවදාවත් ලැබුනේ නැත්තම් මම මොකද කරන්නේ?,card_arrival,Neutral,Low
66,Will I have to wait much longer for my new card to arrive?,මගේ අලුත් කාඩ් එක ලැබෙන්න තව ගොඩක් වෙලා යනවද?,card_arrival,Neutral,Low
67,how to track the card you sent,ඔයාලා එවපු කාඩ් එක ට්‍රැක් කරන්නේ කොහොමද,card_arrival,Neutral,Low
68,2 weeks ago I ordered my new card.  It isn't here.  What should I do?,සති 2කට කලින් මම අලුත් කාඩ් එකක් ඕඩර් කරා. ඒක තාම එන්නේ නෑ. මම මොකද කරන්නේ?,card_arrival,Neutral,Low
69,How can I check on the delivery status of my card?,මගේ කාඩ් එකේ ඩිලිවරි ස්ටේටස් එක බලන්නේ කොහොමද?,card_arrival,Neutral,Low
70,"My card has not been delivered yet and its been a week since I ordered it, please help","සතියක් ගිහින් තියෙනවා ඕඩර් කරලා, ඒත් තාම කාඩ් එක ඩිලිවර් වෙලා නෑ. උදව් කරන්නකෝ.",card_arrival,Neutral,Low
71,What's the expected wait time to recieve my new card?,මගේ අලුත් කාඩ් එක ලැබෙන්න බලාපොරොත්තු වෙන කාලය මොකක්ද?,card_arrival,Neutral,Low
72,How can I see the progress of delivery of the card that was sent?,එවපු කාඩ් එකේ ඩිලිවරි ප්‍රගතිය බලන්නේ කොහොමද?,card_arrival,Neutral,Low
73,"My card was supposed to arrive, but hasn't?","මගේ කාඩ් එක ලැබෙන්න ඕන කාලය ගියා, ඒත් තාම ලැබුනේ නෑ?",card_arrival,Neutral,Low
74,I ordered a card and would like to know how to track the delivery progress of it.,"මම කාඩ් එකක් ඕඩර් කරා, ඒකේ ඩිලිවරි එක ට්‍රැක් කරන්නේ කොහොමද කියලා දැනගන්න ඕනේ.",card_arrival,Neutral,Low
75,How long will it take for me to get my card?,මගේ කාඩ් එක ලැබෙන්න කොච්චර වෙලා යනවද?,card_arrival,Neutral,Low
76,My card hasn't shown up yet.,මගේ කාඩ් එක තාම පේන්නේ නෑ.,card_arrival,Neutral,Low
77,Does the card you sent have a tracking number?,ඔයාලා එවපු කාඩ් එකට ට්‍රැකින් නම්බරයක් තියෙනවද?,card_arrival,Neutral,Low
78,My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,මගේ කාඩ් එක තාම ආවේ නෑ. මම ඒක ඕඩර් කරලා සති 2ක් ගියා. මම මොකද කරන්නේ?,card_arrival,Neutral,Low
79,maximum how many days get the courier?,කූරියර් එක එන්න උපරිම දවස් කීයක් යනවද?,card_arrival,Neutral,Low
80,Is there a reason my new card hasn't arrived yet?,මගේ අලුත් කාඩ් එක තාම ආවේ නැත්තේ මොකක් හරි හේතුවක් තියෙනවද?,card_arrival,Neutral,Low
