scenario,language,text,exp_intent,exp_sentiment,exp_priority,labse_sentiment,labse_priority,tfidf_intent,tfidf_sentiment,tfidf_priority
unauthorised charge,english,"There is a payment on my card I never made. Someone has used my card without permission, please block it now.",card_payment_not_recognised,Negative,High,Negative,High,compromised_card,Negative,High
unauthorised charge,sinhala,"මගේ card එකේ මම කරපු නැති payment එකක් තියෙනවා. කවුරු හරි මගේ card එක permission නැතුව use කරලා, please දැන්ම block කරන්න.",card_payment_not_recognised,Negative,High,Negative,High,lost_or_stolen_card,Negative,High
unauthorised charge,singlish,"mage card eke mama karapu nathi payment ekak tiyenava. kavuru hari mage card eka permission nathuva use karala, please danma block karanna.",card_payment_not_recognised,Negative,High,Negative,High,lost_or_stolen_card,Negative,High
unauthorised charge,tamil,"என் அட்டையில் நான் செய்யாத ஒரு கட்டணம் உள்ளது. யாரோ என் அனுமதியின்றி என் அட்டையைப் பயன்படுத்தியுள்ளனர், தயவுசெய்து உடனே தடுக்கவும்.",card_payment_not_recognised,Negative,High,Negative,High,compromised_card,Negative,High
unauthorised charge,tamilish,"En card-la naan panna oru payment irukku. Yaaro en permission illama en card-ai use pannirukaanga, please udane block pannunga.",card_payment_not_recognised,Negative,High,Neutral,High,card_payment_not_recognised,Negative,High
lost card,english,I lost my card on the bus this morning and I am really worried someone will use it.,lost_or_stolen_card,Negative,High,Negative,High,lost_or_stolen_card,Negative,High
lost card,sinhala,"අද උදේ bus එකේදි මගේ card එක නැති වුනා, කවුරු හරි use කරයි කියලා මම හරිම කනස්සල්ලෙන් ඉන්නේ.",lost_or_stolen_card,Negative,High,Negative,High,lost_or_stolen_card,Negative,High
lost card,singlish,"ada ude bus ekedi mage card eka nathi vuna, kavuru hari use karayi kiyala mama harima kanassallen inne.",lost_or_stolen_card,Negative,High,Neutral,High,lost_or_stolen_card,Negative,High
lost card,tamil,"இன்று காலை பேருந்தில் என் அட்டையைத் தொலைத்துவிட்டேன், யாராவது அதைப் பயன்படுத்துவார்களோ என்று நான் மிகவும் கவலைப்படுகிறேன்.",lost_or_stolen_card,Negative,High,Negative,High,lost_or_stolen_phone,Negative,High
lost card,tamilish,"Indha kaalai bus-la en card-ai tholachiten, yaaravadhu adha use pannuvaangalo-nu naan romba kavalaipadren.",lost_or_stolen_card,Negative,High,Neutral,High,card_arrival,Negative,High
fee question,english,What exchange rate do you use when I pay in a foreign currency?,exchange_rate,Neutral,Low,Neutral,Low,wrong_exchange_rate_for_cash_withdrawal,Neutral,Low
fee question,sinhala,මම foreign currency එකකින් pay කරනකොට ඔයාලා use කරන්නේ මොන exchange rate එකද?,exchange_rate,Neutral,Low,Neutral,Low,wrong_exchange_rate_for_cash_withdrawal,Neutral,Low
fee question,singlish,mama foreign currency ekakin pay karanakota oyala use karanne mona exchange rate ekada?,exchange_rate,Neutral,Low,Neutral,Low,exchange_rate,Neutral,Low
fee question,tamil,நான் அன்னிய நாணயத்தில் பணம் செலுத்தும்போது நீங்கள் எந்த மாற்று விகிதத்தைப் பயன்படுத்துகிறீர்கள்?,exchange_rate,Neutral,Low,Neutral,Low,exchange_rate,Neutral,Low
fee question,tamilish,Naan foreign currency-la pay pannumbodhu neenga entha exchange rate use pandreenga?,exchange_rate,Neutral,Low,Neutral,Low,wrong_exchange_rate_for_cash_withdrawal,Neutral,Low
transfer not arrived,english,I sent money to my brother three days ago and it still has not reached him. This is unacceptable.,transfer_not_received_by_recipient,Negative,Medium,Neutral,Medium,transfer_not_received_by_recipient,Neutral,Medium
transfer not arrived,sinhala,"දවස් තුනකට කලින් මම මගේ මල්ලිට සල්ලි යැව්වා, තාම එයාට ලැබිලා නෑ. මේක කොහෙත්ම හරි නෑ.",transfer_not_received_by_recipient,Negative,Medium,Neutral,Medium,transfer_not_received_by_recipient,Neutral,Medium
transfer not arrived,singlish,"davas tunakata kalin mama mage mallita salli yavva, tama eyata labila na. meka kohetma hari na.",transfer_not_received_by_recipient,Negative,Medium,Neutral,Medium,transfer_not_received_by_recipient,Neutral,Medium
transfer not arrived,tamil,"மூன்று நாட்களுக்கு முன்பு என் தம்பிக்கு பணம் அனுப்பினேன், இன்னும் அவருக்குக் கிடைக்கவில்லை. இது ஏற்றுக்கொள்ள முடியாதது.",transfer_not_received_by_recipient,Negative,Medium,Neutral,Medium,transfer_not_received_by_recipient,Neutral,Medium
transfer not arrived,tamilish,"Moonu naalaikku munnadi en thambikku panam anuppinen, innum avanukku kidaikala. Idhu yethukka mudiyaathu.",transfer_not_received_by_recipient,Negative,Medium,Neutral,Medium,why_verify_identity,Neutral,Medium
top-up limit,english,Can you tell me the maximum amount I can top up in one day?,top_up_limits,Neutral,Low,Neutral,Low,top_up_limits,Neutral,Low
top-up limit,sinhala,එක දවසකට මට top up කරන්න පුළුවන් maximum amount එක කියන්න පුළුවන්ද?,top_up_limits,Neutral,Low,Neutral,Low,top_up_limits,Neutral,Low
top-up limit,singlish,eka davasakata mata top up karanna puluvan maximum amount eka kiyanna puluvanda?,top_up_limits,Neutral,Low,Neutral,Low,top_up_limits,Neutral,Low
top-up limit,tamil,ஒரு நாளில் நான் அதிகபட்சமாக எவ்வளவு டாப் அப் செய்ய முடியும் என்று சொல்ல முடியுமா?,top_up_limits,Neutral,Low,Neutral,Low,top_up_limits,Neutral,Low
top-up limit,tamilish,Oru naal-la naan adhigabatcham evvalavu top up panna mudiyum-nu solla mudiyuma?,top_up_limits,Neutral,Low,Neutral,Low,top_up_limits,Neutral,Low
app keeps failing,english,"Your app has declined my payment four times today. I am tired of this, fix it.",declined_card_payment,Negative,Medium,Negative,Medium,declined_card_payment,Negative,Medium
app keeps failing,sinhala,"අද දවසේ ඔයාලගේ app එකෙන් මගේ payment එක හතර පාරක් decline කරලා. මම මේකට කම්මැලි වෙලා, හදන්න.",declined_card_payment,Negative,Medium,Negative,Medium,transaction_charged_twice,Negative,Medium
