file,line,category,old_text,new_text
original dataset/test.csv,131,card_payment_wrong_exchange_rate,My exchange went wrong. I swapped Russian Ruble for UK pounds and was charged too much.,My exchange went wrong. I swapped LKR for USD and was charged too much.
original dataset/test.csv,150,card_payment_wrong_exchange_rate,I'm pretty sure something went wrong with my exchange. I changed Russian Ruble to UK pounds and was charged way too much!,I'm pretty sure something went wrong with my exchange. I changed LKR to USD and was charged way too much!
original dataset/test.csv,162,extra_charge_on_statement,My statement has a dollar I have been charged showing up on it.,My statement has Rs 10 I have been charged showing up on it.
original dataset/test.csv,163,extra_charge_on_statement,Why is there a fee for an extra pound in my statement?,Why is there a fee for an extra Rs 10 in my statement?
original dataset/test.csv,165,extra_charge_on_statement,Why is there an extra dollar charged to my account?,Why is there an extra Rs 10 charged to my account?
original dataset/test.csv,167,extra_charge_on_statement,I would like a refund on the extra pound I was charged.,I would like a refund on the extra Rs 10 I was charged.
original dataset/test.csv,168,extra_charge_on_statement,Can you explain what this random $1 charge is?,Can you explain what this random Rs 10 charge is?
original dataset/test.csv,169,extra_charge_on_statement,What is this $1 charge on my statement?,What is this Rs 10 charge on my statement?
original dataset/test.csv,171,extra_charge_on_statement,"I do not remember purchasing anything for 1£, and it is on my statement. Can you please tell me what that is about?","I do not remember purchasing anything for Rs 10, and it is on my statement. Can you please tell me what that is about?"
original dataset/test.csv,172,extra_charge_on_statement,I can see an extra 1£ charge on my app. Why did you charge me extra?,I can see an extra Rs 10 charge on my app. Why did you charge me extra?
original dataset/test.csv,173,extra_charge_on_statement,Can you tell me why I noticed a $1 charge on my statement?,Can you tell me why I noticed a Rs 10 charge on my statement?
original dataset/test.csv,174,extra_charge_on_statement,When will the $1 transaction be credited to me?,When will the Rs 10 transaction be credited to me?
original dataset/test.csv,176,extra_charge_on_statement,"I noticed an extra $1 charge on my statement, can you tell me why that is?","I noticed an extra Rs 10 charge on my statement, can you tell me why that is?"
original dataset/test.csv,177,extra_charge_on_statement,There is an extra $1 charge,There is an extra Rs 10 charge
original dataset/test.csv,179,extra_charge_on_statement,Why is there an extra 1 pound charge on my card?,Why is there an extra 1 Rs 10 charge on my card?
original dataset/test.csv,182,extra_charge_on_statement,Where did this 1 euro fee come from?,Where did this Rs 10 fee come from?
original dataset/test.csv,184,extra_charge_on_statement,I have a 1 euro fee on my statement.,I have a Rs 10 fee on my statement.
original dataset/test.csv,185,extra_charge_on_statement,Why was I overcharged a pound!?,Why was I overcharged Rs 10!?
original dataset/test.csv,186,extra_charge_on_statement,"Something went wrong, I was charged an extra pound?","Something went wrong, I was charged an extra Rs 10?"
original dataset/test.csv,192,extra_charge_on_statement,For some reason my account's been charged an extra dollar.,For some reason my account's been charged an extra Rs 10.
original dataset/test.csv,193,extra_charge_on_statement,There is a transaction for $1 and I don't know why it was charged.,There is a transaction for Rs 10 and I don't know why it was charged.
original dataset/test.csv,194,extra_charge_on_statement,"Can you help me with a weird charge?  It's a pound charge that never goes away from the statement view on the app I'm using.  It's not described as anything but ""Pending"", and that status has never changed during the last two days.","Can you help me with a weird charge?  It's a Rs 10 charge that never goes away from the statement view on the app I'm using.  It's not described as anything but ""Pending"", and that status has never changed during the last two days."
original dataset/test.csv,196,extra_charge_on_statement,"$1 extra has been charged on my statement, why is that?","Rs 10 extra has been charged on my statement, why is that?"
original dataset/test.csv,198,extra_charge_on_statement,"It's been two weeks, why has the transaction for $1.00 not been reversed?","It's been two weeks, why has the transaction for Rs 10 not been reversed?"
original dataset/test.csv,200,extra_charge_on_statement,I'm quite confused as to what is going on. There is some odd extra pound charge on my statement in the app that's just listed as pending and doesn't go away since a couple days.,I'm quite confused as to what is going on. There is some odd extra Rs 10 charge on my statement in the app that's just listed as pending and doesn't go away since a couple days.
original dataset/test.csv,405,exchange_via_app,How do I change GBP to AUD?,How do I change LKR to USD?
original dataset/test.csv,411,exchange_via_app,How do I interconvert between AUD and GBP?,How do I interconvert between USD and LKR?
original dataset/test.csv,413,exchange_via_app,What is the best way to exchange currency between USD and GBP using your app?,What is the best way to exchange currency between USD and LKR using your app?
original dataset/test.csv,414,exchange_via_app,If I wanted to make a change from GBP to AUD what is the process?,If I wanted to make a change from LKR to USD what is the process?
original dataset/test.csv,417,exchange_via_app,How do I exchange my GBP to AUD?,How do I exchange my LKR to USD?
original dataset/test.csv,421,exchange_via_app,"I need AUD not GBP, how do I change it?","I need USD not LKR, how do I change it?"
original dataset/test.csv,423,exchange_via_app,If I need GBP instead of AUD what do I do?,If I need LKR instead of USD what do I do?
original dataset/test.csv,425,exchange_via_app,"I might need AUD instead of GBP, how to change?","I might need USD instead of LKR, how to change?"
original dataset/test.csv,429,exchange_via_app,Where do I go to change GBP?,Where do I go to change LKR?
original dataset/test.csv,434,exchange_via_app,Can I exchange between GBP and USD on the app?,Can I exchange between LKR and USD on the app?
original dataset/test.csv,437,exchange_via_app,"I think I want AUD and not GBP, can you help?","I think I want USD and not LKR, can you help?"
original dataset/test.csv,439,exchange_via_app,Can I use this app to change dollars into euros?,Can I use this app to change USD into euros?
original dataset/test.csv,762,wrong_amount_of_cash_received,"I don't know if this is an issue with the ATM or my account, but I just tried withdrawing 30 pounds from the ATM I'm at now and it only gave me 10. Is this a glitch or what exactly is going on?","I don't know if this is an issue with the ATM or my account, but I just tried withdrawing Rs 30,000 from the ATM I'm at now and it only gave me Rs 10,000. Is this a glitch or what exactly is going on?"
original dataset/test.csv,768,wrong_amount_of_cash_received,I'm at an ATM and withdrew 30 pounds and was only given 10. What should I do?,"I'm at an ATM and withdrew Rs 30,000 and was only given Rs 10,000. What should I do?"
original dataset/test.csv,778,wrong_amount_of_cash_received,Why did I only get $20 when I tried to get $100,"Why did I only get Rs 20,000 when I tried to get Rs 100,000"
original dataset/test.csv,781,wrong_amount_of_cash_received,I tried to get $100 but I just got $20,"I tried to get Rs 100,000 but I just got Rs 20,000"
original dataset/test.csv,783,wrong_amount_of_cash_received,I asked for $100 cash but only got $20?,"I asked for Rs 100,000 cash but only got Rs 20,000?"
original dataset/test.csv,788,wrong_amount_of_cash_received,I asked for 100 but only got 20.,"I asked for Rs 100,000 but only got Rs 20,000."
original dataset/test.csv,792,wrong_amount_of_cash_received,What do I do if the ATM didn't give me the correct amount I withdrew? I pulled out 30 pounds and the ATM gave me 10 pounds.,"What do I do if the ATM didn't give me the correct amount I withdrew? I pulled out Rs 30,000 and the ATM gave me Rs 10,000."
original dataset/test.csv,795,wrong_amount_of_cash_received,I just got $20 when I tried to get $100,"I just got Rs 20,000 when I tried to get Rs 100,000"
original dataset/test.csv,2042,transfer_timing,What is the number of days I have to wait for my Europe transfer?,What is the number of days I have to wait for my overseas transfer?
original dataset/test.csv,2048,transfer_timing,Do transfers from Europe take longer?,Do transfers from overseas take longer?
original dataset/test.csv,2051,transfer_timing,"If I started the Bank transfer from Europe, how long will the process take to complete?","If I started the Bank transfer from overseas, how long will the process take to complete?"
original dataset/test.csv,2060,transfer_timing,How long is my Europe transfer wait?,How long is my overseas transfer wait?
original dataset/test.csv,2069,transfer_timing,"I initiated a Bank transfer form Europe, how long will this take?","I initiated a Bank transfer form overseas, how long will this take?"
original dataset/test.csv,2070,transfer_timing,How long does it take to process transfers from Europe?,How long does it take to process transfers from overseas?
original dataset/test.csv,2078,transfer_timing,If my transfer is from Europe how long will it take?,If my transfer is from overseas how long will it take?
original dataset/test.csv,2247,receiving_money,Is there a problem with receiving my salary in GBP?,Is there a problem with receiving my salary in LKR?
original dataset/test.csv,2248,receiving_money,Do I need to choose GBP to get my salary deposited properly?,Do I need to choose LKR to get my salary deposited properly?
original dataset/test.csv,2249,receiving_money,"I get paid in GBP. Should I configure this and if so, where?","I get paid in LKR. Should I configure this and if so, where?"
original dataset/test.csv,2252,receiving_money,My salary is received in the form of GBP. Do I need to do anything specific to configure this?,My salary is received in the form of LKR. Do I need to do anything specific to configure this?
original dataset/test.csv,2254,receiving_money,Is GBP a supported currency?,Is LKR a supported currency?
original dataset/test.csv,2255,receiving_money,Do I need to establish I am paid in GBP before a transfer?,Do I need to establish I am paid in LKR before a transfer?
original dataset/test.csv,2256,receiving_money,"Salary in GBP has been received, does it need to be configured elsewhere?","Salary in LKR has been received, does it need to be configured elsewhere?"
original dataset/test.csv,2264,receiving_money,Is it possible to deposit money in GBP?,Is it possible to deposit money in LKR?
original dataset/test.csv,2265,receiving_money,I received my salary in GBP. How do I change this to my currency?,I received my salary in LKR. How do I change this to my currency?
original dataset/test.csv,2273,receiving_money,I receive my salary in GBP. Do I need to configure this somehwere?,I receive my salary in LKR. Do I need to configure this somehwere?
original dataset/test.csv,2279,receiving_money,My salary is in GBP; how can I note this in the app?,My salary is in LKR; how can I note this in the app?
original dataset/test.csv,2577,wrong_exchange_rate_for_cash_withdrawal,Will there be additional costs of I make a withdrawal from a local ATM of British pounds? I need some cash to feel comfortable on the journey home,Will there be additional costs of I make a withdrawal from a local ATM of US dollars? I need some cash to feel comfortable on the journey home
original dataset/test.csv,2601,wrong_exchange_rate_for_cash_withdrawal,"Is there a local ATM that will provide British pounds, I have no money for my homeward journey and do not feel comfortable waiting until  I arrive in Britain. Will a withdrawal involve extra charges?","Is there a local ATM that will provide US dollars, I have no money for my homeward journey and do not feel comfortable waiting until  I arrive in Sri Lanka. Will a withdrawal involve extra charges?"
original dataset/test.csv,2682,balance_not_updated_after_bank_transfer,I made a transfer a few hours ago from a UK banking account.  I do not yet see the transfer.  Please check on this for me.,I made a transfer a few hours ago from a local bank account.  I do not yet see the transfer.  Please check on this for me.
original dataset/test.csv,2688,balance_not_updated_after_bank_transfer,The amount of time that transfers usually take from a UK account is what?I just completed a transfer and it is not showing up at all. I'm wondering at this point if everything is actually okay.,The amount of time that transfers usually take from a local bank account is what?I just completed a transfer and it is not showing up at all. I'm wondering at this point if everything is actually okay.
original dataset/test.csv,2693,balance_not_updated_after_bank_transfer,How long does a UK transfer take?,How long does a local bank transfer take?
original dataset/test.csv,2694,balance_not_updated_after_bank_transfer,Hello I made a bank transfer couple hours ago from my UK account but it doesn't show up yet. Can you please check if everything is alright with it?,Hello I made a bank transfer couple hours ago from my local bank account but it doesn't show up yet. Can you please check if everything is alright with it?
original dataset/test.csv,2698,balance_not_updated_after_bank_transfer,"Could you please check one of my transfer which i made few hours ago from my UK bank account, as its not showing yet.","Could you please check one of my transfer which i made few hours ago from my local bank account, as its not showing yet."
original dataset/test.csv,2712,balance_not_updated_after_bank_transfer,"I made a bank transfer a couple of hours ago from my UK account.  It hasn't appeared, can you check to make sure it went through?","I made a bank transfer a couple of hours ago from my local bank account.  It hasn't appeared, can you check to make sure it went through?"
original dataset/test.csv,2714,balance_not_updated_after_bank_transfer,"Hey, I try to make a bank transfer from my UK account a few hours ago, but it haven't show up yet. Please check my account to make sure everything alright with it?","Hey, I try to make a bank transfer from my local bank account a few hours ago, but it haven't show up yet. Please check my account to make sure everything alright with it?"
original dataset/test.csv,2718,balance_not_updated_after_bank_transfer,I need to know the time frame that is typical for a transfer from a UK account. I just made a transfer and it doesn't appear. I want to make sure everything is okay.,I need to know the time frame that is typical for a transfer from a local bank account. I just made a transfer and it doesn't appear. I want to make sure everything is okay.
original dataset/test.csv,2744,cash_withdrawal_not_recognised,There is an unauthorized cash withdrawal from my account for 500£.  I definitely didn't make this withdrawal.  I need your help.,"There is an unauthorized cash withdrawal from my account for Rs 500,000.  I definitely didn't make this withdrawal.  I need your help."
original dataset/test.csv,2756,cash_withdrawal_not_recognised,"Someone has stolen my card. Even though I have my card with me, someone just made a 500£ cash withdrawal. Please help as soon as possible.","Someone has stolen my card. Even though I have my card with me, someone just made a Rs 500,000 cash withdrawal. Please help as soon as possible."
original dataset/test.csv,2802,top_up_by_card_charge,Is there a fee for using a European bank card to top up?,Is there a fee for using a foreign bank card to top up?
original dataset/test.csv,2810,top_up_by_card_charge,Is there an additional charge for topping up using a European card?,Is there an additional charge for topping up using a foreign card?
original dataset/test.csv,2814,top_up_by_card_charge,Are there any fees if I use a European bank card for a top up?,Are there any fees if I use a foreign bank card for a top up?
original dataset/test.csv,2819,top_up_by_card_charge,"If I use a European bank card for top up, Do I get charged?","If I use a foreign bank card for top up, Do I get charged?"
original dataset/test.csv,2820,top_up_by_card_charge,Will there be any extra fees for European bank card for top up?,Will there be any extra fees for foreign bank card for top up?
original dataset/test.csv,2821,top_up_by_card_charge,Will I be charged if I use European bank card for top up?,Will I be charged if I use foreign bank card for top up?
original dataset/test.csv,2822,top_up_by_card_charge,I want to use a European bank card for a top up. Must I pay?,I want to use a foreign bank card for a top up. Must I pay?
original dataset/test.csv,2830,top_up_by_card_charge,"I need to use a European card for a top up, what will the charge be?","I need to use a foreign card for a top up, what will the charge be?"
original dataset/test.csv,2835,top_up_by_card_charge,Is there a charge or discount if I use a European bank in a top up?,Is there a charge or discount if I use a foreign bank in a top up?
original dataset/test.csv,3043,country_support,Are your cards available in Europe?,Are your cards available in Sri Lanka?
original dataset/test.csv,3047,country_support,Can I get a card outside the UK?,Can I get a card outside Sri Lanka?
original dataset/test.csv,3048,country_support,"I'm not in the UK, can I still get a card?","I'm not in Sri Lanka, can I still get a card?"
original dataset/test.csv,3049,country_support,"I'm not in the UK, is it possible for me to still get a card?","I'm not in Sri Lanka, is it possible for me to still get a card?"
original dataset/test.csv,3052,country_support,Can I get a card despite the fact I'm not in the UK?,Can I get a card despite the fact I'm not in Sri Lanka?
original dataset/test.csv,3057,country_support,Is it possible to get a card if I'm not in the UK?,Is it possible to get a card if I'm not in Sri Lanka?
original dataset/test.csv,3061,country_support,Can I get a card even if I live outside the UK?,Can I get a card even if I live outside Sri Lanka?
original dataset/test.csv,3063,country_support,"I would like to receive and use the card in Europe, is that possible?","I would like to receive and use the card in Sri Lanka, is that possible?"
original dataset/test.csv,3072,country_support,I don't live in the UK.  Can I still get a card?,I don't live in Sri Lanka.  Can I still get a card?
original dataset/test.csv,3076,country_support,"I'm not in the UK, can I get a card?","I'm not in Sri Lanka, can I get a card?"
original dataset/test.csv,3077,country_support,"If i'm not in the UK, can I still get a card?","If i'm not in Sri Lanka, can I still get a card?"
original dataset/test.csv,3081,country_support,Can the card be mailed and used in Europe?,Can the card be mailed and used in Sri Lanka?
original dataset/train.csv,411,card_payment_wrong_exchange_rate,I think something went wrong with my exchange between Russian Ruble and UK pounds. I was overcharged during the swap.,I think something went wrong with my exchange between LKR and USD. I was overcharged during the swap.
original dataset/train.csv,457,card_payment_wrong_exchange_rate,I question today's exchange rate for rubles into pounds. I was hoping for a better return.,I question today's exchange rate for LKR into USD. I was hoping for a better return.
original dataset/train.csv,472,card_payment_wrong_exchange_rate,The fee charged when I changed rubles into British pounds was too much.,The fee charged when I changed LKR into USD was too much.
original dataset/train.csv,479,card_payment_wrong_exchange_rate,It seems that something went wrong with my exchange. I changed Russian Ruble into UK pounds but have been charged entirely too much!,It seems that something went wrong with my exchange. I changed LKR into USD but have been charged entirely too much!
original dataset/train.csv,486,card_payment_wrong_exchange_rate,I exchanged Russian rubles for British pounds today and got less than I expected. Was exchange rate correct?,I exchanged LKR for USD today and got less than I expected. Was exchange rate correct?
original dataset/train.csv,489,card_payment_wrong_exchange_rate,My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?,My client was converting their LKR into USD when they noticed their bill was much too high for the exchange. What happened?
original dataset/train.csv,490,card_payment_wrong_exchange_rate,I have been overcharged. I just changed over Russian Ruble to UK pounds and it was too much. It seems something was wrong with my exchange.,I have been overcharged. I just changed over LKR to USD and it was too much. It seems something was wrong with my exchange.
original dataset/train.csv,491,card_payment_wrong_exchange_rate,What is your exchange rate between UK pounds and Russian rubles for my last transaction,What is your exchange rate between USD and LKR for my last transaction
original dataset/train.csv,495,card_payment_wrong_exchange_rate,My exchange seems to have something wrong with it. I changed over Russian Ruble to UK pounds and it appears I was charged way more than I was supposed to be.,My exchange seems to have something wrong with it. I changed over LKR to USD and it appears I was charged way more than I was supposed to be.
original dataset/train.csv,501,card_payment_wrong_exchange_rate,I have been charged way to much so something is apparently wrong with my exchange. I changed Russian Ruble into UK pounds.,I have been charged way to much so something is apparently wrong with my exchange. I changed LKR into USD.
original dataset/train.csv,505,card_payment_wrong_exchange_rate,Why was I charged extra on my last UK pound to Russian ruble exchange?,Why was I charged extra on my last USD to LKR exchange?
original dataset/train.csv,565,card_payment_wrong_exchange_rate,"I'm going on a trip soon and I needed to convert my Russian ruble to UK pounds, but when I did, your company charged me above the exchange rate. Did you mess up my transaction?","I'm going on a trip soon and I needed to convert my LKR to USD, but when I did, your company charged me above the exchange rate. Did you mess up my transaction?"
original dataset/train.csv,574,extra_charge_on_statement,Why did they charge me an extra $1?,Why did they charge me an extra Rs 10?
original dataset/train.csv,575,extra_charge_on_statement,Why is there a 1 euro fee on my statement?,Why is there a Rs 10 fee on my statement?
original dataset/train.csv,576,extra_charge_on_statement,Why do I see an extra £1 charge on my statement?,Why do I see an extra Rs 10 charge on my statement?
original dataset/train.csv,577,extra_charge_on_statement,I am inquiring about a $1 charge on my statement.,I am inquiring about a Rs 10 charge on my statement.
original dataset/train.csv,578,extra_charge_on_statement,What is the $1 transaction on my account?,What is the Rs 10 transaction on my account?
original dataset/train.csv,579,extra_charge_on_statement,What is this extra pound charge for?,What is this extra Rs 10 charge for?
original dataset/train.csv,580,extra_charge_on_statement,I was charged $1 in a transaction.,I was charged Rs 10 in a transaction.
original dataset/train.csv,582,extra_charge_on_statement,There is a pending 1£ charge on my statement.  I haven't purchased anything for 1£.  Why is it on my statement?,There is a pending Rs 10 charge on my statement.  I haven't purchased anything for Rs 10.  Why is it on my statement?
original dataset/train.csv,584,extra_charge_on_statement,"I have a strange transaction for £1 on my statement, what is that?","I have a strange transaction for Rs 10 on my statement, what is that?"
original dataset/train.csv,585,extra_charge_on_statement,I have no idea why there is a dollar that has been charged to my account.,I have no idea why there is Rs 10 that has been charged to my account.
original dataset/train.csv,586,extra_charge_on_statement,I have been charged a pound for something that appears on my statement,I have been charged Rs 10 for something that appears on my statement
original dataset/train.csv,587,extra_charge_on_statement,Why is there a $1 charge on my statement?,Why is there a Rs 10 charge on my statement?
original dataset/train.csv,589,extra_charge_on_statement,Is there a reason why there is an extra £1 charge on my account?,Is there a reason why there is an extra Rs 10 charge on my account?
original dataset/train.csv,592,extra_charge_on_statement,There has been a charge pending on my account statement that I can't figue out it's for a dollar.,There has been a charge pending on my account statement that I can't figue out it's for Rs 10.
original dataset/train.csv,596,extra_charge_on_statement,I see a $1 charge in a transaction.,I see a Rs 10 charge in a transaction.
original dataset/train.csv,597,extra_charge_on_statement,I had to pay a pound more than I anticipated!,I had to pay a Rs 10 more than I anticipated!
original dataset/train.csv,599,extra_charge_on_statement,My statement contained a one pound extra fee,My statement contained a Rs 10 extra fee
original dataset/train.csv,600,extra_charge_on_statement,I checked my account today and saw that I was charged an extra pound that I did not spend.,I checked my account today and saw that I was charged an extra Rs 10 that I did not spend.
original dataset/train.csv,602,extra_charge_on_statement,I see I was charged $1 for a transaction.,I see I was charged Rs 10 for a transaction.
original dataset/train.csv,603,extra_charge_on_statement,$1 charge in transaction.,Rs 10 charge in transaction.
original dataset/train.csv,605,extra_charge_on_statement,Why is there an extra pound charge that is pending?,Why is there an extra Rs 10 charge that is pending?
original dataset/train.csv,606,extra_charge_on_statement,I was wrongfully charged one pound.,I was wrongfully charged Rs 10.
original dataset/train.csv,608,extra_charge_on_statement,"I just checked my statement and saw a $1 charge, why is it there?","I just checked my statement and saw a Rs 10 charge, why is it there?"
original dataset/train.csv,609,extra_charge_on_statement,There is an odd 1£ charge that appears as pending on my statement. What's the reason for that? I haven't purchased anything for a pound.,There is an odd Rs 10 charge that appears as pending on my statement. What's the reason for that? I haven't purchased anything for Rs 10.
original dataset/train.csv,610,extra_charge_on_statement,Why have I been charged an extra pound?,Why have I been charged an extra Rs 10?
original dataset/train.csv,611,extra_charge_on_statement,I think I may have been charged $1 extra on my app.  Could you provide some insight as to why this may have happened?,I think I may have been charged Rs 10 extra on my app.  Could you provide some insight as to why this may have happened?
original dataset/train.csv,613,extra_charge_on_statement,Is the 1 pound charge I can see an error or an incorrect entry?,Is the 1 Rs 10 charge I can see an error or an incorrect entry?
