class,name,population,count,rate,representative,root_cause,recommendation
L1a,language_detect_error,"15395 held-out rows, 5 languages",2550,"tamilish=25.6% [24.1%,27.2%]","tamilish: {'english': 2284, 'singlish': 6}","Keyword lists use different transliteration variants than the corpus. Dead tokens: epdi, venum, aayiduchu. Absent high-signal tokens: enoda, naan, enakku, mudiyuma.",Replace the hand-written token lists with forms measured against the corpus; each candidate above fires on >2% of its track and 0.00% of English.
X1,guardrail_bypass,18 adversarial probes,15,83.3% bypass,"base64_payload, character_spacing, fake_system_turn, fullwidth_unicode, leetspeak",Substring matching on raw text. Normalizing before the check would close only 1 of 15 misses (fullwidth_unicode); the rest need a semantic or model-based check.,"Treat validate_grounding as the real backstop. Scan ticket_context as well as original_query, and normalize before matching -- but do not expect normalization alone to move the detection rate materially."
X2,guardrail_false_positive,15395 real banking tickets,0,0.000%,none observed in any language,"Rules are long literal phrases, so they almost never fire by accident.",There is measured headroom to make the injection filter stricter: its current false-positive cost on real traffic is zero.
SAFETY-EQ,safety_coverage_language_gap,3079 paired tickets x 5 languages,109,english=100.0% sinhala=3.5% tamil=2.6% singlish=3.5% tamilish=3.5%,113 tickets escalate in English; 4 of the same escalate in Sinhala,"safety.py holds 5 English phrases + 1 Sinhala + 1 Tamil for private_account_data and 11 English + 1 + 1 for financial_action. Code-mixed text keeps English nouns ('statement') but localizes the possessive, so two-word English phrases like 'my statement' never match.","Match on single high-signal nouns plus per-language possessives, and measure coverage on the paired corpus so parity is enforced, not assumed."
G2,citation_error,6 structural cases,2,1 false accept / 1 false reject,"cites_unranked_neighbour_chunk, bulleted_answer_with_uncited_heading","Neighbour chunks are appended to the same [E1..En] numbering that citations_are_valid range-checks, so citing unranked context passes. Separately, a heading is only exempt if it ends with ':', so a bolded heading is treated as an uncited factual block.","Number only ranked evidence in the prompt, or mark neighbours so a citation to one is rejected. Widen the heading heuristic."
CONF-GATE,confidence_falsy_chain,5 synthetic score vectors,5,gap of 0.2697 from a 0.001 change,dense_zero_falls_through_to_lexical,"`top.dense_score or top.lexical_score or top.fused_score * 30` is falsy chaining, so a genuine 0.0 dense score is replaced by the lexical score. authority+coherence also contribute 0.25 unconditionally for any single approved chunk.","Use explicit None checks rather than `or`, and keep relevance and provenance as separate signals instead of summing them into one gate."
CHUNK,chunking_boundary_risk,5 documents / 31 chunks,9,"median 370 chars, max 3165",max chunk 3165 chars exceeds the 1800 setting,"Splitting only happens at paragraph boundaries, so a single paragraph longer than max_chars is emitted whole. Overlap is zero, so a fact split across a boundary can only be retrieved in halves.",Add sentence-level splitting for oversized paragraphs and a small overlap; re-measure recall before and after on the frozen probe set.
R1,retrieval_miss,"165 probes (baseline, split=dev)",5,3.0%,No labelled relevant source appears in the retrieved evidence.,See findings.md,See findings.md
R2,irrelevant_chunk,not_measured,not_measured,not_measured,Judge scored answer relevance below 0.5 despite evidence.,not_measured,Judge produced 0 grades over 1 drafted answers; see findings.md 7.
R3,neighbour_only_support,"165 probes (baseline, split=dev)",0,0.0%,Gold source present only via is_neighbor expansion.,See findings.md,See findings.md
C1,gate_suppressed_relevant_evidence,"165 probes (baseline, split=dev)",81,49.1%,Retrieval ranked a relevant source but the confidence gate discarded all evidence.,See findings.md,See findings.md
G1,unsupported_generation,not_measured,not_measured,not_measured,Judge faithfulness below 0.5: claims not entailed.,not_measured,Judge produced 0 grades over 1 drafted answers; see findings.md 7.
G2,citation_error,"165 probes (baseline, split=dev)",0,0.0%,"Answer cites a neighbour chunk, or citation validation failed.",See findings.md,See findings.md
G3,false_escalation,"165 probes (baseline, split=dev)",89,53.9%,Answerable probe was refused.,See findings.md,See findings.md
G4,missed_escalation,"165 probes (baseline, split=dev)",0,0.0%,Unanswerable probe produced a cited answer.,See findings.md,See findings.md
L1b,output_language_mismatch,not_measured,not_measured,not_measured,Answer language differs from the required language.,not_measured,Only 1 answers were drafted; too few to measure.
S1,provider_failure,"165 probes (baseline, split=dev)",0,0.0%,Generation provider unavailable after retries.,See findings.md,See findings.md
S2,silent_lexical_degradation,"165 probes (baseline, split=dev)",4,2.4%,Dense embedding failed; retrieval silently lexical-only.,See findings.md,See findings.md
S3,timeout,"165 probes (baseline, split=dev)",5,3.0%,A stage exceeded the configured request timeout.,See findings.md,See findings.md
P1,latency_spike,"165 probes (baseline, split=dev)",9,5.5%,End-to-end latency above the run's p95.,See findings.md,See findings.md
