text,category,sentiment,priority,tamil,tanglish,translation_status,model
I am still waiting on my card?,card_arrival,Neutral,Low,நான் எனது அட்டையை எதிர்நோக்கிக் கொண்டிருக்கிறேன்.,Naan enoda card wait pannitu irukuren.,completed,gemini-3.5-flash
What can I do if my card still hasn't arrived after 2 weeks?,card_arrival,Neutral,Low,2 வாரங்கள் ஆகியும் எனது அட்டை இன்னும் வரவில்லை என்றால் நான் என்ன செய்ய வேண்டும்?,2 weeks aagiyum enoda card innum varala endal naan enna seiya vendum?,completed,gemini-3.5-flash
I have been waiting over a week. Is the card still coming?,card_arrival,Neutral,Low,நான் ஒரு வாரத்திற்கு மேலாகக் காத்திருக்கிறேன். அட்டை இன்னும் வந்து கொண்டிருக்கிறதா?,Naan oru vaarathuku mela kaathirukiren. Card innum varutha?,completed,gemini-3.5-flash
Can I track my card while it is in the process of delivery?,card_arrival,Neutral,Low,எனது அட்டை விநியோகிக்கப்படும் போது அதை நான் கண்காணிக்க முடியுமா?,Enoda card delivery aagum pothu atha track panna mudiyuma?,completed,gemini-3.5-flash
"How do I know if I will get my card, or if it is lost?",card_arrival,Neutral,Low,எனது அட்டை எனக்குக் கிடைக்குமா அல்லது அது தொலைந்துவிட்டதா என்பதை நான் எவ்வாறு அறிவது?,Enoda card enaku kidaikuma illa athu tholanjitatha nu naan eppadi therinjikurathu?,completed,gemini-3.5-flash
When did you send me my new card?,card_arrival,Neutral,Low,எனது புதிய அட்டையை எனக்கு எப்போது அனுப்பினீர்கள்?,Enoda puthiya card-ai eppo anupineenga?,completed,gemini-3.5-flash
Do you have info about the card on delivery?,card_arrival,Neutral,Low,விநியோகிக்கப்படும் அட்டை பற்றிய விபரங்கள் உங்களிடம் உள்ளதா?,Delivery aagura card pathina details ungalita iruka?,completed,gemini-3.5-flash
What do I do if I still have not received my new card?,card_arrival,Neutral,Low,எனது புதிய அட்டை இன்னும் எனக்குக் கிடைக்கவில்லை என்றால் நான் என்ன செய்ய வேண்டும்?,Enoda puthiya card innum enaku kidaikala endal naan enna seiyurathu?,completed,gemini-3.5-flash
Does the package with my card have tracking?,card_arrival,Neutral,Low,எனது அட்டை உள்ள பார்சலுக்கு கண்காணிப்பு வசதி இருக்கிறதா?,Enoda card irukira package-ku tracking iruka?,completed,gemini-3.5-flash
I ordered my card but it still isn't here,card_arrival,Neutral,Low,"நான் எனது அட்டையை ஓடர் செய்தேன், ஆனால் அது இன்னும் வரவில்லை.","Naan enoda card order pannen, aana athu innum varala.",completed,gemini-3.5-flash
Why has my new card still not come?,card_arrival,Neutral,Low,எனது புதிய அட்டை ஏன் இன்னும் வரவில்லை?,Enoda puthiya card yen innum varala?,completed,gemini-3.5-flash
"I still haven't received my card after two weeks, is it lost?",card_arrival,Neutral,Low,"இரண்டு வாரங்கள் ஆகியும் எனது அட்டை இன்னும் எனக்குக் கிடைக்கவில்லை, அது தொலைந்துவிட்டதா?","Rendu vaaram aagiyum enoda card innum kidaikala, athu tholanjitatha?",completed,gemini-3.5-flash
Can you track my card for me?,card_arrival,Neutral,Low,எனது அட்டையை எனக்காகக் கண்காணித்துத் தர முடியுமா?,Enoda card-ai enakaaga track panni thara mudiyuma?,completed,gemini-3.5-flash
Is there a way to track the delivery of my card?,card_arrival,Neutral,Low,எனது அட்டையின் விநியோகத்தைக் கண்காணிப்பதற்கு ஏதேனும் வழி இருக்கிறதா?,Enoda card delivery-ai track panna ethavathu vazhi iruka?,completed,gemini-3.5-flash
It's been a week since I ordered my card and it's not here. Please help?,card_arrival,Neutral,Low,"நான் எனது அட்டையை ஓடர் செய்து ஒரு வாரம் ஆகிறது, ஆனால் அது இன்னும் வரவில்லை. தயவுசெய்து உதவுங்கள்?","Naan card order panni oru vaaram aachu, aana innum varala. Dayavu seithu help pannunga?",completed,gemini-3.5-flash
Will I be able to track the card that was sent to me?,card_arrival,Positive,Low,எனக்கு அனுப்பப்பட்ட அட்டையை என்னால் கண்காணிக்க முடியுமா?,Enaku anupapatta card-ai ennala track panna mudiyuma?,completed,gemini-3.5-flash
I don't have my card in 1 week.  Should I be worried?,card_arrival,Neutral,Low,ஒரு வாரமாகியும் எனது அட்டை எனக்குக் கிடைக்கவில்லை. நான் கவலைப்பட வேண்டுமா?,Oru vaaramaagiyum enoda card kidaikala. Naan kavalai pada venduma?,completed,gemini-3.5-flash
How do I know when my new card is going to arrive?,card_arrival,Neutral,Low,எனது புதிய அட்டை எப்போது வரும் என்பதை நான் எவ்வாறு அறிவது?,Enoda puthiya card eppo varum nu naan eppadi therinjikurathu?,completed,gemini-3.5-flash
My new card has not been delivered to my home yet. What is going on?,card_arrival,Neutral,Low,எனது புதிய அட்டை இன்னும் எனது வீட்டிற்கு விநியோகிக்கப்படவில்லை. என்ன நடக்கிறது?,Enoda puthiya card innum enoda veetuku delivery aagala. Enna nadakuthu?,completed,gemini-3.5-flash
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,Neutral,Low,"நீங்கள் எனக்கு அட்டையை வழங்கி ஒரு வாரம் ஆகிறது, ஆனால் அது இன்னும் எனக்குக் கிடைக்கவில்லை. நான் தொடர்ந்து காத்திருக்க வேண்டுமா?","Neenga enaku card issue panni oru vaaram aachu, aana innum kidaikala. Naan thodarnthu wait panna venduma?",completed,gemini-3.5-flash
"On the card that is coming, what's the tracking info?",card_arrival,Neutral,Low,வந்து கொண்டிருக்கும் அட்டையின் கண்காணிப்பு விபரம் என்ன?,Vanthutu irukira card-oda tracking details enna?,completed,gemini-3.5-flash
What is the status of my card's delivery?,card_arrival,Neutral,Low,எனது அட்டையின் விநியோக நிலை என்ன?,Enoda card delivery status enna?,completed,gemini-3.5-flash
Have you sent out my card yet?,card_arrival,Neutral,Low,எனது அட்டையை ஏற்கனவே அனுப்பிவிட்டீர்களா?,Enoda card-ai anupitingala?,completed,gemini-3.5-flash
My card isn't here yet.,card_arrival,Neutral,Low,எனது அட்டை இன்னும் வரவில்லை.,Enoda card innum varala.,completed,gemini-3.5-flash
where is my new card?,card_arrival,Neutral,Low,எனது புதிய அட்டை எங்கே?,Enoda puthiya card enga?,completed,gemini-3.5-flash
It's been a week since you sent my card and I still don't have it.,card_arrival,Neutral,Low,"நீங்கள் எனது அட்டையை அனுப்பி ஒரு வாரம் ஆகிறது, ஆனால் அது இன்னும் எனக்குக் கிடைக்கவில்லை.","Neenga enoda card-ai anuppi oru vaaram aachu, aana innum enaku kidaikala.",completed,gemini-3.5-flash
How do I track the card you sent me?,card_arrival,Neutral,Low,நீங்கள் எனக்கு அனுப்பிய அட்டையை நான் எவ்வாறு கண்காணிப்பது?,Neenga enaku anupina card-ai naan eppadi track pannurathu?,completed,gemini-3.5-flash
When will I recieve my new card?,card_arrival,Neutral,Low,எனது புதிய அட்டையை நான் எப்போது பெறுவேன்?,Enoda puthiya card-ai naan eppo peruvain?,completed,gemini-3.5-flash
When will I get my new card?,card_arrival,Neutral,Low,எனது புதிய அட்டை எனக்கு எப்போது கிடைக்கும்?,Enoda puthiya card enaku eppo kidaikum?,completed,gemini-3.5-flash
What is the expected delivery date for my card?,card_arrival,Neutral,Low,எனது அட்டைக்கான எதிர்பார்க்கப்படும் விநியோகத் திகதி என்ன?,Enoda card delivery aagura expected date enna?,completed,gemini-3.5-flash
Is there a tracking number for the card you sent me?,card_arrival,Neutral,Low,நீங்கள் எனக்கு அனுப்பிய அட்டைக்கு கண்காணிப்பு இலக்கம் ஏதேனும் இருக்கிறதா?,Neenga enaku anupina card-ku tracking number ethavathu iruka?,completed,gemini-3.5-flash
I would like to track the card you sent to me.,card_arrival,Neutral,Low,நீங்கள் எனக்கு அனுப்பிய அட்டையைக் கண்காணிக்க விரும்புகிறேன்.,Neenga enaku anupina card-ai track panna virumburen.,completed,gemini-3.5-flash
Has my card been lost in delivery?,card_arrival,Neutral,Low,எனது அட்டை விநியோகத்தின் போது தொலைந்துவிட்டதா?,Enoda card delivery-in pothu tholanjitatha?,completed,gemini-3.5-flash
My new card hasn't came in.,card_arrival,Neutral,Low,எனது புதிய அட்டை இன்னும் வரவில்லை.,Enoda puthiya card innum varala.,completed,gemini-3.5-flash
Where is the card I ordered 2 weeks ago?,card_arrival,Neutral,Low,இரண்டு வாரங்களுக்கு முன்பு நான் ஓடர் செய்த அட்டை எங்கே?,Rendu vaarathuku munnadi naan order panna card enga?,completed,gemini-3.5-flash
