task,model,family,dev_pooled,test_pooled,test_per_language,has_ci,seeds
intent,canine-c,,0,0,0,0,0
intent,canine-c-probe-cls,probe,1,0,0,0,0
intent,canine-c-probe-mean,probe,1,0,0,0,0
intent,gemma-3-1b,decoder,1,1,5,0,1
intent,gemma-3-1b-multitask-shared3head,slm-multitask,1,1,0,0,0
intent,gemma-3-1b-multitask-sharedhead,slm-multitask,1,1,0,0,0
intent,gemma-3-1b-probe-last,probe,1,0,0,0,0
intent,gemma-3-1b-probe-mean,probe,1,0,0,0,0
intent,gemma-3-270m,decoder,1,1,5,0,1
intent,gemma-3-270m-probe-last,probe,1,0,0,0,0
intent,gemma-3-270m-probe-mean,probe,1,0,0,0,0
intent,indicbert,encoder,1,0,0,0,0
intent,intent-chained,,0,0,0,0,0
intent,intent-lookup-oracle,,0,0,0,0,0
intent,labse,encoder,1,1,5,0,1
intent,labse-ft-priority-probe-cls,probe,0,1,0,0,0
intent,labse-ft-priority-probe-mean,probe,0,1,0,0,0
intent,labse-ft-sentiment-probe-cls,probe,0,1,0,0,0
intent,labse-ft-sentiment-probe-mean,probe,0,1,0,0,0
intent,labse-probe-cls,probe,1,1,0,0,0
intent,labse-probe-mean,probe,1,1,0,0,0
intent,majority,,0,0,0,0,0
intent,mmbert,encoder,1,1,5,0,1
intent,mmbert-probe-cls,probe,1,0,0,0,0
intent,mmbert-probe-mean,probe,1,0,0,0,0
intent,muril-base,encoder,1,0,0,0,0
intent,sinbert-large,,0,0,0,0,0
intent,sinbert-large-probe-cls,probe,0,0,0,0,0
intent,sinbert-large-probe-mean,probe,0,0,0,0,0
intent,sinhalaberto,,0,0,0,0,0
intent,sinhalaberto-probe-cls,probe,0,0,0,0,0
intent,sinhalaberto-probe-mean,probe,0,0,0,0,0
intent,tfidf-cnb,classical,1,1,5,1,1
intent,tfidf-logreg,classical,1,1,5,1,1
intent,tfidf-sgd,classical,1,1,5,1,1
intent,tfidf-svm,,1,1,5,1,1
intent,twhin-bert,encoder,1,0,0,0,0
intent,twhin-bert-probe-cls,probe,1,0,0,0,0
intent,twhin-bert-probe-mean,probe,1,0,0,0,0
intent,xlmr-base,encoder,1,1,5,0,1
intent,xlmr-base-probe-cls,probe,1,0,0,0,0
intent,xlmr-base-probe-mean,probe,1,0,0,0,0
sentiment,canine-c,,0,0,0,0,0
sentiment,canine-c-probe-cls,,0,0,0,0,0
sentiment,canine-c-probe-mean,,0,0,0,0,0
sentiment,gemma-3-1b,encoder,1,1,0,0,0
sentiment,gemma-3-1b-multitask-shared3head,slm-multitask,1,1,0,0,0
sentiment,gemma-3-1b-multitask-sharedhead,slm-multitask,1,1,0,0,0
sentiment,gemma-3-1b-probe-last,,0,0,0,0,0
sentiment,gemma-3-1b-probe-mean,,0,0,0,0,0
sentiment,gemma-3-270m,,0,0,0,0,0
sentiment,gemma-3-270m-probe-last,,0,0,0,0,0
sentiment,gemma-3-270m-probe-mean,,0,0,0,0,0
sentiment,indicbert,encoder,1,0,0,0,0
sentiment,intent-chained,,0,0,0,0,0
sentiment,intent-lookup-oracle,,0,0,0,0,0
sentiment,labse,encoder,1,1,5,0,2
sentiment,labse-ft-priority-probe-cls,,0,0,0,0,0
sentiment,labse-ft-priority-probe-mean,,0,0,0,0,0
sentiment,labse-ft-sentiment-probe-cls,,0,0,0,0,0
sentiment,labse-ft-sentiment-probe-mean,,0,0,0,0,0
sentiment,labse-probe-cls,,0,0,0,0,0
sentiment,labse-probe-mean,,0,0,0,0,0
sentiment,majority,,0,0,0,0,0
sentiment,mmbert,encoder,1,1,5,0,1
sentiment,mmbert-probe-cls,,0,0,0,0,0
sentiment,mmbert-probe-mean,,0,0,0,0,0
sentiment,muril-base,encoder,1,1,5,0,1
sentiment,sinbert-large,,0,0,0,0,0
sentiment,sinbert-large-probe-cls,,0,0,0,0,0
sentiment,sinbert-large-probe-mean,,0,0,0,0,0
sentiment,sinhalaberto,,0,0,0,0,0
sentiment,sinhalaberto-probe-cls,,0,0,0,0,0
sentiment,sinhalaberto-probe-mean,,0,0,0,0,0
sentiment,tfidf-cnb,classical,1,1,5,1,1
sentiment,tfidf-logreg,classical,1,1,5,1,1
sentiment,tfidf-sgd,classical,1,1,5,1,1
sentiment,tfidf-svm,classical,1,1,5,1,1
sentiment,twhin-bert,encoder,1,0,0,0,0
sentiment,twhin-bert-probe-cls,,0,0,0,0,0
sentiment,twhin-bert-probe-mean,,0,0,0,0,0
sentiment,xlmr-base,encoder,1,1,5,0,1
sentiment,xlmr-base-probe-cls,,0,0,0,0,0
sentiment,xlmr-base-probe-mean,,0,0,0,0,0
priority,canine-c,encoder,1,0,0,0,0
priority,canine-c-probe-cls,probe,1,0,0,0,0
priority,canine-c-probe-mean,probe,1,0,0,0,0
priority,gemma-3-1b,encoder,1,1,0,0,0
priority,gemma-3-1b-multitask-shared3head,slm-multitask,1,1,0,0,0
priority,gemma-3-1b-multitask-sharedhead,slm-multitask,1,1,0,0,0
priority,gemma-3-1b-probe-last,probe,1,0,0,0,0
priority,gemma-3-1b-probe-mean,probe,1,0,0,0,0
