id,text,sentiment,priority,notes
345,Do I have to use bank approved ATM's,,,
323,"how to delete account, not happy",,,
139,"I keep trying to make a payment, but it doesn't work.",,,
88,Why hasn't my friend received the transaction?,,,
291,How do I exchange USD for LKR?,,,
150,where can I see who sent me funds,,,
243,I see some transactions that I don't recognize.  I think someone stole my details.,,,
364,Why is my transaction taking so long to complete?,,,
22,Please check the exchange rate for my payment last Saturday. I believe I have been overcharged.,,,
387,What should I do if I think that someone might be using me card?,,,
244,I believe that my card has been stolen!,,,
274,"Out of the blue, my card stopped working.",,,
53,My card payment wasn't declined,,,
328,How do I see my source of funds?,,,
137,"I have a card that expires in the coming month, do I have to specifically ask for the updated card?",,,
303,An ATM machine didn't return my card.,,,
369,There is  a charge I don't recognize.,,,
480,Why can't I withdraw funds from my account?,,,
378,Do I have to verify the top-up?,,,
129,I think my wallet fell out on the Tube today! I realized as soon as I got to my desk. How do I cut off the card?,,,
379,Is there a list of where I can use my card?,,,
55,I looked on the app and it says I withdrew cash.  I didn't!,,,
452,I topped up but the app declined it,,,
357,Can I use my card while on vacation overseas?,,,
414,"Hi, i was checking my old statements and found a discrepancy with a large amount transaction. I am sure it was not done by me. Please let me know if i could raise a dispute as its very late.",,,
413,I'm noticing a payment/purchase at a company that I don't recognise.,,,
317,Will it be possible to change from USD to LKR with this App?,,,
428,"One of my card payments, I don't recognise the name of the merchant.",,,
372,Is there a way to use this app with a disposable virtual card?,,,
495,Where did my deposit for my source of funds come from?,,,
19,"I was just shopping and my payment was declined in a store!  It was very embarrassing, what is going on and when will it be fixed?",,,
408,Still waiting for transfer to be completed.,,,
9,What do I do if I think someone has used my card without permission? I can see a few transactions I don't recognize.,,,
163,There's a cash withdrawal I am certain I did not make,,,
339,Why hasn't a transaction I did to my friend arrived yet?,,,
464,What is the top-up limit on my cards?,,,
181,Why hasn't the money I transferred into my account shown up yet?,,,
383,Why didn't my transfer work?,,,
41,I withdrew cash abroad and the exchange rate applied is wrong.,,,
341,I lost my phone and need help so someone doesn't access my account.,,,
436,Can I transfer my payroll to the bank?,,,
300,What can I do to make my physical card work?,,,
217,I have a charge I did not make.,,,
316,Do you think you're asking for too much information about me?,,,
127,"I would like to order a virtual card, where can I get one?",,,
101,Can I call to get my card activated?,,,
315,I've been waiting ages and my PIN hasn't gotten here.,,,
89,I am being charged Rs 10 out of nowhere. What is this?,,,
