annotation_id,annotator,category,created_at,id_gold,lead_time,priority_gold,row_id,sentiment_gold,text,updated_at,id_v5,sentiment_v5,priority_v5,sentiment_pred
70,1,declined_card_payment,2026-07-23T02:43:07.471923Z,1,13.714,Medium,5976,Neutral,I had a card payment that was declined.  Why?,2026-07-23T02:43:07.471934Z,5976,Neutral,Medium,Neutral
71,1,apple_pay_or_google_pay,2026-07-23T02:43:13.322916Z,2,5.719,Low,9713,Neutral,Am I able to Top Up with Apply Pay?,2026-07-23T02:43:13.322928Z,9713,Neutral,Low,Neutral
72,1,failed_transfer,2026-07-23T02:43:22.893773Z,3,9.448,Medium,7536,Neutral,Why has my payment not transferred?,2026-07-23T02:43:22.893787Z,7536,Neutral,Medium,Neutral
73,1,extra_charge_on_statement,2026-07-23T02:43:42.170088Z,4,19.157,Low,596,Neutral,There is a €1 extra fee in my statement,2026-07-23T02:43:42.170103Z,596,Neutral,Medium,Neutral
74,1,cancel_transfer,2026-07-23T02:43:54.034779Z,5,11.738,Medium,2148,Neutral,I need to reverse a transaction,2026-07-23T02:43:54.034794Z,2148,Neutral,Medium,Neutral
75,1,contactless_not_working,2026-07-23T02:44:00.395071Z,6,6.232,Low,1802,Neutral,How do I troubleshoot my contactless?,2026-07-23T02:44:00.395088Z,1802,Neutral,Medium,Neutral
76,1,virtual_card_not_working,2026-07-23T02:44:10.447452Z,7,9.936,Medium,8178,Neutral,Is there a reason why my virtual card won't work?,2026-07-23T02:44:10.447465Z,8178,Neutral,Medium,Neutral
77,1,activate_my_card,2026-07-23T02:44:16.281718Z,8,5.701,Low,9187,Neutral,I was unable to activate my card.,2026-07-23T02:44:16.281732Z,9187,Neutral,Low,Neutral
78,1,compromised_card,2026-07-23T02:44:25.122816Z,9,8.707,High,4523,Neutral,What do I do if I think someone has used my card without permission? I can see a few transactions I don't recognize.,2026-07-23T02:44:25.122838Z,4523,Neutral,High,Neutral
79,1,declined_cash_withdrawal,2026-07-23T02:44:33.604053Z,10,8.355,Medium,4970,Neutral,"This morning I wanted to make a withdrawal before work, but my card was declined! Please double check it for me as this is the first time it was declined.",2026-07-23T02:44:33.604064Z,4970,Neutral,Medium,Neutral
80,1,top_up_by_cash_or_cheque,2026-07-23T02:44:38.249766Z,11,4.52,Low,8039,Neutral,How would I top up with a cheque?,2026-07-23T02:44:38.249783Z,8039,Neutral,Low,Neutral
81,1,lost_or_stolen_phone,2026-07-23T02:44:44.356940Z,12,5.976,Low,5345,Neutral,My phone was left at a hotel and I can't access the app.,2026-07-23T02:44:44.356956Z,5345,Neutral,High,Neutral
